,what,was,the,american,timothy,dexter,widely,regarded,as,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.22871561348438263,0.19792884588241577,0.2470257431268692,0.26852190494537354,0.22748704254627228,0.3887844979763031,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.24562937021255493,0.20416639745235443,0.1707955300807953,0.29394426941871643,0.28921735286712646,0.48381632566452026,0.22068053483963013
18th,0.173826202750206,0.2556672692298889,0.2844390869140625,0.16151557862758636,0.22949272394180298,0.22019381821155548,0.15369872748851776,0.15114884078502655,0.20181994140148163,0.11879357695579529
century,0.20422613620758057,0.3521432876586914,0.3617299497127533,0.22507250308990479,0.141792431473732,0.11884674429893494,0.291594535112381,0.3253887891769409,0.24608509242534637,0.1026201918721199
american,0.1909721940755844,0.31632548570632935,0.24562937021255493,1.0000001192092896,0.2934969663619995,0.3330473303794861,0.20219096541404724,0.18061377108097076,0.2994234561920166,0.18877598643302917
timothy,0.20406074821949005,0.270026832818985,0.20416639745235443,0.2934969663619995,1.0000001192092896,0.32165321707725525,0.12134791910648346,0.13665390014648438,0.22315989434719086,0.1858367621898651
dexter,0.14122767746448517,0.2542775273323059,0.1707955300807953,0.3330473303794861,0.32165321707725525,1.0000001192092896,0.21497593820095062,0.16711531579494476,0.21965792775154114,0.10256286710500717
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.3048616647720337,0.243979349732399,0.3097233772277832,0.2983349859714508,0.24524879455566406,0.48816442489624023,0.31091248989105225
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.2878177762031555,0.20585185289382935,0.14774060249328613,0.17829953134059906,0.16099432110786438,0.37218472361564636,0.19793890416622162
entrepreneur,0.11592275649309158,0.2751373052597046,0.1594507247209549,0.41166257858276367,0.28831160068511963,0.22831964492797852,0.19383597373962402,0.23190537095069885,0.26220154762268066,0.2259759157896042
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.3048616647720337,0.243979349732399,0.3097233772277832,0.2983349859714508,0.24524879455566406,0.48816442489624023,0.31091248989105225
widely,0.22598060965538025,0.3025229275226593,0.29394426941871643,0.20219096541404724,0.12134791910648346,0.21497593820095062,1.0000001192092896,0.45255276560783386,0.3461221754550934,0.10354958474636078
regarded,0.19386208057403564,0.31409430503845215,0.28921735286712646,0.18061377108097076,0.13665390014648438,0.16711531579494476,0.45255276560783386,1.0,0.36671122908592224,0.1741991639137268
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.2994234561920166,0.22315989434719086,0.21965792775154114,0.3461221754550934,0.36671122908592224,1.0,0.27043893933296204
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.2878177762031555,0.20585185289382935,0.14774060249328613,0.17829953134059906,0.16099432110786438,0.37218472361564636,0.19793890416622162
eccentric,0.1967959851026535,0.16113919019699097,0.0617436058819294,0.16107258200645447,0.18878589570522308,0.26769641041755676,0.1779542714357376,0.24909986555576324,0.17507921159267426,0.13615688681602478
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.3048616647720337,0.243979349732399,0.3097233772277832,0.2983349859714508,0.24524879455566406,0.48816442489624023,0.31091248989105225
defied,0.28323790431022644,0.32787972688674927,0.3109954297542572,0.21901358664035797,0.16139821708202362,0.16147480905056,0.19107452034950256,0.3738638758659363,0.3138781189918518,0.21998219192028046
this,0.5489566326141357,0.3638818562030792,0.6274310946464539,0.21639271080493927,0.14514406025409698,0.17303191125392914,0.304792195558548,0.2335585653781891,0.43993282318115234,0.3155723512172699
idiom,0.3471832871437073,0.12915366888046265,0.22585733234882355,0.14770038425922394,0.13423866033554077,0.21497875452041626,0.2562481462955475,0.27745094895362854,0.2140839695930481,0.22624355554580688
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.29108086228370667,0.2397354543209076,0.2494591921567917,0.2204076051712036,0.21672438085079193,0.515582263469696,0.4130953550338745
