,which,country,'s,cars,became,more,highly,sought,after,as,they,were,more,fuel,efficient,?
the,0.6521818041801453,0.30432501435279846,-0.01540423184633255,0.22665506601333618,0.36325156688690186,0.39758381247520447,0.2051282376050949,0.2821049392223358,0.4565047025680542,0.48381632566452026,0.49925389885902405,0.3906462490558624,0.39758381247520447,0.18534968793392181,0.22032952308654785,0.22068053483963013
crisis,0.21961601078510284,0.18197865784168243,-0.09148845076560974,0.12441032379865646,0.2229609489440918,0.17407041788101196,0.07876721769571304,0.25020354986190796,0.21843357384204865,0.12366023659706116,0.12306690216064453,0.10959715396165848,0.17407041788101196,0.2299036979675293,0.14264172315597534,0.17902959883213043
reduced,0.33779141306877136,0.14167682826519012,-0.010829544626176357,0.2170184999704361,0.1466357260942459,0.31905442476272583,0.1479741781949997,0.2421828657388687,0.22767780721187592,0.2285992056131363,0.27914488315582275,0.24301442503929138,0.31905442476272583,0.2614622116088867,0.4143845736980438,0.10234767943620682
the,0.6521818041801453,0.30432501435279846,-0.01540423184633255,0.22665506601333618,0.36325156688690186,0.39758381247520447,0.2051282376050949,0.2821049392223358,0.4565047025680542,0.48381632566452026,0.49925389885902405,0.3906462490558624,0.39758381247520447,0.18534968793392181,0.22032952308654785,0.22068053483963013
demand,0.2734186053276062,0.2657812237739563,0.009128083474934101,0.207079216837883,0.1624957174062729,0.3100319504737854,0.20049715042114258,0.3380228579044342,0.19835495948791504,0.21706032752990723,0.2541380822658539,0.18873341381549835,0.3100319504737854,0.2775256037712097,0.3486427366733551,0.13359291851520538
for,0.44095608592033386,0.2644098401069641,-0.07241261005401611,0.2283150851726532,0.3017078936100006,0.3891189992427826,0.2978450059890747,0.28106895089149475,0.3650246858596802,0.44774648547172546,0.3466525673866272,0.33592689037323,0.3891189992427826,0.19778265058994293,0.3053904175758362,0.264628142118454
large,0.46308431029319763,0.16814355552196503,0.06319566071033478,0.19978691637516022,0.16671934723854065,0.30958428978919983,0.2312404066324234,0.16204367578029633,0.20869922637939453,0.24282054603099823,0.3571751117706299,0.3147265911102295,0.30958428978919983,0.1953020691871643,0.3202294409275055,0.1355665624141693
cars,0.24131238460540771,0.19457121193408966,0.07887933403253555,0.9999998807907104,0.17319554090499878,0.22783681750297546,0.16004855930805206,0.14964134991168976,0.19557148218154907,0.2156364917755127,0.34556272625923157,0.28461217880249023,0.22783681750297546,0.42941099405288696,0.34082770347595215,0.1518762707710266
.,0.45942068099975586,0.26130348443984985,-0.003708066651597619,0.27835485339164734,0.2806840240955353,0.4070230722427368,0.2621603310108185,0.1925266534090042,0.35870397090911865,0.515582263469696,0.4510921239852905,0.3378238379955292,0.4070230722427368,0.17959722876548767,0.2178027182817459,0.4130953550338745
,which,country,'s,cars,became,more,highly,sought,after,as,they,were,more,fuel,efficient,?
japanese,0.19711120426654816,0.20470987260341644,-0.02857690304517746,0.20040932297706604,0.1876315176486969,0.20585893094539642,0.1481175422668457,0.09480846673250198,0.1767677664756775,0.18128801882266998,0.19279006123542786,0.20140808820724487,0.20585893094539642,0.17942862212657928,0.07102727144956589,0.12021756172180176
imports,0.30669617652893066,0.2774486541748047,-0.02676970139145851,0.3003252148628235,0.06854014098644257,0.2649546265602112,0.21395735442638397,0.26246732473373413,0.15466530621051788,0.21276023983955383,0.25376078486442566,0.18288935720920563,0.2649546265602112,0.2884417772293091,0.30954256653785706,0.2849743068218231
",",0.3658004403114319,0.27878350019454956,-0.0016132977325469255,0.23312760889530182,0.2798398435115814,0.3696524500846863,0.2038491666316986,0.25776931643486023,0.38860568404197693,0.48816442489624023,0.390799880027771,0.36755475401878357,0.3696524500846863,0.19458916783332825,0.19394852221012115,0.31091248989105225
primarily,0.411638468503952,0.17324374616146088,-0.08149473369121552,0.09529832005500793,0.09353945404291153,0.26295652985572815,0.3119316101074219,0.24099373817443848,0.15906105935573578,0.27375903725624084,0.2967088520526886,0.17725645005702972,0.26295652985572815,0.1768202930688858,0.25728514790534973,0.06029784679412842
the,0.6521818041801453,0.30432501435279846,-0.01540423184633255,0.22665506601333618,0.36325156688690186,0.39758381247520447,0.2051282376050949,0.2821049392223358,0.4565047025680542,0.48381632566452026,0.49925389885902405,0.3906462490558624,0.39758381247520447,0.18534968793392181,0.22032952308654785,0.22068053483963013
