,what,is,the,second,academic,school,of,technology,in,poland,?
the,0.42745697498321533,0.5823672413825989,1.0,0.4620301127433777,0.15387672185897827,0.22953221201896667,0.733189046382904,0.21669498085975647,0.6662389636039734,0.24871079623699188,0.22068053483963013
university,0.20256435871124268,0.20346471667289734,0.263973206281662,0.2269357442855835,0.4402775466442108,0.48676231503486633,0.30646374821662903,0.384223997592926,0.3201795518398285,0.19247503578662872,0.11887256056070328
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.353416383266449,0.20802809298038483,0.2391800880432129,1.0,0.25238582491874695,0.5696388483047485,0.26632049679756165,0.1826142966747284
warsaw,0.10373849421739578,0.09741193056106567,0.23137180507183075,0.1990465670824051,0.24623557925224304,0.20320187509059906,0.19253842532634735,0.2244858294725418,0.22642600536346436,0.6352760195732117,0.09769917279481888
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.3858029544353485,0.2174692153930664,0.25740107893943787,0.4069072902202606,0.20640774071216583,0.45514053106307983,0.19694356620311737,0.18412111699581146
established,0.14869536459445953,0.1754443645477295,0.33092597126960754,0.1400000900030136,0.2134462594985962,0.23115229606628418,0.2735237777233124,0.1628667712211609,0.3118882477283478,0.17058423161506653,0.15917523205280304
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.34510284662246704,0.1914365142583847,0.26157811284065247,0.5696388483047485,0.24215441942214966,1.0,0.2887791395187378,0.20430970191955566
1816,0.4687744379043579,0.4205142855644226,0.47585317492485046,0.24546809494495392,0.20456168055534363,0.19776706397533417,0.4376172423362732,0.23641499876976013,0.4691329300403595,0.38239753246307373,0.3900545537471771
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.29927265644073486,0.3273942470550537,0.27141863107681274,0.4946078956127167,0.2817870080471039,0.5201468467712402,0.2751549184322357,0.31091248989105225
when,0.4700249433517456,0.3471449911594391,0.5091903209686279,0.28561660647392273,0.0852769985795021,0.21397973597049713,0.3757161796092987,0.18014967441558838,0.4431333839893341,0.1766313761472702,0.22841128706932068
the,0.42745697498321533,0.5823672413825989,1.0,0.4620301127433777,0.15387672185897827,0.22953221201896667,0.733189046382904,0.21669498085975647,0.6662389636039734,0.24871079623699188,0.22068053483963013
partitions,0.2755758762359619,0.1886083334684372,0.30464792251586914,0.24589626491069794,0.19465330243110657,0.09233125299215317,0.3236917555332184,0.2166215479373932,0.2665811777114868,0.36096853017807007,0.12378250807523727
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.353416383266449,0.20802809298038483,0.2391800880432129,1.0,0.25238582491874695,0.5696388483047485,0.26632049679756165,0.1826142966747284
poland,0.16095873713493347,0.13666775822639465,0.24871079623699188,0.20466876029968262,0.15960735082626343,0.12383820116519928,0.26632049679756165,0.18768149614334106,0.2887791395187378,0.9999999403953552,0.14259830117225647
