,who,became,the,first,african,americans,ordained,by,the,methodist,church,?
richard,0.27835920453071594,0.19995805621147156,0.2087954580783844,0.21793003380298615,0.13241152465343475,0.17744721472263336,0.19401195645332336,0.24423328042030334,0.2087954580783844,0.15405195951461792,0.10858210921287537,0.15003317594528198
allen,0.22067172825336456,0.2115672379732132,0.23034030199050903,0.21419183909893036,0.14949746429920197,0.2046751081943512,0.15057985484600067,0.2717472016811371,0.23034030199050903,0.24635930359363556,0.13651135563850403,0.1549387127161026
and,0.41279885172843933,0.31226563453674316,0.5171257257461548,0.3167642652988434,0.2598888576030731,0.27944788336753845,0.2014295756816864,0.4289871156215668,0.5171257257461548,0.2376793771982193,0.1976170688867569,0.20544172823429108
absalom,0.2757583558559418,0.20163677632808685,0.2258104681968689,0.20332595705986023,0.1764909327030182,0.10526695102453232,0.38199862837791443,0.1884545385837555,0.2258104681968689,0.34257641434669495,0.4063791334629059,0.18743234872817993
jones,0.265706866979599,0.14706489443778992,0.24446700513362885,0.1796036809682846,0.19534485042095184,0.1114373505115509,0.1890205293893814,0.19224686920642853,0.24446700513362885,0.24368919432163239,0.10067567229270935,0.1838836669921875
became,0.2624726891517639,1.0,0.36325156688690186,0.37862223386764526,0.17921660840511322,0.20563684403896332,0.3616618812084198,0.24051691591739655,0.36325156688690186,0.23620517551898956,0.19466228783130646,0.11374033987522125
the,0.3733934462070465,0.36325156688690186,1.0,0.49448907375335693,0.23305515944957733,0.3275100290775299,0.20148134231567383,0.4408751428127289,1.0,0.21922016143798828,0.23846197128295898,0.22068053483963013
first,0.39065709710121155,0.37862223386764526,0.49448907375335693,1.0,0.22659946978092194,0.26725783944129944,0.17330105602741241,0.3877052962779999,0.49448907375335693,0.20644935965538025,0.11462637037038803,0.18701928853988647
african,0.2475580871105194,0.17921660840511322,0.23305515944957733,0.22659946978092194,1.0000001192092896,0.43003416061401367,0.20261076092720032,0.20517359673976898,0.23305515944957733,0.32960233092308044,0.14436593651771545,0.11862778663635254
americans,0.315396249294281,0.20563684403896332,0.3275100290775299,0.26725783944129944,0.43003416061401367,1.0,0.12433090060949326,0.23527847230434418,0.3275100290775299,0.24155063927173615,0.17451094090938568,0.19417695701122284
ordained,0.2565222978591919,0.3616618812084198,0.20148134231567383,0.17330105602741241,0.20261076092720032,0.12433090060949326,0.9999998807907104,0.1810382753610611,0.20148134231567383,0.44802963733673096,0.481964647769928,0.2412128895521164
by,0.39727845788002014,0.24051691591739655,0.4408751428127289,0.3877052962779999,0.20517359673976898,0.23527847230434418,0.1810382753610611,1.0000001192092896,0.4408751428127289,0.20236296951770782,0.135782390832901,0.17966607213020325
the,0.3733934462070465,0.36325156688690186,1.0,0.49448907375335693,0.23305515944957733,0.3275100290775299,0.20148134231567383,0.4408751428127289,1.0,0.21922016143798828,0.23846197128295898,0.22068053483963013
methodist,0.21443013846874237,0.23620517551898956,0.21922016143798828,0.20644935965538025,0.32960233092308044,0.24155063927173615,0.44802963733673096,0.20236296951770782,0.21922016143798828,1.0,0.6119816899299622,0.1436992734670639
church,0.19418756663799286,0.19466228783130646,0.23846197128295898,0.11462637037038803,0.14436593651771545,0.17451094090938568,0.481964647769928,0.135782390832901,0.23846197128295898,0.6119816899299622,0.9999999403953552,0.18081501126289368
.,0.3541337847709656,0.2806840240955353,0.5934505462646484,0.4345304071903229,0.22406414151191711,0.2883085310459137,0.2363835573196411,0.3936232924461365,0.5934505462646484,0.30669423937797546,0.28898224234580994,0.4130953550338745
