,when,did,tesla,start,working,on,the,problem,of,energy,and,matter,?
tesla,0.1504557579755783,0.09757418930530548,0.9999999403953552,0.08448467403650284,0.206875741481781,0.16159376502037048,0.1324402391910553,0.18636125326156616,0.18837453424930573,0.28722304105758667,0.19560420513153076,0.17147119343280792,0.10250775516033173
claimed,0.24380207061767578,0.34913167357444763,0.09713935106992722,0.07766775786876678,0.14594228565692902,0.23817035555839539,0.2761930227279663,0.18475641310214996,0.25888603925704956,0.0775076150894165,0.2411240041255951,0.22407858073711395,0.2083493024110794
to,0.5423505902290344,0.4452643394470215,0.17548894882202148,0.33345553278923035,0.28215980529785156,0.41031414270401,0.535392165184021,0.2502208352088928,0.41548454761505127,0.27179354429244995,0.48971283435821533,0.27089571952819824,0.29463258385658264
have,0.40555819869041443,0.3783526122570038,0.12181562930345535,0.3069983422756195,0.27710407972335815,0.36494916677474976,0.40389683842658997,0.3683631420135498,0.3802283704280853,0.2782949209213257,0.4711785912513733,0.4257828891277313,0.32991164922714233
developed,0.19180624186992645,0.24445466697216034,0.20067144930362701,0.229949489235878,0.3226345479488373,0.2070675492286682,0.24490751326084137,0.21880409121513367,0.21960023045539856,0.17043963074684143,0.25542938709259033,0.10355610400438309,0.10763012617826462
his,0.37120407819747925,0.3546801507472992,0.1580733060836792,0.19225816428661346,0.30046597123146057,0.32064297795295715,0.4394008219242096,0.17596246302127838,0.38364991545677185,0.15422320365905762,0.4234102666378021,0.20918509364128113,0.18075084686279297
own,0.3067531883716583,0.34475913643836975,0.17710740864276886,0.2583828270435333,0.2915845811367035,0.305448979139328,0.334675133228302,0.1789887696504593,0.3269667625427246,0.20297500491142273,0.3142828047275543,0.27700409293174744,0.1937696635723114
physical,0.20646332204341888,0.20982125401496887,0.20707638561725616,0.0793733149766922,0.13176675140857697,0.19125182926654816,0.20230218768119812,0.26691189408302307,0.3124530017375946,0.2737676501274109,0.30796876549720764,0.31685352325439453,0.11781801283359528
principle,0.252486914396286,0.2072836458683014,0.26682472229003906,0.21825285255908966,0.20203283429145813,0.190961554646492,0.24017377197742462,0.2545397877693176,0.2430231273174286,0.26697418093681335,0.18017759919166565,0.43019142746925354,0.2002675086259842
regarding,0.25208544731140137,0.2796953320503235,0.18636363744735718,0.16766050457954407,0.16429336369037628,0.2795979976654053,0.29280903935432434,0.38785624504089355,0.2715161442756653,0.19373363256454468,0.3182925879955292,0.40808507800102234,0.36967232823371887
matter,0.3388529121875763,0.2127678096294403,0.17147119343280792,0.2052644044160843,0.20639944076538086,0.26765185594558716,0.2957161068916321,0.3671163320541382,0.2804143726825714,0.3854178488254547,0.26431259512901306,0.9999999403953552,0.269619345664978
and,0.4716290831565857,0.34479495882987976,0.19560420513153076,0.2890162169933319,0.30510061979293823,0.4077630043029785,0.5171257257461548,0.24328261613845825,0.5116966962814331,0.23934243619441986,1.0,0.26431259512901306,0.20544172823429108
energy,0.24666637182235718,0.14123573899269104,0.28722304105758667,0.19514095783233643,0.17909421026706696,0.15102268755435944,0.26756542921066284,0.19634389877319336,0.26257598400115967,1.0000001192092896,0.23934243619441986,0.3854178488254547,0.14860127866268158
that,0.5860282182693481,0.47518548369407654,0.22102725505828857,0.34617605805397034,0.34541255235671997,0.42569106817245483,0.5473989248275757,0.4416671693325043,0.41498205065727234,0.2617390751838684,0.4731321930885315,0.44028252363204956,0.32716336846351624
he,0.39115971326828003,0.3292143940925598,0.12373391538858414,0.20543234050273895,0.3181121051311493,0.32403138279914856,0.4571082592010498,0.18912115693092346,0.38706058263778687,0.19338715076446533,0.45427167415618896,0.23724457621574402,0.2089974731206894
