,what,is,southern,california,often,abbreviated,as,?
southern,0.18679563701152802,0.2419366091489792,1.0,0.2983402609825134,0.21154865622520447,0.1308988332748413,0.17950406670570374,0.11225555837154388
california,0.1811584085226059,0.20727038383483887,0.2983402609825134,1.0,0.18361137807369232,0.08214148879051208,0.1933012157678604,0.1409905105829239
",",0.3087472915649414,0.4691906273365021,0.2795628309249878,0.2704589068889618,0.24139221012592316,0.18717367947101593,0.48816442489624023,0.31091248989105225
often,0.3849453330039978,0.3856629431247711,0.21154865622520447,0.18361137807369232,1.0000001192092896,0.21774922311306,0.405699223279953,0.23748154938220978
abbreviated,0.15040834248065948,0.27301323413848877,0.1308988332748413,0.08214148879051208,0.21774922311306,0.9999999403953552,0.23967772722244263,0.1293652355670929
socal,0.27352166175842285,0.2542979121208191,0.2761368751525879,0.19214783608913422,0.2975662648677826,0.18420997262001038,0.22054611146450043,0.1983129382133484
",",0.3087472915649414,0.4691906273365021,0.2795628309249878,0.2704589068889618,0.24139221012592316,0.18717367947101593,0.48816442489624023,0.31091248989105225
is,0.28837618231773376,1.0,0.2419366091489792,0.20727038383483887,0.3856629431247711,0.27301323413848877,0.43216490745544434,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.25843560695648193,0.2426064908504486,0.3930865228176117,0.21468424797058105,0.39550232887268066,0.23916715383529663
geographic,0.2274789661169052,0.17196020483970642,0.21658822894096375,0.15700988471508026,0.14009127020835876,0.206054225564003,0.20377583801746368,0.1698596328496933
and,0.31309178471565247,0.3859752118587494,0.24232792854309082,0.2441616654396057,0.42465832829475403,0.08168510347604752,0.49487000703811646,0.20544172823429108
cultural,0.18198847770690918,0.1658732146024704,0.16798368096351624,0.12882405519485474,0.18464431166648865,0.1431264579296112,0.19805553555488586,0.09798457473516464
region,0.2298986315727234,0.3317503035068512,0.35965695977211,0.1643783003091812,0.1695200353860855,0.16752147674560547,0.17285758256912231,0.13441751897335052
that,0.6297725439071655,0.3995479643344879,0.22864879667758942,0.18610765039920807,0.43873903155326843,0.15466338396072388,0.4735107421875,0.32716336846351624
generally,0.40614598989486694,0.4094115197658539,0.1936236023902893,0.16861049830913544,0.6262778043746948,0.1985650211572647,0.3970455825328827,0.23411904275417328
comprises,0.12282794713973999,0.34238201379776,0.1803133338689804,0.18576014041900635,0.20741447806358337,0.22998054325580597,0.25603044033050537,0.037654489278793335
california,0.1811584085226059,0.20727038383483887,0.2983402609825134,1.0,0.18361137807369232,0.08214148879051208,0.1933012157678604,0.1409905105829239
's,0.02692362666130066,0.02396530658006668,0.02131068892776966,-0.0475497767329216,0.05346176400780678,-0.04058479145169258,-0.05775856226682663,-0.023395681753754616
southernmost,0.20092901587486267,0.3382660448551178,0.7063304781913757,0.27300140261650085,0.1544116735458374,0.20537987351417542,0.15401870012283325,0.10605424642562866
10,0.11840458959341049,0.1865890771150589,0.27813920378685,0.11645766347646713,0.2454642504453659,0.029948081821203232,0.2482379823923111,0.022911956533789635
counties,0.18263769149780273,0.19452480971813202,0.27950868010520935,0.21366026997566223,0.14785592257976532,0.18527604639530182,0.2448538839817047,0.09521792083978653
.,0.3567904531955719,0.4569662809371948,0.26629969477653503,0.2870451807975769,0.30710849165916443,0.16750873625278473,0.515582263469696,0.4130953550338745
