,how,many,hours,can,one,expect,to,ride,the,train,from,newcastle,to,king,'s,cross,?
train,0.25726476311683655,0.19518084824085236,0.251725971698761,0.1401216834783554,0.23034942150115967,0.22006025910377502,0.23553375899791718,0.3793564438819885,0.22828160226345062,0.9999999403953552,0.21534353494644165,0.21264177560806274,0.23553375899791718,0.12241174280643463,0.006521238945424557,0.19740283489227295,0.14194068312644958
operator,0.11005053669214249,0.06557147949934006,0.20953594148159027,0.25514400005340576,0.20964168012142181,0.12578870356082916,0.24327775835990906,0.2624051570892334,0.22986549139022827,0.3053992986679077,0.12107858806848526,0.22236117720603943,0.24327775835990906,0.1801590472459793,-0.005349912215024233,0.12106000632047653,0.12810945510864258
virgin,0.12402098625898361,0.15871787071228027,0.13166216015815735,0.14867210388183594,0.2302490919828415,0.15520362555980682,0.17379043996334076,0.1336437165737152,0.21732187271118164,0.1620367020368576,0.07930377870798111,0.1645735800266266,0.17379043996334076,0.09235385805368423,0.04354345053434372,0.18114934861660004,0.11987020075321198
trains,0.19860102236270905,0.19334690272808075,0.3076331913471222,0.19336974620819092,0.23058569431304932,0.21279998123645782,0.27289023995399475,0.35528719425201416,0.2246430516242981,0.8071229457855225,0.1962612122297287,0.24930311739444733,0.27289023995399475,0.16612599790096283,-0.014810417778789997,0.22534696757793427,0.12280461937189102
east,0.1773146688938141,0.20167402923107147,0.10583851486444473,0.08273158967494965,0.1930667608976364,0.143932044506073,0.24717837572097778,0.15021659433841705,0.3383176326751709,0.19733184576034546,0.27024149894714355,0.2158811092376709,0.24717837572097778,0.20506063103675842,0.05105345696210861,0.16275420784950256,0.10070597380399704
coast,0.19866614043712616,0.20054754614830017,0.15118491649627686,0.10285177826881409,0.25269773602485657,0.10895954072475433,0.23308983445167542,0.1993401050567627,0.28366661071777344,0.2561335563659668,0.2436395138502121,0.28780388832092285,0.23308983445167542,0.2030947506427765,0.02010589838027954,0.1535864919424057,0.15869849920272827
provides,0.201465904712677,0.19418935477733612,0.17710155248641968,0.29374411702156067,0.22601152956485748,0.2600155174732208,0.2667657732963562,0.20529650151729584,0.29657405614852905,0.21449223160743713,0.22564493119716644,0.15403710305690765,0.2667657732963562,0.08633923530578613,-0.031033284962177277,0.1605546623468399,0.1500944346189499
a,0.29312583804130554,0.2872205972671509,0.22820048034191132,0.3915780484676361,0.4910551905632019,0.3019236922264099,0.45503583550453186,0.234205961227417,0.5829201340675354,0.2487073689699173,0.322764128446579,0.21405641734600067,0.45503583550453186,0.18420645594596863,0.04866964742541313,0.21602843701839447,0.23916715383529663
half-hourly,0.30995187163352966,0.31217557191848755,0.5053415298461914,0.33144310116767883,0.34319308400154114,0.35612890124320984,0.3721339702606201,0.24536263942718506,0.3727617561817169,0.28708189725875854,0.30662110447883606,0.30537140369415283,0.3721339702606201,0.16282647848129272,-0.01873939111828804,0.2489572912454605,0.30623742938041687
frequency,0.3118455708026886,0.1826222836971283,0.2260010689496994,0.33845457434654236,0.26674219965934753,0.37241479754447937,0.2516654431819916,0.1832708865404129,0.20417852699756622,0.2792264521121979,0.19149452447891235,0.18887996673583984,0.2516654431819916,0.11125064641237259,-0.013367456384003162,0.10857438296079636,0.17067383229732513
