,whose,role,is,to,design,the,works,",",prepare,the,specifications,and,produce,construction,drawings,",",administer,the,contract,",",tender,the,works,",",and,manage,the,works,from,inception,to,completion
in,0.23496666550636292,0.243671715259552,0.5394441485404968,0.45010748505592346,0.21856798231601715,0.6662389636039734,0.2656683027744293,0.5201468467712402,0.23856060206890106,0.6662389636039734,0.21206264197826385,0.4954058527946472,0.21160131692886353,0.3031303882598877,0.18445944786071777,0.5201468467712402,0.22084921598434448,0.6662389636039734,0.20341484248638153,0.5201468467712402,0.22228769958019257,0.6662389636039734,0.2656683027744293,0.5201468467712402,0.4954058527946472,0.2503184974193573,0.6662389636039734,0.2656683027744293,0.4274188280105591,0.31260839104652405,0.45010748505592346,0.28483957052230835
this,0.28317323327064514,0.2514144480228424,0.480927973985672,0.5759071707725525,0.26571303606033325,0.6274310946464539,0.2975098788738251,0.4316047728061676,0.27924928069114685,0.6274310946464539,0.3756715655326843,0.42353692650794983,0.36211106181144714,0.2970173954963684,0.20910240709781647,0.4316047728061676,0.22172077000141144,0.6274310946464539,0.21657794713974,0.4316047728061676,0.310293585062027,0.6274310946464539,0.2975098788738251,0.4316047728061676,0.42353692650794983,0.2384980171918869,0.6274310946464539,0.2975098788738251,0.3469814360141754,0.3041170537471771,0.5759071707725525,0.38948145508766174
arrangement,0.27929243445396423,0.16444802284240723,0.21783652901649475,0.24179738759994507,0.31998851895332336,0.290839284658432,0.21185623109340668,0.21289794147014618,0.22706706821918488,0.290839284658432,0.32421132922172546,0.24378909170627594,0.3382810950279236,0.2816191613674164,0.25000762939453125,0.21289794147014618,0.13925093412399292,0.290839284658432,0.274163156747818,0.21289794147014618,0.2570474147796631,0.290839284658432,0.21185623109340668,0.21289794147014618,0.24378909170627594,0.23236863315105438,0.290839284658432,0.21185623109340668,0.13140378892421722,0.2365352213382721,0.24179738759994507,0.23881873488426208
",",0.25601375102996826,0.199491485953331,0.4691906273365021,0.44245919585227966,0.19350415468215942,0.4933079481124878,0.29211118817329407,1.0000001192092896,0.19686073064804077,0.4933079481124878,0.2598259150981903,0.6633074283599854,0.19927625358104706,0.23704268038272858,0.2235531359910965,1.0000001192092896,0.21039684116840363,0.4933079481124878,0.20806868374347687,1.0000001192092896,0.14859114587306976,0.4933079481124878,0.29211118817329407,1.0000001192092896,0.6633074283599854,0.2668672502040863,0.4933079481124878,0.29211118817329407,0.39760664105415344,0.28455850481987,0.44245919585227966,0.21737714111804962
the,0.38253846764564514,0.26607486605644226,0.5823672413825989,0.535392165184021,0.27913451194763184,1.0,0.26337864995002747,0.4933079481124878,0.2688513994216919,1.0,0.31503263115882874,0.5171257257461548,0.23457570374011993,0.2671978175640106,0.19117170572280884,0.4933079481124878,0.28173139691352844,1.0,0.23003633320331573,0.4933079481124878,0.25333714485168457,1.0,0.26337864995002747,0.4933079481124878,0.5171257257461548,0.25681272149086,1.0,0.26337864995002747,0.40150508284568787,0.3476756513118744,0.535392165184021,0.3176874816417694
architect,0.18636545538902283,0.12974852323532104,0.11014332622289658,0.16537004709243774,0.5258270502090454,0.13209693133831024,0.218347430229187,0.21737651526927948,0.12996923923492432,0.13209693133831024,0.21818570792675018,0.20191539824008942,0.044430721551179886,0.38390594720840454,0.31317010521888733,0.21737651526927948,0.22330646216869354,0.13209693133831024,0.17316529154777527,0.21737651526927948,0.10662300884723663,0.13209693133831024,0.218347430229187,0.21737651526927948,0.20191539824008942,0.16011710464954376,0.13209693133831024,0.218347430229187,0.1292114406824112,0.18862061202526093,0.16537004709243774,0.19115914404392242
or,0.3162831962108612,0.15656788647174835,0.41870999336242676,0.38921234011650085,0.12274473160505295,0.4174870550632477,0.23718111217021942,0.3769497275352478,0.2505810856819153,0.4174870550632477,0.41501355171203613,0.4713204801082611,0.30334553122520447,0.20974527299404144,0.19531071186065674,0.3769497275352478,0.2708108127117157,0.4174870550632477,0.1180046871304512,0.3769497275352478,0.3214176595211029,0.4174870550632477,0.23718111217021942,0.3769497275352478,0.4713204801082611,0.2533990144729614,0.4174870550632477,0.23718111217021942,0.31242018938064575,0.1788543164730072,0.38921234011650085,0.18369489908218384
engineer,0.17917656898498535,0.13672654330730438,0.15446330606937408,0.14876389503479004,0.3976709544658661,0.16607177257537842,0.1610846370458603,0.2545630931854248,0.18274253606796265,0.16607177257537842,0.17609260976314545,0.21382363140583038,0.2070489227771759,0.29536160826683044,0.20919224619865417,0.2545630931854248,0.18627779185771942,0.16607177257537842,0.17792682349681854,0.2545630931854248,0.05004216358065605,0.16607177257537842,0.1610846370458603,0.2545630931854248,0.21382363140583038,0.16842156648635864,0.16607177257537842,0.1610846370458603,0.14423824846744537,0.1630767583847046,0.14876389503479004,0.18624159693717957
acts,0.12741489708423615,0.2814403474330902,0.253656268119812,0.2012343853712082,0.12621159851551056,0.2568269371986389,0.25699174404144287,0.2014220803976059,0.19531656801700592,0.2568269371986389,0.22968782484531403,0.20423464477062225,0.18305280804634094,0.14644905924797058,0.14924128353595734,0.2014220803976059,0.2190372347831726,0.2568269371986389,0.215398371219635,0.2014220803976059,0.13856321573257446,0.2568269371986389,0.25699174404144287,0.2014220803976059,0.20423464477062225,0.16053707897663116,0.2568269371986389,0.25699174404144287,0.14381542801856995,0.2575344741344452,0.2012343853712082,0.14886410534381866
as,0.3202406167984009,0.4036863148212433,0.43216490745544434,0.42092081904411316,0.21253643929958344,0.48381632566452026,0.2642597258090973,0.48816442489624023,0.2279907613992691,0.48381632566452026,0.2804725766181946,0.49487000703811646,0.26654115319252014,0.22668303549289703,0.18914979696273804,0.48816442489624023,0.27114176750183105,0.48381632566452026,0.15880483388900757,0.48816442489624023,0.24681971967220306,0.48381632566452026,0.2642597258090973,0.48816442489624023,0.49487000703811646,0.22387655079364777,0.48381632566452026,0.2642597258090973,0.3251767158508301,0.2755369544029236,0.42092081904411316,0.20413751900196075
