,building,printing,is,making,it,possible,to,flexibly,construct,small,commercial,buildings,and,private,habitations,in,what,amount,of,time,?
in,0.3256937265396118,0.22161865234375,0.5394441485404968,0.280230849981308,0.5130809545516968,0.2287878543138504,0.45010748505592346,0.14273998141288757,0.2649496793746948,0.3722202181816101,0.2615188956260681,0.3479180932044983,0.4954058527946472,0.21135757863521576,0.2973276376724243,1.0,0.30808621644973755,0.2569429874420166,0.5696388483047485,0.3431483507156372,0.20430970191955566
a,0.2576078176498413,0.262067973613739,0.658733606338501,0.3237393796443939,0.5452592968940735,0.3421713411808014,0.45503583550453186,0.2553442716598511,0.30372241139411926,0.41262131929397583,0.2696971893310547,0.22776827216148376,0.3739250600337982,0.20346391201019287,0.24691864848136902,0.539380669593811,0.3320399522781372,0.3439450263977051,0.5052502155303955,0.3292340338230133,0.23916715383529663
form,0.12745290994644165,0.16752760112285614,0.3218395411968231,0.22204381227493286,0.31451088190078735,0.23094657063484192,0.2772196829319,0.29507142305374146,0.23147602379322052,0.2498980015516281,0.09964624792337418,0.14379926025867462,0.30469027161598206,0.14680364727973938,0.2434963881969452,0.2815987169742584,0.15868011116981506,0.2642080783843994,0.29600051045417786,0.21310770511627197,0.1463010311126709
of,0.26200541853904724,0.23686911165714264,0.4854315221309662,0.3250596821308136,0.38761502504348755,0.3314395844936371,0.41548454761505127,0.17300406098365784,0.24681958556175232,0.353353351354599,0.21107374131679535,0.2829168736934662,0.5116966962814331,0.18706899881362915,0.320768266916275,0.5696388483047485,0.33290785551071167,0.2541177570819855,1.0,0.35127586126327515,0.1826142966747284
additive,0.21369527280330658,0.21433424949645996,0.3262607157230377,0.27586036920547485,0.28832918405532837,0.2659246027469635,0.25312766432762146,0.25860050320625305,0.30854055285453796,0.21975572407245636,0.30641624331474304,0.23457303643226624,0.2936302721500397,0.12475213408470154,0.2802317142486572,0.23449565470218658,0.19144724309444427,0.3290662467479706,0.2644406259059906,0.11206638067960739,0.15785454213619232
building,0.9999998807907104,0.27669501304626465,0.20087163150310516,0.2973703444004059,0.2947906255722046,0.15899024903774261,0.2658686637878418,0.18776358664035797,0.4708453118801117,0.22012944519519806,0.1868683248758316,0.765990138053894,0.2593274712562561,0.20027288794517517,0.24007727205753326,0.3256937265396118,0.23529528081417084,0.18932348489761353,0.26200541853904724,0.19608338177204132,0.13549931347370148
construction,0.5609999895095825,0.3551894724369049,0.2135658711194992,0.29608118534088135,0.22723008692264557,0.22925406694412231,0.24810278415679932,0.21490992605686188,0.7892975807189941,0.19078275561332703,0.3261876404285431,0.47569942474365234,0.22762417793273926,0.15879076719284058,0.30011826753616333,0.3031303882598877,0.20329850912094116,0.18836544454097748,0.2815735340118408,0.2038273960351944,0.13494056463241577
",",0.2374238669872284,0.25780928134918213,0.4691906273365021,0.3254455029964447,0.48329564929008484,0.3032452464103699,0.44245919585227966,0.20253340899944305,0.21148894727230072,0.3083299398422241,0.26546892523765564,0.272444486618042,0.6633074283599854,0.1899166703224182,0.3093934953212738,0.5201468467712402,0.3087472915649414,0.21125462651252747,0.4946078956127167,0.3029961884021759,0.31091248989105225
similar,0.13887856900691986,0.18129386007785797,0.28929588198661804,0.28883296251296997,0.35478082299232483,0.32131633162498474,0.2888135313987732,0.36188820004463196,0.30955374240875244,0.3297330141067505,0.20869550108909607,0.16350962221622467,0.3316260874271393,0.15252240002155304,0.2257062941789627,0.28091391921043396,0.30608364939689636,0.19528619945049286,0.2911645472049713,0.18560491502285004,0.23309361934661865
to,0.2658686637878418,0.1891471892595291,0.42745086550712585,0.3740498423576355,0.513711154460907,0.4506641626358032,1.0,0.27637675404548645,0.3568635582923889,0.3054737150669098,0.2572329044342041,0.25290772318840027,0.48971283435821533,0.18892748653888702,0.30523520708084106,0.45010748505592346,0.455847829580307,0.309798926115036,0.41548454761505127,0.3679993152618408,0.29463258385658264
