,who,might,be,responsible,for,student,discipline,?
outside,0.2768247425556183,0.2717774212360382,0.3016713261604309,0.19226379692554474,0.2657284140586853,0.21098335087299347,0.2035442590713501,0.14839068055152893
of,0.2827862501144409,0.2900311052799225,0.33904364705085754,0.37070101499557495,0.4185989499092102,0.20310284197330475,0.2260950356721878,0.1826142966747284
the,0.3733934462070465,0.32504433393478394,0.4248143136501312,0.3305104374885559,0.4739971458911896,0.21259291470050812,0.1981438249349594,0.22068053483963013
classroom,0.22359836101531982,0.2466222643852234,0.2462451159954071,0.18131466209888458,0.25043272972106934,0.4355435073375702,0.3398951590061188,0.23190370202064514
teachers,0.34250906109809875,0.24122771620750427,0.20256873965263367,0.1879110485315323,0.274332195520401,0.5576453804969788,0.28530004620552063,0.19522249698638916
may,0.23082798719406128,0.5044193863868713,0.45514434576034546,0.1265905350446701,0.29255861043930054,0.17901644110679626,0.14022758603096008,0.2768254578113556
accompany,0.36114558577537537,0.22860504686832428,0.3341265916824341,0.23219366371631622,0.31189635396003723,0.21172624826431274,0.21425537765026093,0.17882870137691498
students,0.3510516881942749,0.22484560310840607,0.22850628197193146,0.18225841224193573,0.2460945099592209,0.7746244072914124,0.32113873958587646,0.18017297983169556
on,0.2340552806854248,0.23525792360305786,0.37900757789611816,0.1621275097131729,0.36199691891670227,0.17496874928474426,0.12418979406356812,0.2714994251728058
field,0.18098586797714233,0.21090315282344818,0.21388062834739685,0.13438206911087036,0.24342265725135803,0.1019335687160492,0.36647993326187134,0.11279727518558502
trips,0.2582942843437195,0.22243481874465942,0.22614558041095734,0.10092582553625107,0.24201631546020508,0.14341597259044647,0.24274729192256927,0.07787525653839111
",",0.3365725874900818,0.2533247768878937,0.39254459738731384,0.2192283272743225,0.4464869201183319,0.2261858433485031,0.18374353647232056,0.31091248989105225
supervise,0.3235754668712616,0.26153892278671265,0.23321828246116638,0.410614550113678,0.32907214760780334,0.3131100833415985,0.29156938195228577,0.20844393968582153
study,0.21352694928646088,0.30301177501678467,0.23262172937393188,0.2211696058511734,0.18700449168682098,0.37676331400871277,0.3763872981071472,0.15902167558670044
