,how,much,did,the,milton,friedman,institute,roughly,cost,?
the,0.33890387415885925,0.35023224353790283,0.34736719727516174,1.0,0.20148779451847076,0.1496504694223404,0.24399729073047638,0.3095499873161316,0.23177006840705872,0.22068053483963013
institute,0.1578029990196228,0.17402197420597076,0.13879841566085815,0.24399729073047638,0.11433455348014832,0.2826704680919647,1.0,0.1674778312444687,0.1943606585264206,0.115291528403759
will,0.41543328762054443,0.33636274933815,0.40638336539268494,0.3635469079017639,0.1780928075313568,0.12343934923410416,0.08407677710056305,0.1367224007844925,0.1981884092092514,0.35046905279159546
cost,0.26260897517204285,0.35547950863838196,0.2525390386581421,0.23177006840705872,0.18808987736701965,0.15706908702850342,0.1943606585264206,0.21012216806411743,1.0000001192092896,0.17823095619678497
around,0.3297552764415741,0.3766762316226959,0.1658935695886612,0.40085816383361816,0.08430842310190201,0.07769028842449188,0.1390763372182846,0.4200389087200165,0.18968404829502106,0.14729668200016022
$,0.18718640506267548,0.205519899725914,0.23203131556510925,0.23367542028427124,0.16792461276054382,0.1831132024526596,0.13712529838085175,0.20379309356212616,0.5133980512619019,0.2786129117012024
200,-0.2139798104763031,-0.24714946746826172,-0.20726703107357025,-0.23840995132923126,-0.11692127585411072,-0.13716159760951996,-0.23135770857334137,-0.17748554050922394,-0.17924387753009796,-0.22913911938667297
million,0.21114659309387207,0.2792966067790985,0.1815238744020462,0.277012437582016,0.15895839035511017,0.09537462890148163,0.15257121622562408,0.3303842842578888,0.3814373016357422,0.23092924058437347
and,0.33647966384887695,0.38395699858665466,0.34479495882987976,0.5171257257461548,0.23831652104854584,0.27480074763298035,0.24076776206493378,0.29915347695350647,0.2846847474575043,0.20544172823429108
occupy,0.10751816630363464,0.19003768265247345,0.16793875396251678,0.31747862696647644,0.0446704663336277,0.06559504568576813,0.1767754703760147,0.23881301283836365,0.19773295521736145,0.12885627150535583
the,0.33890387415885925,0.35023224353790283,0.34736719727516174,1.0,0.20148779451847076,0.1496504694223404,0.24399729073047638,0.3095499873161316,0.23177006840705872,0.22068053483963013
buildings,0.15449079871177673,0.2416919618844986,0.17572498321533203,0.25566717982292175,0.116785429418087,0.11988329887390137,0.2546262741088867,0.22180335223674774,0.2501455247402191,0.11192528158426285
of,0.2480744868516922,0.2671096920967102,0.2513895630836487,0.733189046382904,0.18757927417755127,0.17398138344287872,0.2977932393550873,0.35703447461128235,0.23332229256629944,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.34736719727516174,1.0,0.20148779451847076,0.1496504694223404,0.24399729073047638,0.3095499873161316,0.23177006840705872,0.22068053483963013
chicago,0.2247859537601471,0.1522563099861145,0.1900576800107956,0.27360326051712036,0.2544141411781311,0.22118018567562103,0.2349669337272644,0.1192905455827713,0.11775244027376175,0.16446958482265472
theological,0.1742677241563797,0.16856637597084045,0.1656060516834259,0.24311421811580658,0.20031926035881042,0.3049571216106415,0.3424011170864105,0.1927192509174347,0.18218137323856354,0.13711953163146973
seminary,0.12310438603162766,0.11628935486078262,0.1618114858865738,0.24656996130943298,0.28222954273223877,0.30258700251579285,0.3997552990913391,0.17633718252182007,0.12852157652378082,0.138591006398201
.,0.3287222981452942,0.3374604284763336,0.35288307070732117,0.5934505462646484,0.23004046082496643,0.2770135998725891,0.21288537979125977,0.2728807330131531,0.26134178042411804,0.4130953550338745
