,which,conference,do,the,teams,in,southern,california,play,in,?
the,0.6521818041801453,0.25393402576446533,0.30239659547805786,1.0,0.3164927661418915,0.6662389636039734,0.3282862603664398,0.2750805914402008,0.24793598055839539,0.6662389636039734,0.22068053483963013
ucla,0.20724564790725708,0.24116501212120056,0.11355284601449966,0.19696348905563354,0.29032593965530396,0.2173970341682434,0.1561879813671112,0.43621301651000977,0.20927278697490692,0.2173970341682434,0.12076085060834885
bruins,0.12875641882419586,0.32769331336021423,0.14337876439094543,0.2325112223625183,0.44273895025253296,0.22853615880012512,0.16636864840984344,0.23302754759788513,0.2968040108680725,0.22853615880012512,0.12275101244449615
and,0.506277859210968,0.21613861620426178,0.276123583316803,0.5171257257461548,0.2197335660457611,0.4954058527946472,0.24232792854309082,0.2441616654396057,0.25634777545928955,0.4954058527946472,0.20544172823429108
the,0.6521818041801453,0.25393402576446533,0.30239659547805786,1.0,0.3164927661418915,0.6662389636039734,0.3282862603664398,0.2750805914402008,0.24793598055839539,0.6662389636039734,0.22068053483963013
usc,0.1278369128704071,0.3309022784233093,0.159805029630661,0.1807693988084793,0.3626649081707001,0.2065298855304718,0.21946220099925995,0.3611574172973633,0.22589540481567383,0.2065298855304718,0.0950627475976944
trojans,0.25902095437049866,0.24644353985786438,0.21163228154182434,0.28302961587905884,0.2749859392642975,0.18626874685287476,0.17200297117233276,0.18087053298950195,0.29214972257614136,0.18626874685287476,0.14886076748371124
both,0.5140923857688904,0.18920713663101196,0.24471816420555115,0.4931981563568115,0.25199511647224426,0.3960166871547699,0.17318367958068848,0.1713142693042755,0.2619777321815491,0.3960166871547699,0.19455738365650177
field,0.21286733448505402,0.1878429800271988,0.1733429878950119,0.2105809599161148,0.2822924852371216,0.20553018152713776,0.10253608226776123,0.17886920273303986,0.189304918050766,0.20553018152713776,0.11279727518558502
teams,0.22479400038719177,0.4815843105316162,0.24586176872253418,0.3164927661418915,1.0,0.2639528214931488,0.16952329874038696,0.14493361115455627,0.3838494122028351,0.2639528214931488,0.11150168627500534
in,0.4840516746044159,0.2199791669845581,0.23402775824069977,0.6662389636039734,0.2639528214931488,1.0,0.3190481662750244,0.2772824168205261,0.24321173131465912,1.0,0.20430970191955566
ncaa,0.19999803602695465,0.5319065451622009,0.18670424818992615,0.24887123703956604,0.5362725257873535,0.19002242386341095,0.12169227749109268,0.21303294599056244,0.3575809597969055,0.19002242386341095,0.14618685841560364
division,0.27775809168815613,0.4192773699760437,0.12946900725364685,0.26203617453575134,0.34903520345687866,0.2658538520336151,0.17895084619522095,0.10760890692472458,0.19992034137248993,0.2658538520336151,0.08900629729032516
i,0.25654318928718567,0.16443295776844025,0.39633429050445557,0.26687872409820557,0.20157484710216522,0.22907796502113342,0.12242928892374039,0.11742795258760452,0.1921231597661972,0.22907796502113342,0.4695145785808563
in,0.4840516746044159,0.2199791669845581,0.23402775824069977,0.6662389636039734,0.2639528214931488,1.0,0.3190481662750244,0.2772824168205261,0.24321173131465912,1.0,0.20430970191955566
the,0.6521818041801453,0.25393402576446533,0.30239659547805786,1.0,0.3164927661418915,0.6662389636039734,0.3282862603664398,0.2750805914402008,0.24793598055839539,0.6662389636039734,0.22068053483963013
pac-12,0.17036284506320953,0.2365148663520813,0.18247799575328827,0.1772192418575287,0.21183687448501587,0.1820744425058365,0.09432067722082138,0.19147081673145294,0.2802633047103882,0.1820744425058365,0.09080679714679718
conference,0.178037628531456,0.9999999403953552,0.15661415457725525,0.25393402576446533,0.4815843105316162,0.2199791669845581,0.16743971407413483,0.19479060173034668,0.2682257294654846,0.2199791669845581,0.11172781884670258
",",0.3658004403114319,0.21862302720546722,0.3283645510673523,0.4933079481124878,0.22220629453659058,0.5201468467712402,0.2795628309249878,0.2704589068889618,0.2231253683567047,0.5201468467712402,0.31091248989105225
and,0.506277859210968,0.21613861620426178,0.276123583316803,0.5171257257461548,0.2197335660457611,0.4954058527946472,0.24232792854309082,0.2441616654396057,0.25634777545928955,0.4954058527946472,0.20544172823429108
there,0.45256471633911133,0.16416874527931213,0.33227086067199707,0.47025805711746216,0.2347501516342163,0.5361666083335876,0.25116652250289917,0.1433659940958023,0.15221142768859863,0.5361666083335876,0.29405656456947327
is,0.4457404911518097,0.13909097015857697,0.30895981192588806,0.5823672413825989,0.1845376342535019,0.5394441485404968,0.2419366091489792,0.20727038383483887,0.2174319475889206,0.5394441485404968,0.22961433231830597
a,0.56894451379776,0.1375192254781723,0.26237669587135315,0.5829201340675354,0.21163642406463623,0.539380669593811,0.25843560695648193,0.2426064908504486,0.21130098402500153,0.539380669593811,0.23916715383529663
