,in,lands,attributed,to,what,tribe,are,found,remains,of,large,settlements,?
in,1.0,0.22373557090759277,0.1462014615535736,0.45010748505592346,0.30808621644973755,0.17848652601242065,0.3841303884983063,0.39141854643821716,0.31639063358306885,0.5696388483047485,0.2841601073741913,0.31333258748054504,0.20430970191955566
the,0.6662389636039734,0.3190511167049408,0.21220806241035461,0.535392165184021,0.42745697498321533,0.280248761177063,0.40399202704429626,0.3452354073524475,0.3663966655731201,0.733189046382904,0.3828733265399933,0.24227768182754517,0.22068053483963013
region,0.3524819314479828,0.257644921541214,0.08666601032018661,0.24118299782276154,0.2298986315727234,0.19361020624637604,0.20011243224143982,0.4615315794944763,0.16177408397197723,0.2852717339992523,0.276833713054657,0.3468533456325531,0.13441751897335052
of,0.5696388483047485,0.2730972170829773,0.2709019184112549,0.41548454761505127,0.33290785551071167,0.22602348029613495,0.39081433415412903,0.2982911467552185,0.3198432922363281,1.0,0.3569655418395996,0.2813670039176941,0.1826142966747284
the,0.6662389636039734,0.3190511167049408,0.21220806241035461,0.535392165184021,0.42745697498321533,0.280248761177063,0.40399202704429626,0.3452354073524475,0.3663966655731201,0.733189046382904,0.3828733265399933,0.24227768182754517,0.22068053483963013
xingu,0.21736103296279907,0.2749156653881073,0.09193737804889679,0.16698472201824188,0.14344684779644012,0.26179686188697815,0.1506931632757187,0.11585313081741333,0.11975360661745071,0.21635043621063232,0.17473600804805756,0.2546028196811676,0.19145335257053375
tribe,0.17848652601242065,0.3084590435028076,0.08685716241598129,0.2397671937942505,0.2215883582830429,1.0000001192092896,0.2047504484653473,0.16349732875823975,0.16669948399066925,0.22602348029613495,0.14125999808311462,0.25501134991645813,0.11037874221801758
",",0.5201468467712402,0.24265161156654358,0.23475953936576843,0.44245919585227966,0.3087472915649414,0.23060214519500732,0.4062570035457611,0.27385151386260986,0.25045427680015564,0.4946078956127167,0.2263888567686081,0.3241141438484192,0.31091248989105225
remains,0.31639063358306885,0.20289890468120575,0.30990684032440186,0.2588605582714081,0.2232762724161148,0.16669948399066925,0.27946600317955017,0.4169403910636902,1.0,0.3198432922363281,0.2291514128446579,0.17480140924453735,0.1479063630104065
of,0.5696388483047485,0.2730972170829773,0.2709019184112549,0.41548454761505127,0.33290785551071167,0.22602348029613495,0.39081433415412903,0.2982911467552185,0.3198432922363281,1.0,0.3569655418395996,0.2813670039176941,0.1826142966747284
some,0.4010399878025055,0.225165456533432,0.23041974008083344,0.4636894166469574,0.4491020441055298,0.16726939380168915,0.6331475377082825,0.3385355472564697,0.31003132462501526,0.4300730526447296,0.3944830894470215,0.24261267483234406,0.2562315762042999
of,0.5696388483047485,0.2730972170829773,0.2709019184112549,0.41548454761505127,0.33290785551071167,0.22602348029613495,0.39081433415412903,0.2982911467552185,0.3198432922363281,1.0,0.3569655418395996,0.2813670039176941,0.1826142966747284
these,0.3791837692260742,0.2469196319580078,0.24089547991752625,0.46852558851242065,0.4164220690727234,0.13546960055828094,0.7107698917388916,0.30648550391197205,0.25961416959762573,0.42684608697891235,0.42300793528556824,0.2635442614555359,0.2571668326854706
large,0.2841601073741913,0.22232241928577423,0.16697372496128082,0.3150999844074249,0.2017821967601776,0.14125999808311462,0.3467932939529419,0.25161072611808777,0.2291514128446579,0.3569655418395996,1.0000001192092896,0.23074916005134583,0.1355665624141693
settlements,0.31333258748054504,0.3629375398159027,0.08472073078155518,0.25245407223701477,0.24496693909168243,0.25501134991645813,0.24509461224079132,0.23135389387607574,0.17480140924453735,0.2813670039176941,0.23074916005134583,0.9999999403953552,0.1671062707901001
in,1.0,0.22373557090759277,0.1462014615535736,0.45010748505592346,0.30808621644973755,0.17848652601242065,0.3841303884983063,0.39141854643821716,0.31639063358306885,0.5696388483047485,0.2841601073741913,0.31333258748054504,0.20430970191955566
the,0.6662389636039734,0.3190511167049408,0.21220806241035461,0.535392165184021,0.42745697498321533,0.280248761177063,0.40399202704429626,0.3452354073524475,0.3663966655731201,0.733189046382904,0.3828733265399933,0.24227768182754517,0.22068053483963013
middle,0.26767921447753906,0.1979607343673706,0.1760823279619217,0.2015334814786911,0.18312302231788635,0.19074298441410065,0.16648951172828674,0.14828024804592133,0.17207103967666626,0.2799445688724518,0.26962605118751526,0.19470906257629395,0.13139553368091583
of,0.5696388483047485,0.2730972170829773,0.2709019184112549,0.41548454761505127,0.33290785551071167,0.22602348029613495,0.39081433415412903,0.2982911467552185,0.3198432922363281,1.0,0.3569655418395996,0.2813670039176941,0.1826142966747284
the,0.6662389636039734,0.3190511167049408,0.21220806241035461,0.535392165184021,0.42745697498321533,0.280248761177063,0.40399202704429626,0.3452354073524475,0.3663966655731201,0.733189046382904,0.3828733265399933,0.24227768182754517,0.22068053483963013
amazon,0.12227833271026611,0.14139311015605927,0.0851762667298317,0.17033490538597107,0.16355936229228973,0.2319360226392746,0.15230076014995575,0.20789004862308502,0.11203856021165848,0.20143137872219086,0.16262684762477875,0.09027209132909775,0.18144656717777252
forest,0.24136987328529358,0.3023640215396881,0.0339677557349205,0.1971547156572342,0.15328429639339447,0.21906907856464386,0.17875638604164124,0.19032862782478333,0.19263923168182373,0.2309139519929886,0.1917639672756195,0.21887342631816864,0.1214437186717987
were,0.3815755248069763,0.25787726044654846,0.23569244146347046,0.31913647055625916,0.22298263013362885,0.20031005144119263,0.6489362716674805,0.23296621441841125,0.34316346049308777,0.34038281440734863,0.3147265911102295,0.2645201086997986,0.17890112102031708
found,0.39141854643821716,0.1878780722618103,0.24647481739521027,0.25225648283958435,0.1796332150697708,0.16349732875823975,0.2740558087825775,0.9999999403953552,0.4169403910636902,0.2982911467552185,0.25161072611808777,0.23135389387607574,0.16790300607681274
in,1.0,0.22373557090759277,0.1462014615535736,0.45010748505592346,0.30808621644973755,0.17848652601242065,0.3841303884983063,0.39141854643821716,0.31639063358306885,0.5696388483047485,0.2841601073741913,0.31333258748054504,0.20430970191955566
2003,-0.1320333480834961,-0.232017382979393,-0.08282965421676636,-0.1959497481584549,-0.17906495928764343,-0.05919994041323662,-0.09746265411376953,-0.15492422878742218,-0.15354330837726593,-0.16871118545532227,-0.17974743247032166,-0.0808282420039177,-0.17560148239135742
by,0.370934396982193,0.23103667795658112,0.3223225772380829,0.33534231781959534,0.2455483376979828,0.16805842518806458,0.37842893600463867,0.17248263955116272,0.14384661614894867,0.3646814823150635,0.2555539309978485,0.14743714034557343,0.17966607213020325
michael,0.2203132063150406,0.09137506037950516,0.14091868698596954,0.1299484521150589,0.12049687653779984,0.06107382848858833,0.0680089145898819,0.07836943119764328,0.08418113738298416,0.18215155601501465,0.04638740047812462,0.08317441493272781,0.0667748749256134
heckenberger,0.3021192252635956,0.18780073523521423,0.09309542179107666,0.20204812288284302,0.14302973449230194,0.1174163743853569,0.14559882879257202,0.1310894936323166,0.19492629170417786,0.23029951751232147,0.1523488163948059,0.15026745200157166,0.21537034213542938
and,0.4954058527946472,0.2984853982925415,0.20042148232460022,0.48971283435821533,0.31309178471565247,0.1568450778722763,0.48576638102531433,0.27978911995887756,0.2846171259880066,0.5116966962814331,0.3404269814491272,0.2879072427749634,0.20544172823429108
colleagues,0.21033704280853271,0.15353316068649292,0.29998326301574707,0.25015169382095337,0.23925349116325378,0.18742117285728455,0.19904166460037231,0.26382574439048767,0.30813273787498474,0.2139822542667389,0.14092569053173065,0.0966421440243721,0.15860716998577118
of,0.5696388483047485,0.2730972170829773,0.2709019184112549,0.41548454761505127,0.33290785551071167,0.22602348029613495,0.39081433415412903,0.2982911467552185,0.3198432922363281,1.0,0.3569655418395996,0.2813670039176941,0.1826142966747284
the,0.6662389636039734,0.3190511167049408,0.21220806241035461,0.535392165184021,0.42745697498321533,0.280248761177063,0.40399202704429626,0.3452354073524475,0.3663966655731201,0.733189046382904,0.3828733265399933,0.24227768182754517,0.22068053483963013
university,0.3201795518398285,0.18312084674835205,0.12316159158945084,0.20192374289035797,0.20256435871124268,0.15312780439853668,0.16609783470630646,0.13880765438079834,0.17096063494682312,0.30646374821662903,0.15268762409687042,0.22643718123435974,0.11887256056070328
of,0.5696388483047485,0.2730972170829773,0.2709019184112549,0.41548454761505127,0.33290785551071167,0.22602348029613495,0.39081433415412903,0.2982911467552185,0.3198432922363281,1.0,0.3569655418395996,0.2813670039176941,0.1826142966747284
florida,0.2330404818058014,0.217812642455101,0.12013494968414307,0.20760414004325867,0.14450381696224213,0.11758380383253098,0.14455707371234894,0.1625470519065857,0.16748231649398804,0.2330869883298874,0.21862812340259552,0.1602276712656021,0.13469882309436798
.,0.5591574311256409,0.21775345504283905,0.2074218988418579,0.4645031690597534,0.3567904531955719,0.1587309092283249,0.3452940285205841,0.3618174195289612,0.2619389593601227,0.5352458953857422,0.2304532378911972,0.26911333203315735,0.4130953550338745
