,what,color,were,the,bronco,'s,uniforms,in,super,bowl,50,?
as,0.31749409437179565,0.21893621981143951,0.3025437891483307,0.48381632566452026,0.17748500406742096,-0.05775856226682663,0.23654711246490479,0.3887844979763031,0.21450649201869965,0.14539222419261932,-0.0016074778977781534,0.27043893933296204
the,0.42745697498321533,0.21895472705364227,0.3906462490558624,1.0,0.17987582087516785,-0.01540423184633255,0.24092966318130493,0.6662389636039734,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
designated,0.06610333919525146,0.16670647263526917,0.11946389079093933,0.23178240656852722,0.13416047394275665,-0.04129781201481819,0.2346460074186325,0.25212356448173523,0.14785414934158325,0.16266454756259918,0.08604700863361359,0.1318070888519287
home,0.1608789712190628,0.1667480319738388,0.20982490479946136,0.28978195786476135,0.1563318371772766,0.07170099765062332,0.2245015949010849,0.30467477440834045,0.12418482452630997,0.1429641842842102,0.05455254390835762,0.0757145956158638
team,0.17632107436656952,0.17301464080810547,0.16634012758731842,0.22564226388931274,0.20225028693675995,0.04450521618127823,0.2783776521682739,0.18841172754764557,0.23339706659317017,0.20460736751556396,0.07221189886331558,0.11243411153554916
in,0.30808621644973755,0.10136925429105759,0.3815755248069763,0.6662389636039734,0.14553722739219666,-0.037580832839012146,0.19122402369976044,1.0,0.18576006591320038,0.17236235737800598,0.021892361342906952,0.20430970191955566
the,0.42745697498321533,0.21895472705364227,0.3906462490558624,1.0,0.17987582087516785,-0.01540423184633255,0.24092966318130493,0.6662389636039734,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
annual,0.14798973500728607,0.10039453208446503,0.09002965688705444,0.2958983778953552,0.07110235840082169,-0.022993717342615128,0.13717329502105713,0.2557781934738159,0.07916140556335449,0.14850832521915436,-0.03275161236524582,0.1083487942814827
rotation,0.22387553751468658,0.1418633908033371,0.10393035411834717,0.2576199471950531,0.20889471471309662,0.030080623924732208,0.15575887262821198,0.13272948563098907,0.16443128883838654,0.1417497843503952,0.042305558919906616,0.1310587376356125
between,0.2462156116962433,0.19662420451641083,0.27047741413116455,0.39067012071609497,0.15640871226787567,0.006096371449530125,0.11823678761720657,0.41100412607192993,0.07381514459848404,0.10010302066802979,0.060629747807979584,0.12887074053287506
