,what,storm,had,the,most,significant,impact,on,jacksonville,?
the,0.42745697498321533,0.25350332260131836,0.3875846862792969,1.0,0.47635307908058167,0.35524800419807434,0.22336715459823608,0.5107308030128479,0.2176690250635147,0.22068053483963013
strongest,0.20878702402114868,0.455982506275177,0.2223619520664215,0.3046645522117615,0.4019291400909424,0.22186194360256195,0.2955480217933655,0.20360346138477325,0.19757065176963806,0.14222878217697144
effect,0.2546532452106476,0.18905319273471832,0.13675934076309204,0.2865084111690521,0.22101694345474243,0.29727303981781006,0.35346728563308716,0.2661469280719757,0.1783958375453949,0.1783771812915802
on,0.34226128458976746,0.18933306634426117,0.36692994832992554,0.5107308030128479,0.28303956985473633,0.25197988748550415,0.24748864769935608,0.9999999403953552,0.23172973096370697,0.2714994251728058
jacksonville,0.14578714966773987,0.2703884243965149,0.2762775421142578,0.2176690250635147,0.17340192198753357,0.11145623028278351,0.1545102447271347,0.23172973096370697,1.0000001192092896,0.1359667330980301
was,0.22111038863658905,0.2252548635005951,0.5927209258079529,0.48711544275283813,0.29933857917785645,0.187061607837677,0.23431995511054993,0.3909217119216919,0.2742757201194763,0.18412111699581146
from,0.2737620174884796,0.1941574662923813,0.3075238764286041,0.40150508284568787,0.28580769896507263,0.1506049782037735,0.15606744587421417,0.36926645040512085,0.20407649874687195,0.19969791173934937
hurricane,0.17887334525585175,0.7888212203979492,0.205715611577034,0.2275574505329132,0.17778289318084717,0.16085295379161835,0.3185761272907257,0.193372443318367,0.2863163948059082,0.16966365277767181
dora,0.1394513100385666,0.21497198939323425,0.1265995055437088,0.2615422010421753,0.12822864949703217,0.13491860032081604,0.1394871026277542,0.1828141063451767,0.22111965715885162,0.17865820229053497
in,0.30808621644973755,0.2075699269771576,0.385026752948761,0.6662389636039734,0.41416558623313904,0.3551969528198242,0.18933768570423126,0.46853652596473694,0.22147351503372192,0.20430970191955566
1964,-0.0811573788523674,-0.04158659279346466,-0.09840469807386398,-0.01880853809416294,0.03104046918451786,-0.03299620375037193,0.005273416638374329,0.04964355379343033,-0.06624051928520203,0.041380032896995544
",",0.3087472915649414,0.22881528735160828,0.35487717390060425,0.4933079481124878,0.3636029064655304,0.27671438455581665,0.2012101411819458,0.49057599902153015,0.2837527096271515,0.31091248989105225
the,0.42745697498321533,0.25350332260131836,0.3875846862792969,1.0,0.47635307908058167,0.35524800419807434,0.22336715459823608,0.5107308030128479,0.2176690250635147,0.22068053483963013
only,0.41415658593177795,0.18960435688495636,0.3839550316333771,0.5497692227363586,0.5343596935272217,0.34672534465789795,0.2668842077255249,0.38586410880088806,0.237006276845932,0.2767370045185089
recorded,0.17687608301639557,0.21741002798080444,0.34789225459098816,0.2759207487106323,0.2863507866859436,0.1909264475107193,0.2018921971321106,0.26053643226623535,0.2532455623149872,0.19213420152664185
storm,0.21871116757392883,1.0000001192092896,0.21300064027309418,0.25350332260131836,0.16641150414943695,0.15356817841529846,0.25758644938468933,0.18933306634426117,0.2703884243965149,0.18526427447795868
to,0.455847829580307,0.2240765243768692,0.37984350323677063,0.535392165184021,0.321603000164032,0.27648770809173584,0.2031068354845047,0.41031414270401,0.1994343250989914,0.29463258385658264
hit,0.22790727019309998,0.3352140784263611,0.258849173784256,0.2674407958984375,0.2512191832065582,0.17303140461444855,0.27597737312316895,0.32378342747688293,0.24327577650547028,0.14460130035877228
the,0.42745697498321533,0.25350332260131836,0.3875846862792969,1.0,0.47635307908058167,0.35524800419807434,0.22336715459823608,0.5107308030128479,0.2176690250635147,0.22068053483963013
first,0.28086137771606445,0.1643584966659546,0.3379828929901123,0.49448907375335693,0.34339818358421326,0.2470574975013733,0.21753299236297607,0.3120559751987457,0.2168712168931961,0.18701928853988647
coast,0.2200622260570526,0.3610653877258301,0.16590996086597443,0.28366661071777344,0.25896862149238586,0.14585861563682556,0.1412094682455063,0.23992526531219482,0.24648600816726685,0.15869849920272827
with,0.2464839518070221,0.19520945847034454,0.4739086329936981,0.4223487675189972,0.336320698261261,0.23590056598186493,0.23490789532661438,0.40749499201774597,0.2283513844013214,0.2433311939239502
sustained,0.19234944880008698,0.39751356840133667,0.2967485785484314,0.2170950025320053,0.16198809444904327,0.32508885860443115,0.3629983961582184,0.2600753903388977,0.23017524182796478,0.16435115039348602
hurricane-force,0.2541187107563019,0.756153404712677,0.23359522223472595,0.295073926448822,0.22809255123138428,0.2283141016960144,0.3790738582611084,0.23984894156455994,0.37631955742836,0.2713429629802704
winds,0.18654604256153107,0.6484799385070801,0.2200784832239151,0.2427695244550705,0.17166182398796082,0.18237680196762085,0.2831704020500183,0.24176689982414246,0.24874284863471985,0.1398162990808487
.,0.3567904531955719,0.227887362241745,0.37348684668540955,0.5934505462646484,0.35404038429260254,0.28046533465385437,0.2026742696762085,0.49257001280784607,0.2843366861343384,0.4130953550338745
