,what,did,the,initial,first,stages,of,the,saturn,i,tests,carry,?
the,0.42745697498321533,0.34736719727516174,1.0,0.29837024211883545,0.49448907375335693,0.29316213726997375,0.733189046382904,1.0,0.24189656972885132,0.26687872409820557,0.24070581793785095,0.26752355694770813,0.22068053483963013
first,0.28086137771606445,0.33691170811653137,0.49448907375335693,0.3134016692638397,1.0,0.2467678189277649,0.3536086082458496,0.49448907375335693,0.20075896382331848,0.2402746081352234,0.28823739290237427,0.19887983798980713,0.18701928853988647
four,0.18057085573673248,0.20222175121307373,0.40344667434692383,0.1207117885351181,0.3285832405090332,0.27883031964302063,0.36293646693229675,0.40344667434692383,0.1726575642824173,0.10169211775064468,0.06297316402196884,0.17736002802848816,0.14532537758350372
saturn,0.12153393030166626,0.18646769225597382,0.24189656972885132,0.15079355239868164,0.20075896382331848,0.10938645899295807,0.19011574983596802,0.24189656972885132,1.0,0.24241867661476135,0.1383194923400879,0.13611479103565216,0.1619711071252823
i,0.4411132335662842,0.32301032543182373,0.26687872409820557,0.2727803885936737,0.2402746081352234,0.0972035825252533,0.25849398970603943,0.26687872409820557,0.24241867661476135,0.9999999403953552,0.20194773375988007,0.1744379848241806,0.4695145785808563
test,0.2596650719642639,0.1707909107208252,0.19235259294509888,0.2930038869380951,0.2889637351036072,0.20037327706813812,0.164191335439682,0.19235259294509888,0.13741494715213776,0.2271561473608017,0.7725468277931213,0.2548081576824188,0.19832737743854523
flights,0.17598165571689606,0.17038506269454956,0.25325238704681396,0.15008309483528137,0.2564427852630615,0.16848962008953094,0.1994985193014145,0.25325238704681396,0.2104051560163498,0.1872948259115219,0.251859575510025,0.3192135989665985,0.1590299755334854
were,0.22298263013362885,0.4162326455116272,0.3906462490558624,0.15666094422340393,0.3285558819770813,0.20913328230381012,0.34038281440734863,0.3906462490558624,0.17961199581623077,0.19386646151542664,0.20952953398227692,0.2568962872028351,0.17890112102031708
launched,0.1668553501367569,0.1794346421957016,0.2547066807746887,0.2736753523349762,0.30769190192222595,0.16498476266860962,0.20039688050746918,0.2547066807746887,0.318340003490448,0.14752373099327087,0.23527897894382477,0.22919131815433502,0.1803835779428482
from,0.2737620174884796,0.20248863101005554,0.40150508284568787,0.16790804266929626,0.23348960280418396,0.17079973220825195,0.4249346852302551,0.40150508284568787,0.1716071367263794,0.1677764356136322,0.10886180400848389,0.20240025222301483,0.19969791173934937
lc-34,0.18779771029949188,0.19885551929473877,0.24712584912776947,0.15489152073860168,0.14344768226146698,0.08571705222129822,0.2576541304588318,0.24712584912776947,0.22815707325935364,0.19788116216659546,0.198959618806839,0.10447631776332855,0.1449761986732483
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.1954146921634674,0.34503069519996643,0.24272145330905914,0.4946078956127167,0.4933079481124878,0.22104106843471527,0.3467482030391693,0.1946844905614853,0.1951419711112976,0.31091248989105225
with,0.2464839518070221,0.25472134351730347,0.4223487675189972,0.19669650495052338,0.2691199779510498,0.15601323544979095,0.41827285289764404,0.4223487675189972,0.15670639276504517,0.2640714943408966,0.16430038213729858,0.22976382076740265,0.2433311939239502
only,0.41415658593177795,0.4039593040943146,0.5497692227363586,0.3155643939971924,0.44869527220726013,0.24641232192516327,0.49632513523101807,0.5497692227363586,0.24501386284828186,0.38789060711860657,0.23770907521247864,0.2743508815765381,0.2767370045185089
live,0.20532001554965973,0.2321666032075882,0.2995128035545349,0.023015156388282776,0.20244593918323517,0.1655585765838623,0.27734068036079407,0.2995128035545349,0.09961334615945816,0.13741277158260345,0.05176202580332756,0.24021045863628387,0.19481121003627777
first,0.28086137771606445,0.33691170811653137,0.49448907375335693,0.3134016692638397,1.0,0.2467678189277649,0.3536086082458496,0.49448907375335693,0.20075896382331848,0.2402746081352234,0.28823739290237427,0.19887983798980713,0.18701928853988647
stages,0.18274828791618347,0.1924992799758911,0.29316213726997375,0.32978489995002747,0.2467678189277649,1.0000001192092896,0.27978867292404175,0.29316213726997375,0.10938645899295807,0.0972035825252533,0.282514750957489,0.16822966933250427,0.12672165036201477
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.1954146921634674,0.34503069519996643,0.24272145330905914,0.4946078956127167,0.4933079481124878,0.22104106843471527,0.3467482030391693,0.1946844905614853,0.1951419711112976,0.31091248989105225
carrying,0.14636102318763733,0.14129848778247833,0.24629071354866028,0.16365696489810944,0.21004922688007355,0.13956595957279205,0.2647595703601837,0.24629071354866028,0.1142343208193779,0.13538037240505219,0.21638622879981995,0.6933835744857788,0.1526285707950592
dummy,0.2624717056751251,0.20445671677589417,0.19597427546977997,0.28713616728782654,0.1753166764974594,0.07606229186058044,0.1296270340681076,0.19597427546977997,0.0957019105553627,0.2813454568386078,0.28300780057907104,0.21657168865203857,0.3163144290447235
upper,0.1592642068862915,0.14103727042675018,0.35289278626441956,0.19152477383613586,0.2146705836057663,0.14590519666671753,0.25818127393722534,0.35289278626441956,0.059870608150959015,0.07224588841199875,0.19235840439796448,0.06665921211242676,0.051342256367206573
stages,0.18274828791618347,0.1924992799758911,0.29316213726997375,0.32978489995002747,0.2467678189277649,1.0000001192092896,0.27978867292404175,0.29316213726997375,0.10938645899295807,0.0972035825252533,0.282514750957489,0.16822966933250427,0.12672165036201477
filled,0.17941854894161224,0.2346423864364624,0.2674119770526886,0.1438252180814743,0.17841406166553497,0.14706569910049438,0.24504315853118896,0.2674119770526886,0.16311940550804138,0.15081347525119781,0.21221044659614563,0.30558252334594727,0.1782117635011673
with,0.2464839518070221,0.25472134351730347,0.4223487675189972,0.19669650495052338,0.2691199779510498,0.15601323544979095,0.41827285289764404,0.4223487675189972,0.15670639276504517,0.2640714943408966,0.16430038213729858,0.22976382076740265,0.2433311939239502
water,0.17456887662410736,0.1909485161304474,0.297396719455719,0.1755203753709793,0.1719202995300293,0.17896732687950134,0.2741255462169647,0.297396719455719,0.18471115827560425,0.1681571751832962,0.14870327711105347,0.23489810526371002,0.14731885492801666
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.24195235967636108,0.4345304071903229,0.2273997664451599,0.5352458953857422,0.5934505462646484,0.23308148980140686,0.33645379543304443,0.2334611713886261,0.21299658715724945,0.4130953550338745
