,because,of,the,gold,theme,",",what,was,super,bowl,50,known,as,?
various,0.19481882452964783,0.3196488320827484,0.3235042691230774,0.17704863846302032,0.22138603031635284,0.30093157291412354,0.26045072078704834,0.14120686054229736,0.18656621873378754,0.13842716813087463,0.015393019653856754,0.23669686913490295,0.35201138257980347,0.12823495268821716
gold-themed,0.25977933406829834,0.2285507172346115,0.32273250818252563,0.4697776734828949,0.6040834188461304,0.35713663697242737,0.3060356378555298,0.3472447395324707,0.3094090521335602,0.3193160891532898,0.07768692076206207,0.2763705253601074,0.2655307352542877,0.2645840346813202
promotions,0.2266102284193039,0.1813122034072876,0.24518147110939026,0.16229762136936188,0.19357386231422424,0.27384960651397705,0.19845254719257355,0.22922086715698242,0.15903757512569427,0.12888547778129578,0.09987545013427734,0.2142363339662552,0.28257325291633606,0.23684287071228027
and,0.5069696307182312,0.5116966962814331,0.5171257257461548,0.26129499077796936,0.2354547381401062,0.6633074283599854,0.31309178471565247,0.3740963041782379,0.18368244171142578,0.1698254644870758,0.0032697415444999933,0.3468935489654541,0.49487000703811646,0.20544172823429108
initiatives,0.2340339869260788,0.2126355767250061,0.22065459191799164,0.04801442474126816,0.12971548736095428,0.18175654113292694,0.20909109711647034,0.13597998023033142,0.09691639989614487,0.12038062512874603,0.006843193434178829,0.15532013773918152,0.2547832131385803,0.21253491938114166
were,0.3762696087360382,0.34038281440734863,0.3906462490558624,0.25720104575157166,0.1238798275589943,0.36755475401878357,0.22298263013362885,0.590133786201477,0.18743500113487244,0.17085392773151398,0.025104328989982605,0.2330206036567688,0.3025437891483307,0.17890112102031708
held,0.21772076189517975,0.28960686922073364,0.32185450196266174,0.2055824100971222,0.16005060076713562,0.2880980372428894,0.0974166989326477,0.30231067538261414,0.1602509617805481,0.1913566142320633,0.018389368429780006,0.22108618915081024,0.16727563738822937,0.14103956520557404
throughout,0.31016600131988525,0.35374847054481506,0.4158564507961273,0.09009707719087601,0.23388122022151947,0.22385434806346893,0.2130906730890274,0.2373686283826828,0.1474054902791977,0.14524398744106293,0.025604495778679848,0.24237115681171417,0.2935595214366913,0.12665234506130219
the,0.44596394896507263,0.733189046382904,1.0,0.27136439085006714,0.2470158040523529,0.4933079481124878,0.42745697498321533,0.48711544275283813,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.3624623417854309,0.48381632566452026,0.22068053483963013
2015,-0.05838742479681969,0.21138253808021545,0.1466771513223648,0.07430937886238098,-0.006539882626384497,0.06568983197212219,-0.07269049435853958,0.14799827337265015,0.04363032057881355,0.0710686594247818,0.01757047325372696,0.13609035313129425,0.04859122261404991,-0.029954981058835983
nfl,0.1405661255121231,0.1524115800857544,0.15305201709270477,0.16953468322753906,0.10590102523565292,0.18939071893692017,0.12579965591430664,0.20145657658576965,0.319060355424881,0.48354101181030273,-0.06279195845127106,0.14964929223060608,0.18464252352714539,0.10610254108905792
season,0.21743419766426086,0.1598338931798935,0.2507155239582062,0.07105309516191483,0.20135252177715302,0.2232367992401123,0.12117787450551987,0.24797968566417694,0.2755677402019501,0.3117852509021759,0.06724537163972855,0.14518272876739502,0.22911055386066437,0.16793298721313477
to,0.5166091918945312,0.41548454761505127,0.535392165184021,0.19999347627162933,0.20641355216503143,0.44245919585227966,0.455847829580307,0.3636345863342285,0.17783479392528534,0.16993016004562378,-0.024239253252744675,0.14337651431560516,0.42092081904411316,0.29463258385658264
