,who,claims,that,public,companies,can,also,be,part,of,civil,disobedience,?
some,0.3978389501571655,0.2390732765197754,0.6049469113349915,0.24756038188934326,0.27211928367614746,0.5319128632545471,0.6210381388664246,0.49956634640693665,0.29379963874816895,0.4300730526447296,0.1851816177368164,0.28606411814689636,0.2562315762042999
theories,0.22866421937942505,0.2756574749946594,0.39760348200798035,0.16447925567626953,0.17321819067001343,0.203708216547966,0.2739749848842621,0.23220601677894592,0.19637924432754517,0.25074607133865356,0.09015687555074692,0.24445658922195435,0.21320602297782898
of,0.2827862501144409,0.2663089632987976,0.41498205065727234,0.2391265481710434,0.22608543932437897,0.2603091299533844,0.4924938678741455,0.33904364705085754,0.452393114566803,1.0,0.24698495864868164,0.31932318210601807,0.1826142966747284
civil,0.14972704648971558,0.16118183732032776,0.16867391765117645,0.26383864879608154,0.15918448567390442,0.12476041913032532,0.22241419553756714,0.18061059713363647,0.12337565422058105,0.24698495864868164,1.0,0.5442691445350647,0.1494513899087906
disobedience,0.34217217564582825,0.2720932960510254,0.3551425039768219,0.3216745853424072,0.1617949903011322,0.15718160569667816,0.30266615748405457,0.2944406270980835,0.20186325907707214,0.31932318210601807,0.5442691445350647,1.0,0.19890835881233215
hold,0.22237171232700348,0.20300525426864624,0.34848764538764954,0.27434834837913513,0.16830100119113922,0.35063910484313965,0.33512040972709656,0.352611243724823,0.2302154302597046,0.2465030699968338,0.16159817576408386,0.25815021991729736,0.18586084246635437
that,0.45444270968437195,0.35298386216163635,1.0,0.2622828185558319,0.24354611337184906,0.4522190988063812,0.6005857586860657,0.6036020517349243,0.37747326493263245,0.41498205065727234,0.16867391765117645,0.3551425039768219,0.32716336846351624
civil,0.14972704648971558,0.16118183732032776,0.16867391765117645,0.26383864879608154,0.15918448567390442,0.12476041913032532,0.22241419553756714,0.18061059713363647,0.12337565422058105,0.24698495864868164,1.0,0.5442691445350647,0.1494513899087906
disobedience,0.34217217564582825,0.2720932960510254,0.3551425039768219,0.3216745853424072,0.1617949903011322,0.15718160569667816,0.30266615748405457,0.2944406270980835,0.20186325907707214,0.31932318210601807,0.5442691445350647,1.0,0.19890835881233215
is,0.24293622374534607,0.18619538843631744,0.3995479643344879,0.1980048567056656,0.1956041008234024,0.44256699085235596,0.5012649297714233,0.4819129705429077,0.4582172930240631,0.4854315221309662,0.16941262781620026,0.21453623473644257,0.22961433231830597
only,0.4202229380607605,0.25297775864601135,0.6004067063331604,0.2922693192958832,0.21561458706855774,0.43433451652526855,0.5950305461883545,0.46042704582214355,0.3272135257720947,0.49632513523101807,0.1800847351551056,0.22540675103664398,0.2767370045185089
justified,0.2851361632347107,0.3204798698425293,0.4198513627052307,0.16695977747440338,0.09649782627820969,0.19653040170669556,0.19376401603221893,0.3197648227214813,0.16181807219982147,0.21700510382652283,0.1624336540699005,0.30395132303237915,0.38761505484580994
against,0.2942115366458893,0.24670931696891785,0.3318655490875244,0.19597190618515015,0.20254521071910858,0.14655618369579315,0.29948410391807556,0.18640132248401642,0.24462014436721802,0.2669808566570282,0.22722691297531128,0.3858777582645416,0.18095137178897858
governmental,0.24651432037353516,0.3243718147277832,0.2677541673183441,0.405253529548645,0.3035624027252197,0.1786239743232727,0.29454174637794495,0.19986242055892944,0.18439041078090668,0.35182538628578186,0.34467142820358276,0.43608200550079346,0.21953752636909485
entities,0.18829214572906494,0.3615838587284088,0.35188058018684387,0.24330514669418335,0.2969854474067688,0.3340085446834564,0.2976413369178772,0.35436075925827026,0.30567264556884766,0.2669031023979187,0.13807769119739532,0.22379295527935028,0.1900196224451065
.,0.3541337847709656,0.2706787586212158,0.4460422694683075,0.21888655424118042,0.20400826632976532,0.35783761739730835,0.49166762828826904,0.4383580684661865,0.32817673683166504,0.5352458953857422,0.2541380822658539,0.2603943943977356,0.4130953550338745
