,why,was,the,rhine,regulated,?
a,0.2667238116264343,0.4508470594882965,0.5829201340675354,0.1823403388261795,0.18604598939418793,0.23916715383529663
regulation,0.1657416820526123,0.1876436173915863,0.33589670062065125,0.16062843799591064,0.8219654560089111,0.1690916270017624
of,0.28464117646217346,0.4069072902202606,0.733189046382904,0.2548927664756775,0.2244439423084259,0.1826142966747284
the,0.30742117762565613,0.48711544275283813,1.0,0.30735138058662415,0.2870032787322998,0.22068053483963013
rhine,0.08587279915809631,0.18681856989860535,0.30735138058662415,1.0,0.17491890490055084,0.13754533231258392
was,0.23341619968414307,1.0000001192092896,0.48711544275283813,0.18681856989860535,0.19747138023376465,0.18412111699581146
called,0.3350362777709961,0.33927658200263977,0.489897221326828,0.14562174677848816,0.28937599062919617,0.18963319063186646
for,0.3869043290615082,0.3863949179649353,0.4739971458911896,0.1584572196006775,0.22951747477054596,0.264628142118454
",",0.2827242314815521,0.45456063747406006,0.4933079481124878,0.167837992310524,0.18714715540409088,0.31091248989105225
with,0.24107445776462555,0.27411898970603943,0.4223487675189972,0.18184249103069305,0.21865393221378326,0.2433311939239502
an,0.22638356685638428,0.3694365322589874,0.4207492768764496,0.07200640439987183,0.2102651596069336,0.19793890416622162
upper,0.09775104373693466,0.16268539428710938,0.35289278626441956,0.27324220538139343,0.15075896680355072,0.051342256367206573
canal,0.11111684888601303,0.19834820926189423,0.26047348976135254,0.3058634102344513,0.18000197410583496,0.1123519018292427
near,0.14399227499961853,0.1933041363954544,0.2879819869995117,0.2615382969379425,0.08504171669483185,0.10734958201646805
diepoldsau,0.1893158107995987,0.2856166660785675,0.3156484365463257,0.5631630420684814,0.22867411375045776,0.2717871367931366
and,0.27806392312049866,0.3740963041782379,0.5171257257461548,0.22029656171798706,0.23976443707942963,0.20544172823429108
a,0.2667238116264343,0.4508470594882965,0.5829201340675354,0.1823403388261795,0.18604598939418793,0.23916715383529663
lower,0.12838831543922424,0.1138346716761589,0.3463275134563446,0.28043457865715027,0.23092065751552582,0.08471795171499252
canal,0.11111684888601303,0.19834820926189423,0.26047348976135254,0.3058634102344513,0.18000197410583496,0.1123519018292427
at,0.23853865265846252,0.36707764863967896,0.457212895154953,0.19469857215881348,0.15156717598438263,0.21978627145290375
fußach,0.1762217879295349,0.1753644496202469,0.2364002913236618,0.42945370078086853,0.14653976261615753,0.2205822467803955
",",0.2827242314815521,0.45456063747406006,0.4933079481124878,0.167837992310524,0.18714715540409088,0.31091248989105225
in,0.23227278888225555,0.45514053106307983,0.6662389636039734,0.24648422002792358,0.1877955198287964,0.20430970191955566
order,0.1690959632396698,0.16897162795066833,0.3284194767475128,0.12970411777496338,0.19530142843723297,0.13725648820400238
to,0.4100138247013092,0.3636345863342285,0.535392165184021,0.1736302673816681,0.19057130813598633,0.29463258385658264
counteract,0.28494882583618164,0.13730543851852417,0.3067632019519806,0.17435722053050995,0.23596225678920746,0.1937524974346161
the,0.30742117762565613,0.48711544275283813,1.0,0.30735138058662415,0.2870032787322998,0.22068053483963013
constant,0.21365675330162048,0.11607828736305237,0.2037150114774704,0.20739522576332092,0.20301063358783722,0.14516431093215942
flooding,0.28506532311439514,0.19221648573875427,0.24058853089809418,0.2048298716545105,0.16310076415538788,0.2615346312522888
and,0.27806392312049866,0.3740963041782379,0.5171257257461548,0.22029656171798706,0.23976443707942963,0.20544172823429108
strong,0.2575831413269043,0.21312883496284485,0.22482411563396454,0.12139569967985153,0.21642248332500458,0.11990999430418015
sedimentation,0.2079896181821823,0.10663878917694092,0.2617757022380829,0.17811830341815948,0.24952223896980286,0.17398139834403992
in,0.23227278888225555,0.45514053106307983,0.6662389636039734,0.24648422002792358,0.1877955198287964,0.20430970191955566
the,0.30742117762565613,0.48711544275283813,1.0,0.30735138058662415,0.2870032787322998,0.22068053483963013
western,0.10176598280668259,0.2864105999469757,0.37920868396759033,0.23680023849010468,0.155766099691391,0.17439141869544983
rhine,0.08587279915809631,0.18681856989860535,0.30735138058662415,1.0,0.17491890490055084,0.13754533231258392
delta,0.12943586707115173,0.20297802984714508,0.22022446990013123,0.21930839121341705,0.05960415303707123,0.14208948612213135
.,0.32909876108169556,0.40146201848983765,0.5934505462646484,0.2089352011680603,0.1949521005153656,0.4130953550338745
