,in,a,type,iii,secretion,system,",",proteins,are,transported,to,the,host,cell,in,order,to,do,what,?
these,0.3791837692260742,0.24380075931549072,0.26445475220680237,0.13068534433841705,0.3041970431804657,0.3248380720615387,0.37613096833229065,0.36338216066360474,0.7107698917388916,0.29944148659706116,0.46852558851242065,0.49086877703666687,0.166131854057312,0.18951819837093353,0.3791837692260742,0.2744444012641907,0.46852558851242065,0.4402875602245331,0.4164220690727234,0.2571668326854706
proteins,0.23363234102725983,0.23701471090316772,0.23084615170955658,0.11311502009630203,0.4128362536430359,0.2429831176996231,0.1900382786989212,0.9999999403953552,0.3328206241130829,0.2729228436946869,0.24676139652729034,0.23576003313064575,0.23630423843860626,0.48228076100349426,0.23363234102725983,0.20793598890304565,0.24676139652729034,0.23339512944221497,0.21361225843429565,0.18469302356243134
are,0.3841303884983063,0.265255331993103,0.24155041575431824,0.12652139365673065,0.2430916428565979,0.21917270123958588,0.4062570035457611,0.3328206241130829,1.0,0.2528493404388428,0.3504326641559601,0.40399202704429626,0.17550541460514069,0.19039002060890198,0.3841303884983063,0.22330260276794434,0.3504326641559601,0.41111594438552856,0.29724663496017456,0.24591213464736938
often,0.3380797803401947,0.3930865228176117,0.29205119609832764,0.13610008358955383,0.24730971455574036,0.20662763714790344,0.24139221012592316,0.28729236125946045,0.5443448424339294,0.20211312174797058,0.4351843297481537,0.38004449009895325,0.11329983174800873,0.18191778659820557,0.3380797803401947,0.19649329781532288,0.4351843297481537,0.30438441038131714,0.3849453330039978,0.23748154938220978
used,0.3090210556983948,0.3864384889602661,0.30943769216537476,0.10963030159473419,0.20258066058158875,0.27983206510543823,0.3120402991771698,0.23941625654697418,0.3322218656539917,0.3694634437561035,0.40058770775794983,0.3718377649784088,0.08540724962949753,0.2123207300901413,0.3090210556983948,0.23415376245975494,0.40058770775794983,0.3054939806461334,0.27546408772468567,0.22430120408535004
to,0.45010748505592346,0.45503583550453186,0.19930607080459595,0.1442069709300995,0.21997305750846863,0.26662686467170715,0.44245919585227966,0.24676139652729034,0.3504326641559601,0.24132387340068817,1.0,0.535392165184021,0.18300798535346985,0.19730474054813385,0.45010748505592346,0.35544881224632263,1.0,0.38876664638519287,0.455847829580307,0.29463258385658264
shut,0.17678579688072205,0.13849765062332153,0.10023221373558044,0.07159393280744553,0.27484002709388733,0.21098928153514862,0.2065984308719635,0.17155319452285767,0.17568300664424896,0.20619317889213562,0.2614438533782959,0.23559285700321198,0.1956358551979065,0.14854764938354492,0.17678579688072205,0.044604647904634476,0.2614438533782959,0.24526336789131165,0.2487407624721527,0.22577165067195892
down,0.2321847528219223,0.2387222796678543,0.15552526712417603,0.132012277841568,0.23943793773651123,0.1944822520017624,0.23362469673156738,0.18009671568870544,0.20758381485939026,0.28039395809173584,0.33130598068237305,0.3325848877429962,0.06195874884724617,0.12065605074167252,0.2321847528219223,0.13635240495204926,0.33130598068237305,0.23059864342212677,0.26226112246513367,0.13836295902729034
host,0.21661671996116638,0.1733594834804535,0.07755744457244873,0.15192483365535736,0.19990353286266327,0.18655748665332794,0.26840344071388245,0.23630423843860626,0.17550541460514069,0.07691886276006699,0.18300798535346985,0.26909032464027405,1.0000001192092896,0.23582066595554352,0.21661671996116638,0.11461999267339706,0.18300798535346985,0.16446317732334137,0.12779991328716278,0.1021634042263031
defenses,0.2573820948600769,0.20818114280700684,0.06312450766563416,0.16319036483764648,0.3241783082485199,0.22766487300395966,0.24748434126377106,0.20546530187129974,0.25174427032470703,0.2782175540924072,0.29417672753334045,0.3284451365470886,0.1557023972272873,0.24118193984031677,0.2573820948600769,0.19893735647201538,0.29417672753334045,0.18086498975753784,0.2086530178785324,0.19043757021427155
.,0.5591574311256409,0.50484299659729,0.23195341229438782,0.24080099165439606,0.16197369992733002,0.2277725487947464,0.6812511086463928,0.2492533177137375,0.3452940285205841,0.2610073387622833,0.4645031690597534,0.5934505462646484,0.20596550405025482,0.2801848351955414,0.5591574311256409,0.20712141692638397,0.4645031690597534,0.3613996207714081,0.3567904531955719,0.4130953550338745
