,who,did,the,fcc,rule,in,favor,of,in,the,april,2000,dispute,between,time,warner,cable,and,abc,?
abc,0.14673753082752228,0.13353709876537323,0.2068762183189392,0.27474352717399597,0.15242911875247955,0.1697147786617279,0.13852077722549438,0.14607268571853638,0.1697147786617279,0.2068762183189392,0.1727592945098877,0.0834399089217186,0.14638042449951172,0.07610002905130386,0.17553414404392242,0.33640289306640625,0.3252342939376831,0.16453155875205994,1.0000001192092896,0.19065172970294952
filed,0.15069493651390076,0.2150028496980667,0.16002413630485535,0.23200680315494537,0.11614049226045609,0.17504344880580902,0.18972085416316986,0.15528519451618195,0.17504344880580902,0.16002413630485535,0.2965591847896576,-0.04672674462199211,0.22455714643001556,0.15048418939113617,0.20954562723636627,0.23812955617904663,0.1289028525352478,0.13030290603637695,0.19482725858688354,0.24084022641181946
an,0.2848317325115204,0.22598257660865784,0.4207492768764496,0.1447693258523941,0.14162680506706238,0.2605783939361572,0.1877450793981552,0.32280945777893066,0.2605783939361572,0.4207492768764496,0.1859140843153,0.01535976491868496,0.16353057324886322,0.18003802001476288,0.17594800889492035,0.12937580049037933,0.20393092930316925,0.2838519215583801,0.16561369597911835,0.19793890416622162
emergency,0.19365377724170685,0.1988172084093094,0.21307751536369324,0.2827228605747223,0.1098117083311081,0.16288918256759644,0.15850363671779633,0.2012619823217392,0.16288918256759644,0.21307751536369324,0.21429957449436188,-0.13876229524612427,0.16926918923854828,0.10263291746377945,0.22968840599060059,0.15085476636886597,0.24885894358158112,0.16085971891880035,0.15673713386058807,0.16178704798221588
petition,0.2593989074230194,0.22595404088497162,0.28466808795928955,0.34144219756126404,0.3041183054447174,0.24708101153373718,0.38232025504112244,0.25472426414489746,0.24708101153373718,0.28466808795928955,0.19832654297351837,-0.0034236363135278225,0.2779899537563324,0.15159635245800018,0.21597588062286377,0.15373961627483368,0.15957346558570862,0.25930503010749817,0.22381317615509033,0.2079213708639145
to,0.42656609416007996,0.4452643394470215,0.535392165184021,0.24543172121047974,0.2587790787220001,0.45010748505592346,0.28869640827178955,0.41548454761505127,0.45010748505592346,0.535392165184021,0.20614087581634521,-0.05413077399134636,0.28106391429901123,0.3639189600944519,0.3679993152618408,0.2131848782300949,0.1879989206790924,0.48971283435821533,0.1762417107820511,0.29463258385658264
the,0.3733934462070465,0.34736719727516174,1.0,0.24932202696800232,0.29894936084747314,0.6662389636039734,0.24460799992084503,0.733189046382904,0.6662389636039734,1.0,0.23232673108577728,-0.015081177465617657,0.2852358818054199,0.39067012071609497,0.43061500787734985,0.2301838994026184,0.2599749267101288,0.5171257257461548,0.2068762183189392,0.22068053483963013
federal,0.20259030163288116,0.16788357496261597,0.27537089586257935,0.35719597339630127,0.14362302422523499,0.22709031403064728,0.22540056705474854,0.264590859413147,0.22709031403064728,0.27537089586257935,0.17801956832408905,-0.06653930246829987,0.22060759365558624,0.1796046644449234,0.17112986743450165,0.16758441925048828,0.1395898014307022,0.23157308995723724,0.16591615974903107,0.1812247931957245
communications,0.2019229233264923,0.18106533586978912,0.2746332883834839,0.41716888546943665,0.13533839583396912,0.1869867891073227,0.10716725140810013,0.24724911153316498,0.1869867891073227,0.2746332883834839,0.18336191773414612,-0.09343694150447845,0.24144551157951355,0.25138288736343384,0.21940861642360687,0.35053083300590515,0.4981203079223633,0.304887592792511,0.25629571080207825,0.09561901539564133
commission,0.15008439123630524,0.18697425723075867,0.24418850243091583,0.40145957469940186,0.1494164913892746,0.21326816082000732,0.19370673596858978,0.2698368728160858,0.21326816082000732,0.24418850243091583,0.19621503353118896,-0.06824192404747009,0.2781310975551605,0.17447040975093842,0.1336650550365448,0.12009908258914948,0.178437739610672,0.21015366911888123,0.1759900003671646,0.16231559216976166
