,what,carries,a,significant,amount,of,the,rhine,flow,through,france,?
on,0.34226128458976746,0.23543818295001984,0.3848365545272827,0.25197988748550415,0.2525322437286377,0.3966929316520691,0.5107308030128479,0.20067645609378815,0.1995432823896408,0.32785001397132874,0.2042606770992279,0.2714994251728058
the,0.42745697498321533,0.367861807346344,0.5829201340675354,0.35524800419807434,0.3336862325668335,0.733189046382904,1.0,0.30735138058662415,0.314039409160614,0.44071322679519653,0.35517507791519165,0.22068053483963013
french,0.17393042147159576,0.06092914938926697,0.24285779893398285,0.12340477854013443,0.13384348154067993,0.19450366497039795,0.2555147111415863,0.2762029767036438,0.12400583177804947,0.16286087036132812,0.5492131114006042,0.1386883556842804
side,0.2532914876937866,0.18952912092208862,0.29873180389404297,0.14143367111682892,0.22647416591644287,0.2452700436115265,0.37146830558776855,0.22595061361789703,0.24637320637702942,0.22126100957393646,0.19805631041526794,0.07831130921840668
",",0.3087472915649414,0.2568763494491577,0.427140474319458,0.27671438455581665,0.21125462651252747,0.4946078956127167,0.4933079481124878,0.167837992310524,0.23027558624744415,0.3060276508331299,0.28250643610954285,0.31091248989105225
the,0.42745697498321533,0.367861807346344,0.5829201340675354,0.35524800419807434,0.3336862325668335,0.733189046382904,1.0,0.30735138058662415,0.314039409160614,0.44071322679519653,0.35517507791519165,0.22068053483963013
grand,0.1358851045370102,0.16565723717212677,0.22816790640354156,0.16005446016788483,0.07962687313556671,0.27195852994918823,0.305169016122818,0.18370801210403442,0.10011748969554901,0.1766975224018097,0.2728543281555176,0.1168735921382904
canal,0.07927161455154419,0.20432475209236145,0.1656898409128189,0.16286037862300873,0.10797238349914551,0.18671196699142456,0.26047348976135254,0.3058634102344513,0.29015475511550903,0.27541863918304443,0.21586593985557556,0.1123519018292427
d'alsace,0.2950030267238617,0.16661028563976288,0.3225550651550293,0.20106279850006104,0.22747202217578888,0.38967448472976685,0.3939538300037384,0.48036476969718933,0.1756814420223236,0.1634739637374878,0.48726311326026917,0.2309580296278
was,0.22111038863658905,0.19241845607757568,0.4508470594882965,0.187061607837677,0.18062427639961243,0.4069072902202606,0.48711544275283813,0.18681856989860535,0.16647294163703918,0.21752823889255524,0.2715669870376587,0.18412111699581146
dug,0.19024737179279327,0.26428335905075073,0.1592438817024231,0.14811478555202484,0.11072186380624771,0.17410917580127716,0.2580382227897644,0.251219242811203,0.1891053318977356,0.27652591466903687,0.12467794120311737,0.15702664852142334
",",0.3087472915649414,0.2568763494491577,0.427140474319458,0.27671438455581665,0.21125462651252747,0.4946078956127167,0.4933079481124878,0.167837992310524,0.23027558624744415,0.3060276508331299,0.28250643610954285,0.31091248989105225
which,0.5261979103088379,0.3648480772972107,0.56894451379776,0.3548031151294708,0.38932931423187256,0.5011631846427917,0.6521818041801453,0.18744276463985443,0.3194761574268341,0.40321648120880127,0.1980295330286026,0.25814583897590637
carries,0.16581358015537262,1.0,0.30845868587493896,0.16470497846603394,0.2772323787212372,0.37620046734809875,0.367861807346344,0.14106231927871704,0.36078086495399475,0.3752472996711731,0.13797514140605927,0.13831257820129395
a,0.3320399522781372,0.30845868587493896,1.0,0.2793380320072174,0.3439450263977051,0.5052502155303955,0.5829201340675354,0.1823403388261795,0.21422207355499268,0.3399752974510193,0.24802380800247192,0.23916715383529663
significant,0.24268144369125366,0.16470497846603394,0.2793380320072174,1.0,0.3244238793849945,0.318554162979126,0.35524800419807434,0.12132226675748825,0.16802656650543213,0.2243645042181015,0.1320868879556656,0.18679562211036682
part,0.3476244807243347,0.24188876152038574,0.3994528353214264,0.250461608171463,0.22610913217067719,0.452393114566803,0.527681291103363,0.23044916987419128,0.22870250046253204,0.3582339882850647,0.26355621218681335,0.08557961881160736
of,0.33290785551071167,0.37620046734809875,0.5052502155303955,0.318554162979126,0.2541177570819855,1.0,0.733189046382904,0.2548927664756775,0.2407451719045639,0.3647414743900299,0.3265724182128906,0.1826142966747284
the,0.42745697498321533,0.367861807346344,0.5829201340675354,0.35524800419807434,0.3336862325668335,0.733189046382904,1.0,0.30735138058662415,0.314039409160614,0.44071322679519653,0.35517507791519165,0.22068053483963013
river,0.13815869390964508,0.22193533182144165,0.20514865219593048,0.1024153009057045,0.16408711671829224,0.19903257489204407,0.2894456386566162,0.3672541379928589,0.45109862089157104,0.27566906809806824,0.18550540506839752,0.15390869975090027
water,0.17456887662410736,0.2993469536304474,0.2979097068309784,0.19234934449195862,0.27906087040901184,0.2741255462169647,0.297396719455719,0.18943050503730774,0.4377398192882538,0.3048591613769531,0.1821964681148529,0.14731885492801666
",",0.3087472915649414,0.2568763494491577,0.427140474319458,0.27671438455581665,0.21125462651252747,0.4946078956127167,0.4933079481124878,0.167837992310524,0.23027558624744415,0.3060276508331299,0.28250643610954285,0.31091248989105225
and,0.31309178471565247,0.26883891224861145,0.3739250600337982,0.31841233372688293,0.2668909728527069,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.2773895561695099,0.3666759729385376,0.2925812005996704,0.20544172823429108
all,0.41981086134910583,0.23268046975135803,0.2696802616119385,0.27898719906806946,0.3066994845867157,0.42798417806625366,0.4860881567001343,0.12028631567955017,0.18240642547607422,0.2700263559818268,0.23571501672267914,0.29575422406196594
of,0.33290785551071167,0.37620046734809875,0.5052502155303955,0.318554162979126,0.2541177570819855,1.0,0.733189046382904,0.2548927664756775,0.2407451719045639,0.3647414743900299,0.3265724182128906,0.1826142966747284
the,0.42745697498321533,0.367861807346344,0.5829201340675354,0.35524800419807434,0.3336862325668335,0.733189046382904,1.0,0.30735138058662415,0.314039409160614,0.44071322679519653,0.35517507791519165,0.22068053483963013
