,of,what,mathematical,nature,is,the,basel,problem,?
another,0.38147079944610596,0.4190070629119873,0.2457934319972992,0.19691789150238037,0.41278526186943054,0.5019711852073669,0.19559378921985626,0.279262900352478,0.295511931180954
example,0.3570667505264282,0.3456268310546875,0.28734827041625977,0.24791254103183746,0.36737263202667236,0.3755223751068115,0.18096566200256348,0.3561607897281647,0.30374911427497864
of,1.0,0.33290785551071167,0.2863022983074188,0.22892364859580994,0.4854315221309662,0.733189046382904,0.2537931501865387,0.20464475452899933,0.1826142966747284
the,0.733189046382904,0.42745697498321533,0.21343764662742615,0.19596898555755615,0.5823672413825989,1.0,0.2317996621131897,0.24928659200668335,0.22068053483963013
richness,0.3257100284099579,0.30655866861343384,0.24867819249629974,0.3272356390953064,0.26555347442626953,0.2589553892612457,0.12233157455921173,0.2650441527366638,0.1582779884338379
of,1.0,0.33290785551071167,0.2863022983074188,0.22892364859580994,0.4854315221309662,0.733189046382904,0.2537931501865387,0.20464475452899933,0.1826142966747284
the,0.733189046382904,0.42745697498321533,0.21343764662742615,0.19596898555755615,0.5823672413825989,1.0,0.2317996621131897,0.24928659200668335,0.22068053483963013
zeta,0.14575347304344177,0.1496575027704239,0.2903129458427429,0.08939887583255768,0.18632252514362335,0.20343580842018127,0.14364755153656006,0.10405684262514114,0.06759943068027496
function,0.16667552292346954,0.22155974805355072,0.4079596698284149,0.19151043891906738,0.17586156725883484,0.2037137746810913,0.11615341156721115,0.33479827642440796,0.20672395825386047
and,0.5116966962814331,0.31309178471565247,0.22746597230434418,0.26560109853744507,0.3859752118587494,0.5171257257461548,0.2158564329147339,0.24328261613845825,0.20544172823429108
a,0.5052502155303955,0.3320399522781372,0.24343366920948029,0.22402097284793854,0.658733606338501,0.5829201340675354,0.27433669567108154,0.2605542540550232,0.23916715383529663
glimpse,0.25254130363464355,0.24756065011024475,0.191706582903862,0.24457772076129913,0.2559366226196289,0.34883758425712585,0.1966107040643692,0.2550621032714844,0.18716122210025787
of,1.0,0.33290785551071167,0.2863022983074188,0.22892364859580994,0.4854315221309662,0.733189046382904,0.2537931501865387,0.20464475452899933,0.1826142966747284
modern,0.3482828736305237,0.2655639946460724,0.220936581492424,0.16010752320289612,0.24170172214508057,0.3283970355987549,0.13153012096881866,0.21941876411437988,0.12475407868623734
algebraic,0.26053673028945923,0.20285184681415558,0.6557741165161133,0.25615987181663513,0.24270190298557281,0.2047547549009323,0.221507266163826,0.37281835079193115,0.2315273880958557
number,0.2778518795967102,0.23046229779720306,0.3158797025680542,0.1568058431148529,0.22390379011631012,0.35145696997642517,0.19216664135456085,0.253656268119812,0.19256845116615295
theory,0.23506702482700348,0.297923743724823,0.5138780474662781,0.38875100016593933,0.19279582798480988,0.2277156263589859,0.10414179414510727,0.32978713512420654,0.1387292891740799
is,0.4854315221309662,0.28837618231773376,0.18057724833488464,0.27106931805610657,1.0,0.5823672413825989,0.17891977727413177,0.23238427937030792,0.22961433231830597
the,0.733189046382904,0.42745697498321533,0.21343764662742615,0.19596898555755615,0.5823672413825989,1.0,0.2317996621131897,0.24928659200668335,0.22068053483963013
following,0.3576679527759552,0.2506418824195862,0.21663714945316315,0.12825655937194824,0.21705439686775208,0.39779382944107056,0.13010326027870178,0.14222069084644318,0.1555173695087433
identity,0.14822673797607422,0.24968291819095612,0.27308130264282227,0.23852668702602386,0.2261262685060501,0.22824928164482117,0.07890439033508301,0.2720564305782318,0.1520950198173523
(,0.35032153129577637,0.2411840260028839,0.1686760038137436,0.1489613950252533,0.35393038392066956,0.33289089798927307,0.2120174914598465,0.1944350153207779,0.40561532974243164
basel,0.2537931501865387,0.12809641659259796,0.23666052520275116,0.08244100958108902,0.17891977727413177,0.2317996621131897,1.0000001192092896,0.09841060638427734,0.15991902351379395
problem,0.20464475452899933,0.42183366417884827,0.30826032161712646,0.21545487642288208,0.23238427937030792,0.24928659200668335,0.09841060638427734,1.0,0.3762950301170349
),0.3680361211299896,0.26259949803352356,0.18647709488868713,0.14245332777500153,0.37732169032096863,0.3456730246543884,0.22591915726661682,0.20261481404304504,0.42300865054130554
",",0.4946078956127167,0.3087472915649414,0.2381593883037567,0.24335457384586334,0.4691906273365021,0.4933079481124878,0.26347994804382324,0.23938199877738953,0.31091248989105225
due,0.2533245384693146,0.15204688906669617,0.1621958464384079,0.24220047891139984,0.24065633118152618,0.22577603161334991,0.10607455670833588,0.25848475098609924,0.10954997688531876
to,0.41548454761505127,0.455847829580307,0.2660215497016907,0.2702313959598541,0.42745086550712585,0.535392165184021,0.16040325164794922,0.2502208352088928,0.29463258385658264
euler,0.1717246174812317,0.21743088960647583,0.569027304649353,0.20726677775382996,0.2447567582130432,0.21362240612506866,0.3219631314277649,0.2979205250740051,0.1553041934967041
",",0.4946078956127167,0.3087472915649414,0.2381593883037567,0.24335457384586334,0.4691906273365021,0.4933079481124878,0.26347994804382324,0.23938199877738953,0.31091248989105225
