,what,is,the,only,district,in,the,cbd,to,not,have,``,downtown,'',in,it,'s,name,?
central,0.17723965644836426,0.273421049118042,0.3417201042175293,0.26708945631980896,0.22319814562797546,0.30844059586524963,0.3417201042175293,0.3157043755054474,0.21511952579021454,0.18825478851795197,0.20610825717449188,0.03992777690291405,0.1913793832063675,0.057969436049461365,0.30844059586524963,0.28471311926841736,-0.03171226754784584,0.1127941831946373,0.14787602424621582
business,0.21758167445659637,0.19332653284072876,0.2389037162065506,0.1940983533859253,0.18776759505271912,0.2298729121685028,0.2389037162065506,0.2800072133541107,0.28079214692115784,0.24400891363620758,0.18765702843666077,-0.05304241552948952,0.3174465298652649,0.06789033114910126,0.2298729121685028,0.24615225195884705,0.026998259127140045,0.1640031337738037,0.1545659303665161
districts,0.16162313520908356,0.20545536279678345,0.233962744474411,0.22844143211841583,0.7729225754737854,0.26488247513771057,0.233962744474411,0.3368590176105499,0.14465396106243134,0.16717323660850525,0.1888095736503601,0.1829441636800766,0.32565128803253174,0.02864033542573452,0.26488247513771057,0.21244049072265625,0.08483368158340454,0.192239910364151,0.10677915066480637
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.30817532539367676,0.17382538318634033,0.3087427020072937,0.33289089798927307,0.14185844361782074,0.30882009863853455,0.2710699737071991,0.23072676360607147,0.15585018694400787,0.15079636871814728,-0.022970275953412056,0.3087427020072937,0.2745298147201538,0.0012731997994706035,0.2706909477710724,0.40561532974243164
cbd,0.19219601154327393,0.26199743151664734,0.296295166015625,0.28834789991378784,0.357327938079834,0.2795180380344391,0.296295166015625,1.0,0.2554062008857727,0.18762469291687012,0.25806957483291626,-0.0753437876701355,0.48306503891944885,-0.004403617233037949,0.2795180380344391,0.33684995770454407,0.02703811228275299,0.1691986620426178,0.10800249129533768
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.31837013363838196,0.1807296872138977,0.3326910734176636,0.3456730246543884,0.1490926742553711,0.31236231327056885,0.2718011736869812,0.22866283357143402,0.1698397845029831,0.16443021595478058,-0.028269650414586067,0.3326910734176636,0.28560304641723633,0.021107977256178856,0.2638341188430786,0.42300865054130554
include,0.1535889357328415,0.28863582015037537,0.2951717972755432,0.2859918177127838,0.10854753851890564,0.28694382309913635,0.2951717972755432,0.22157108783721924,0.1820748895406723,0.26363661885261536,0.4281085729598999,-0.0020322874188423157,0.1516457051038742,0.037203479558229446,0.28694382309913635,0.1939142346382141,-0.07849370688199997,0.1803218424320221,0.14925788342952728
downtown,0.1348404437303543,0.21999821066856384,0.2602716088294983,0.15848848223686218,0.40016987919807434,0.2716291546821594,0.2602716088294983,0.48306503891944885,0.1747063249349594,0.14955492317676544,0.16571132838726044,-0.1326136440038681,1.0,0.026239745318889618,0.2716291546821594,0.2425573617219925,-0.06733015179634094,0.09688074886798859,0.15638743340969086
los,0.12322991341352463,0.17008589208126068,0.2502395510673523,0.1481604427099228,0.09888618439435959,0.2795681953430176,0.2502395510673523,0.21666361391544342,0.19904789328575134,0.11601737141609192,0.15787723660469055,0.004119476769119501,0.3046230375766754,-0.020127223804593086,0.2795681953430176,0.17192041873931885,-0.017344538122415543,0.06927964091300964,0.15495611727237701
angeles,0.10702074319124222,0.1558004766702652,0.24588194489479065,0.1532391458749771,0.10687620937824249,0.23927895724773407,0.24588194489479065,0.2224472165107727,0.20994949340820312,0.12106148153543472,0.17562218010425568,0.005954917054623365,0.29725757241249084,-0.035281915217638016,0.23927895724773407,0.1693831980228424,-0.008012785576283932,0.06431342661380768,0.16139166057109833
