,on,some,nights,how,late,did,tesla,work,until,?
tesla,0.16159376502037048,0.17697323858737946,0.08837994188070297,0.19128404557704926,0.12752972543239594,0.09757418930530548,0.9999999403953552,0.2545209228992462,0.13834604620933533,0.10250775516033173
would,0.35589995980262756,0.43457192182540894,0.16742922365665436,0.43239715695381165,0.21892763674259186,0.6268245577812195,0.14290116727352142,0.3312954604625702,0.31353649497032166,0.37178951501846313
then,0.30262795090675354,0.29084691405296326,0.10611355304718018,0.36093711853027344,0.2528817057609558,0.303744375705719,0.17996008694171906,0.23584409058094025,0.49772775173187256,0.2884598970413208
resume,0.21958297491073608,0.20694312453269958,0.12407161295413971,0.1991826891899109,0.20254996418952942,0.3316803276538849,0.11125467717647552,0.22790393233299255,0.3430551588535309,0.2602770924568176
his,0.32064297795295715,0.3033970892429352,0.19645993411540985,0.24614305794239044,0.27659866213798523,0.3546801507472992,0.1580733060836792,0.36648666858673096,0.35266077518463135,0.18075084686279297
work,0.26663315296173096,0.3953768014907837,0.1719462126493454,0.38187548518180847,0.24772250652313232,0.336654931306839,0.2545209228992462,1.0,0.23580248653888702,0.2621155381202698
",",0.49057599902153015,0.42400437593460083,0.25399887561798096,0.22659391164779663,0.3051932752132416,0.3015086054801941,0.20599327981472015,0.3283594250679016,0.2947838604450226,0.31091248989105225
often,0.24822035431861877,0.5903232097625732,0.274980366230011,0.41107481718063354,0.2176571935415268,0.26973026990890503,0.10837933421134949,0.2872087061405182,0.15963540971279144,0.23748154938220978
until,0.3038109838962555,0.19509154558181763,0.16509324312210083,0.1887991726398468,0.4057881236076355,0.33905428647994995,0.13834604620933533,0.23580248653888702,1.0,0.20304496586322784
3:00,-0.06041736900806427,-0.1397363543510437,0.017159707844257355,-0.09920034557580948,-0.06804118305444717,-0.19183753430843353,-0.0403597466647625,-0.05906055495142937,-0.08676119148731232,-0.016814574599266052
a.m.,-0.010722850449383259,0.14629177749156952,0.12030158191919327,0.11721324175596237,0.1219152957201004,0.06142153590917587,0.08924800902605057,0.22089946269989014,0.040362387895584106,-0.013456551358103752
'',0.04238596186041832,0.04253336414694786,0.03409331291913986,-0.0029843549709767103,-0.01184503361582756,0.01978493109345436,0.048713020980358124,-0.0059536839835345745,-0.12006485462188721,0.018684765323996544
:283,0.09236305952072144,0.11907452344894409,0.13150130212306976,0.04859701916575432,0.009863047860562801,-0.005026797764003277,0.014374123886227608,-0.05179302766919136,0.0034933281131088734,0.0031086266972124577
",",0.49057599902153015,0.42400437593460083,0.25399887561798096,0.22659391164779663,0.3051932752132416,0.3015086054801941,0.20599327981472015,0.3283594250679016,0.2947838604450226,0.31091248989105225
286,0.0776774063706398,0.0749964788556099,-0.02813572995364666,0.03267794847488403,0.05502104386687279,0.06395366042852402,0.13855597376823425,0.06105104833841324,0.04064386337995529,0.053519316017627716
