,what,exchange,in,warsaw,is,one,of,the,most,important,for,central,and,eastern,europe,?
the,0.42745697498321533,0.2543705105781555,0.6662389636039734,0.23137180507183075,0.5823672413825989,0.5514441132545471,0.733189046382904,1.0,0.47635307908058167,0.39348116517066956,0.4739971458911896,0.3417201042175293,0.5171257257461548,0.3928247392177582,0.34463706612586975,0.22068053483963013
warsaw,0.10373849421739578,0.0812426209449768,0.22642600536346436,1.0,0.09741193056106567,0.13329707086086273,0.19253842532634735,0.23137180507183075,0.06817606836557388,0.168345108628273,0.1427849680185318,0.19905970990657806,0.2083624005317688,0.20966091752052307,0.2790890336036682,0.09769917279481888
stock,0.13911938667297363,0.4634912610054016,0.20128266513347626,0.14563030004501343,0.1890118271112442,0.2176818996667862,0.20828957855701447,0.21356552839279175,0.1464357227087021,0.10724902153015137,0.2536971867084503,0.16388525068759918,0.1762690395116806,0.16192317008972168,0.17648324370384216,0.14784406125545502
exchange,0.11323627829551697,1.0000001192092896,0.21970009803771973,0.0812426209449768,0.19539384543895721,0.20141513645648956,0.23548997938632965,0.2543705105781555,0.12472797930240631,0.22770485281944275,0.22285395860671997,0.14818553626537323,0.23130671679973602,0.09154772013425827,0.13643378019332886,0.048212938010692596
is,0.28837618231773376,0.19539384543895721,0.5394441485404968,0.09741193056106567,1.0,0.4544198513031006,0.4854315221309662,0.5823672413825989,0.41165053844451904,0.350485235452652,0.43268078565597534,0.273421049118042,0.3859752118587494,0.2375388890504837,0.20961034297943115,0.22961433231830597
one,0.376489520072937,0.20141513645648956,0.4129433035850525,0.13329707086086273,0.4544198513031006,1.0000001192092896,0.4999135136604309,0.5514441132545471,0.5404669642448425,0.3853038251399994,0.384836345911026,0.18192924559116364,0.42438167333602905,0.19399762153625488,0.2713710069656372,0.2673267424106598
of,0.33290785551071167,0.23548997938632965,0.5696388483047485,0.19253842532634735,0.4854315221309662,0.4999135136604309,1.0,0.733189046382904,0.4178851246833801,0.43301743268966675,0.4185989499092102,0.3415789008140564,0.5116966962814331,0.33281487226486206,0.29299741983413696,0.1826142966747284
the,0.42745697498321533,0.2543705105781555,0.6662389636039734,0.23137180507183075,0.5823672413825989,0.5514441132545471,0.733189046382904,1.0,0.47635307908058167,0.39348116517066956,0.4739971458911896,0.3417201042175293,0.5171257257461548,0.3928247392177582,0.34463706612586975,0.22068053483963013
largest,0.13463157415390015,0.1956947147846222,0.3017216920852661,0.15168581902980804,0.3413417339324951,0.3001094460487366,0.36650770902633667,0.3757036626338959,0.3954915702342987,0.3188871443271637,0.13215672969818115,0.26277247071266174,0.24602696299552917,0.2836414575576782,0.2597532272338867,0.12401245534420013
and,0.31309178471565247,0.23130671679973602,0.4954058527946472,0.2083624005317688,0.3859752118587494,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.4309377074241638,0.37549954652786255,0.5064792633056641,0.2465941160917282,1.0,0.22891712188720703,0.3463572859764099,0.20544172823429108
most,0.3219912350177765,0.12472797930240631,0.41416558623313904,0.06817606836557388,0.41165053844451904,0.5404669642448425,0.4178851246833801,0.47635307908058167,1.0,0.5079463124275208,0.3906237483024597,0.24005284905433655,0.4309377074241638,0.2543275058269501,0.33005326986312866,0.2107497900724411
important,0.31164905428886414,0.22770485281944275,0.3796374499797821,0.168345108628273,0.350485235452652,0.3853038251399994,0.43301743268966675,0.39348116517066956,0.5079463124275208,1.0000001192092896,0.3458578288555145,0.2945139706134796,0.37549954652786255,0.2169349640607834,0.23164045810699463,0.17812499403953552
in,0.30808621644973755,0.21970009803771973,1.0,0.22642600536346436,0.5394441485404968,0.4129433035850525,0.5696388483047485,0.6662389636039734,0.41416558623313904,0.3796374499797821,0.4322226941585541,0.30844059586524963,0.4954058527946472,0.3306356370449066,0.33061710000038147,0.20430970191955566
central,0.17723965644836426,0.14818553626537323,0.30844059586524963,0.19905970990657806,0.273421049118042,0.18192924559116364,0.3415789008140564,0.3417201042175293,0.24005284905433655,0.2945139706134796,0.20646226406097412,1.0,0.2465941160917282,0.5123634338378906,0.2893555164337158,0.14787602424621582
and,0.31309178471565247,0.23130671679973602,0.4954058527946472,0.2083624005317688,0.3859752118587494,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.4309377074241638,0.37549954652786255,0.5064792633056641,0.2465941160917282,1.0,0.22891712188720703,0.3463572859764099,0.20544172823429108
eastern,0.2263268083333969,0.09154772013425827,0.3306356370449066,0.20966091752052307,0.2375388890504837,0.19399762153625488,0.33281487226486206,0.3928247392177582,0.2543275058269501,0.2169349640607834,0.14339342713356018,0.5123634338378906,0.22891712188720703,1.0,0.3554437458515167,0.20060817897319794
europe,0.17179538309574127,0.13643378019332886,0.33061710000038147,0.2790890336036682,0.20961034297943115,0.2713710069656372,0.29299741983413696,0.34463706612586975,0.33005326986312866,0.23164045810699463,0.26120877265930176,0.2893555164337158,0.3463572859764099,0.3554437458515167,1.0000001192092896,0.18278923630714417
.,0.3567904531955719,0.14290252327919006,0.5591574311256409,0.26825499534606934,0.4569662809371948,0.4123194217681885,0.5352458953857422,0.5934505462646484,0.35404038429260254,0.33938494324684143,0.4726039469242096,0.3193301260471344,0.588965117931366,0.2820250988006592,0.31984585523605347,0.4130953550338745
