,what,finite,hierarchy,implies,that,the,graph,isomorphism,problem,is,np-complete,?
if,0.5277165174484253,0.3812500536441803,0.20283299684524536,0.39972373843193054,0.5634250640869141,0.33724796772003174,0.28144025802612305,0.268629789352417,0.43518564105033875,0.30927813053131104,0.31617626547813416,0.4441644251346588
graph,0.2775743007659912,0.3981810510158539,0.28436920046806335,0.28643229603767395,0.31616726517677307,0.26083993911743164,0.9999999403953552,0.3808310031890869,0.32991036772727966,0.2441651076078415,0.2744949162006378,0.20263607800006866
isomorphism,0.24923816323280334,0.4644242525100708,0.3294728696346283,0.40811559557914734,0.2943381369113922,0.20008665323257446,0.3808310031890869,1.0000001192092896,0.30088382959365845,0.26257652044296265,0.32109490036964417,0.18148627877235413
is,0.28837618231773376,0.30129143595695496,0.1292576938867569,0.33371198177337646,0.3995479643344879,0.5823672413825989,0.2441651076078415,0.26257652044296265,0.23238427937030792,1.0,0.22069956362247467,0.22961433231830597
np-complete,0.28050094842910767,0.35025063157081604,0.16338039934635162,0.34096044301986694,0.316537469625473,0.27450188994407654,0.2744949162006378,0.32109490036964417,0.2782294750213623,0.22069956362247467,1.0,0.16391170024871826
",",0.3087472915649414,0.24448928236961365,0.15345069766044617,0.2431975156068802,0.4137537479400635,0.4933079481124878,0.21839329600334167,0.15876521170139313,0.23938199877738953,0.4691906273365021,0.21401260793209076,0.31091248989105225
the,0.42745697498321533,0.25951775908470154,0.22604632377624512,0.23583805561065674,0.5473989248275757,1.0,0.26083993911743164,0.20008665323257446,0.24928659200668335,0.5823672413825989,0.27450188994407654,0.22068053483963013
polynomial,0.265341192483902,0.5915403366088867,0.3054923415184021,0.43700405955314636,0.33595728874206543,0.1902180016040802,0.5340177416801453,0.5181857943534851,0.4493931233882904,0.2560946047306061,0.34853091835975647,0.255467027425766
time,0.36319252848625183,0.2462167590856552,0.20482023060321808,0.25559958815574646,0.388528436422348,0.43061500787734985,0.2577567398548126,0.14067485928535461,0.3373833894729614,0.25187405943870544,0.27780264616012573,0.27391523122787476
hierarchy,0.2107066512107849,0.22309058904647827,1.0000001192092896,0.2364964783191681,0.24586151540279388,0.22604632377624512,0.28436920046806335,0.3294728696346283,0.24423439800739288,0.1292576938867569,0.16338039934635162,0.23208312690258026
collapses,0.19013358652591705,0.1164965108036995,0.04415908455848694,0.12163066864013672,0.2049039900302887,0.2895450294017792,0.16399410367012024,0.08998964726924896,0.20916877686977386,0.17379765212535858,0.22159038484096527,0.09034790843725204
to,0.455847829580307,0.2827737033367157,0.19228041172027588,0.29631727933883667,0.5436353087425232,0.535392165184021,0.19438183307647705,0.18489499390125275,0.2502208352088928,0.42745086550712585,0.24762758612632751,0.29463258385658264
its,0.30393704771995544,0.22962313890457153,0.1487543284893036,0.30553823709487915,0.416561484336853,0.559237003326416,0.19506748020648956,0.22186797857284546,0.21062085032463074,0.4447362422943115,0.2388295978307724,0.15103481709957123
second,0.19948028028011322,0.25327572226524353,0.06741251051425934,0.1443258821964264,0.25411489605903625,0.4620301127433777,0.16530294716358185,0.14414538443088531,0.19569914042949677,0.3161451518535614,0.2331528663635254,0.17239587008953094
level,0.27376922965049744,0.19608452916145325,0.3384910523891449,0.16959227621555328,0.25154611468315125,0.31442487239837646,0.22168096899986267,0.14598989486694336,0.2130110114812851,0.24803997576236725,0.12654493749141693,0.20528386533260345
.,0.3567904531955719,0.1642792969942093,0.20138424634933472,0.18311123549938202,0.4460422694683075,0.5934505462646484,0.2842925190925598,0.20319531857967377,0.22562150657176971,0.4569662809371948,0.2602795362472534,0.4130953550338745
