,how,would,one,describe,the,summers,in,fresno,?
fresno,0.06638962775468826,0.16441793739795685,0.1632690131664276,0.10043647885322571,0.22571885585784912,0.29462167620658875,0.26126348972320557,1.0000001192092896,0.13224096596240997
is,0.22544461488723755,0.33626067638397217,0.4544198513031006,0.27898338437080383,0.5823672413825989,0.26448455452919006,0.5394441485404968,0.2127077877521515,0.22961433231830597
marked,0.18260478973388672,0.2848338782787323,0.24977071583271027,0.2901422381401062,0.36085957288742065,0.15665683150291443,0.3058924674987793,0.10380236059427261,0.1466940939426422
by,0.34370526671409607,0.28394925594329834,0.29445651173591614,0.2502102553844452,0.4408751428127289,0.17686650156974792,0.370934396982193,0.12580959498882294,0.17966607213020325
a,0.29312583804130554,0.398599237203598,0.4910551905632019,0.3062607944011688,0.5829201340675354,0.21860834956169128,0.539380669593811,0.22242428362369537,0.23916715383529663
semi-arid,0.14480993151664734,0.16496537625789642,0.20617280900478363,0.23526719212532043,0.2718944251537323,0.26881760358810425,0.2734869122505188,0.30321362614631653,0.20927584171295166
climate,0.23680974543094635,0.17750467360019684,0.19367924332618713,0.2100697159767151,0.2693597674369812,0.5652221441268921,0.24209141731262207,0.23314312100410461,0.19998492300510406
(,0.1676948219537735,0.21630488336086273,0.2922096848487854,0.14272817969322205,0.33289089798927307,0.17918890714645386,0.3087427020072937,0.188642680644989,0.40561532974243164
köppen,0.19614559412002563,0.14812874794006348,0.19772037863731384,0.23278582096099854,0.21937279403209686,0.5671353340148926,0.22053219377994537,0.2886771559715271,0.20823095738887787
bsh,0.2035616785287857,0.20546217262744904,0.23954036831855774,0.15883028507232666,0.31281960010528564,0.4398810863494873,0.25200355052948,0.3268984854221344,0.26421406865119934
),0.17939934134483337,0.2093871831893921,0.31658053398132324,0.1345708817243576,0.3456730246543884,0.1814185380935669,0.3326910734176636,0.20478583872318268,0.42300865054130554
",",0.22659391164779663,0.32586824893951416,0.3696635365486145,0.18910212814807892,0.4933079481124878,0.239103302359581,0.5201468467712402,0.2561432421207428,0.31091248989105225
with,0.3525622487068176,0.38372042775154114,0.3855307400226593,0.27238842844963074,0.4223487675189972,0.30719679594039917,0.4080928862094879,0.20853616297245026,0.2433311939239502
mild,0.20864196121692657,0.20658105611801147,0.20453621447086334,0.25086894631385803,0.21882979571819305,0.4699769616127014,0.2406633049249649,0.24612386524677277,0.1594024896621704
",",0.22659391164779663,0.32586824893951416,0.3696635365486145,0.18910212814807892,0.4933079481124878,0.239103302359581,0.5201468467712402,0.2561432421207428,0.31091248989105225
moist,0.17717356979846954,0.21545331180095673,0.16533233225345612,0.16547952592372894,0.23634515702724457,0.3683604896068573,0.21136130392551422,0.2294171154499054,0.12842220067977905
winters,0.11231651902198792,0.2261134386062622,0.1630735546350479,0.13313716650009155,0.24098941683769226,0.7436850070953369,0.27563002705574036,0.27630770206451416,0.17052674293518066
and,0.33647966384887695,0.34921059012413025,0.42438167333602905,0.24788004159927368,0.5171257257461548,0.26898083090782166,0.4954058527946472,0.21513071656227112,0.20544172823429108
hot,0.19819697737693787,0.15316076576709747,0.24829921126365662,0.1647067666053772,0.25422102212905884,0.3851114809513092,0.2257058322429657,0.20535917580127716,0.1789601445198059
and,0.33647966384887695,0.34921059012413025,0.42438167333602905,0.24788004159927368,0.5171257257461548,0.26898083090782166,0.4954058527946472,0.21513071656227112,0.20544172823429108
dry,0.15154878795146942,0.18712951242923737,0.21069224178791046,0.16496585309505463,0.24019554257392883,0.39848896861076355,0.2583382725715637,0.24503006041049957,0.13395056128501892
summers,0.16275274753570557,0.2512871325016022,0.1528414934873581,0.15785270929336548,0.23460958898067474,0.9999999403953552,0.24247559905052185,0.29462167620658875,0.1530487835407257
",",0.22659391164779663,0.32586824893951416,0.3696635365486145,0.18910212814807892,0.4933079481124878,0.239103302359581,0.5201468467712402,0.2561432421207428,0.31091248989105225
thus,0.2931744158267975,0.42054760456085205,0.3385889530181885,0.23614637553691864,0.4036877751350403,0.05494047328829765,0.26358214020729065,0.09701390564441681,0.18769288063049316
displaying,0.20969203114509583,0.2372741401195526,0.26016873121261597,0.2875995934009552,0.3364616930484772,0.14585323631763458,0.2543599605560303,0.12378066033124924,0.21778589487075806
mediterranean,0.1153978481888771,0.1255147010087967,0.2046361118555069,0.19771480560302734,0.33625227212905884,0.35489073395729065,0.23178455233573914,0.23770341277122498,0.15430885553359985
characteristics,0.2801452875137329,0.22637926042079926,0.22172386944293976,0.39000940322875977,0.27068567276000977,0.11818813532590866,0.22450780868530273,0.1102227047085762,0.13894438743591309
.,0.3287222981452942,0.35067233443260193,0.4123194217681885,0.17917026579380035,0.5934505462646484,0.2427644282579422,0.5591574311256409,0.2480216920375824,0.4130953550338745
