,why,did,luther,condemn,vows,of,celibacy,?
he,0.26086166501045227,0.3292143940925598,0.2454872578382492,0.21427996456623077,0.3013240694999695,0.38706058263778687,0.23971155285835266,0.2089974731206894
had,0.24633871018886566,0.540525496006012,0.16133075952529907,0.2496064156293869,0.25090330839157104,0.37755560874938965,0.24500156939029694,0.20728366076946259
long,0.2827680706977844,0.20462055504322052,0.11501485854387283,0.12686268985271454,0.054940640926361084,0.2567519545555115,0.10111618041992188,0.19699987769126892
condemned,0.16472002863883972,0.2631458640098572,0.19332356750965118,0.8971890807151794,0.3187063932418823,0.22521376609802246,0.48618438839912415,0.18363839387893677
vows,0.23572151362895966,0.2899130582809448,0.2297513484954834,0.3090296983718872,1.0,0.2141811102628708,0.43787238001823425,0.17137905955314636
of,0.28464117646217346,0.2513895630836487,0.1719115972518921,0.23437967896461487,0.2141811102628708,1.0,0.19891254603862762,0.1826142966747284
celibacy,0.3044975996017456,0.31297969818115234,0.36253976821899414,0.564288854598999,0.43787238001823425,0.19891254603862762,1.0,0.2997997999191284
on,0.2698206305503845,0.2670976221561432,0.19090485572814941,0.21530257165431976,0.1796654462814331,0.3966929316520691,0.12586767971515656,0.2714994251728058
biblical,0.22885006666183472,0.2030898928642273,0.31112417578697205,0.28937050700187683,0.22342991828918457,0.2500237822532654,0.4161628186702728,0.1909967064857483
grounds,0.2543993294239044,0.19590561091899872,0.13371685147285461,0.24328655004501343,0.2774060070514679,0.26888811588287354,0.23450493812561035,0.1594391018152237
",",0.2827242314815521,0.3015086054801941,0.23255878686904907,0.20612221956253052,0.22589944303035736,0.4946078956127167,0.19375702738761902,0.31091248989105225
but,0.49691087007522583,0.49033689498901367,0.20694120228290558,0.2971150577068329,0.27357640862464905,0.39942997694015503,0.36809876561164856,0.27921953797340393
his,0.19196097552776337,0.3546801507472992,0.27093374729156494,0.2334005981683731,0.3193737268447876,0.38364991545677185,0.3042261600494385,0.18075084686279297
decision,0.274055540561676,0.285696417093277,0.16740675270557404,0.3519341051578522,0.3248853087425232,0.2331373691558838,0.3534466624259949,0.2796577215194702
to,0.4100138247013092,0.4452643394470215,0.18029534816741943,0.2952262759208679,0.3133222162723541,0.41548454761505127,0.301968514919281,0.29463258385658264
marry,0.25626662373542786,0.27373647689819336,0.19635523855686188,0.2733500897884369,0.41559916734695435,0.15853992104530334,0.41082116961479187,0.15644006431102753
surprised,0.38074690103530884,0.39091405272483826,0.08511576801538467,0.2563343346118927,0.25567904114723206,0.1828707903623581,0.21179911494255066,0.23842038214206696
many,0.38531482219696045,0.375588983297348,0.2471185326576233,0.2777576744556427,0.19322508573532104,0.37253960967063904,0.25452518463134766,0.2124512493610382
",",0.2827242314815521,0.3015086054801941,0.23255878686904907,0.20612221956253052,0.22589944303035736,0.4946078956127167,0.19375702738761902,0.31091248989105225
not,0.5504072904586792,0.6481515765190125,0.21636232733726501,0.3478172719478607,0.2337099015712738,0.3307090103626251,0.4100792109966278,0.41942933201789856
least,0.36282455921173096,0.2185145616531372,0.05617351457476616,0.237621009349823,0.19186021387577057,0.32696738839149475,0.23786728084087372,0.28866854310035706
melanchthon,0.12399590015411377,0.07751930505037308,0.30344337224960327,0.17750157415866852,0.21280041337013245,0.21801847219467163,0.2747601568698883,0.14275860786437988
",",0.2827242314815521,0.3015086054801941,0.23255878686904907,0.20612221956253052,0.22589944303035736,0.4946078956127167,0.19375702738761902,0.31091248989105225
who,0.36697277426719666,0.34038686752319336,0.21013082563877106,0.25856372714042664,0.2586052715778351,0.2827862501144409,0.3135643005371094,0.26220351457595825
called,0.3350362777709961,0.277748167514801,0.09754475206136703,0.23945540189743042,0.19170458614826202,0.4222904443740845,0.1804988533258438,0.18963319063186646
it,0.376611590385437,0.2993364930152893,0.15365919470787048,0.2103501558303833,0.13607779145240784,0.38761502504348755,0.195741206407547,0.25732165575027466
reckless,0.17747360467910767,0.2690427005290985,0.17104122042655945,0.3149530589580536,0.3193344473838806,0.26160815358161926,0.3076039254665375,0.15478025376796722
.,0.32909876108169556,0.35288307070732117,0.24907569587230682,0.1819818913936615,0.15046633780002594,0.5352458953857422,0.1878473162651062,0.4130953550338745
