,what,is,the,age,range,of,most,prostitutes,in,kenya,?
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.11108490079641342,0.24505357444286346,0.4178851246833801,1.0,0.2681695222854614,0.41416558623313904,0.13890406489372253,0.2107497900724411
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2372717410326004,0.234999418258667,1.0,0.4178851246833801,0.235459566116333,0.5696388483047485,0.22226637601852417,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.24711290001869202,0.2311336100101471,0.733189046382904,0.47635307908058167,0.19720715284347534,0.6662389636039734,0.21657514572143555,0.22068053483963013
prostitutes,0.2205428034067154,0.23126579821109772,0.19720715284347534,0.24048590660095215,0.121025949716568,0.235459566116333,0.2681695222854614,1.0000001192092896,0.23244144022464752,0.09411613643169403,0.1766410917043686
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.30576348304748535,0.2084861844778061,0.5696388483047485,0.41416558623313904,0.23244144022464752,1.0,0.23621977865695953,0.20430970191955566
kenya,0.18398970365524292,0.17591087520122528,0.21657514572143555,0.14639019966125488,0.10631175339221954,0.22226637601852417,0.13890406489372253,0.09411613643169403,0.23621977865695953,1.0,0.17197901010513306
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.1542336493730545,0.31786245107650757,0.39081433415412903,0.48698675632476807,0.313375324010849,0.3841303884983063,0.1597108691930771,0.24591213464736938
aged,0.12079130113124847,0.15126296877861023,0.11497313529253006,0.53043133020401,0.14470498263835907,0.19215206801891327,0.09345962107181549,0.1888040006160736,0.2822393774986267,0.15551413595676422,0.15621034801006317
9–18,0.06015223264694214,0.03929674252867699,0.1037658229470253,0.20622484385967255,-0.047413669526576996,0.12258589267730713,0.06574200093746185,0.21612930297851562,0.20817764103412628,-0.012853752821683884,0.02099216915667057
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2498820275068283,0.25816646218299866,0.5352458953857422,0.35404038429260254,0.19241021573543549,0.5591574311256409,0.24234211444854736,0.4130953550338745
