,what,type,of,steam,engine,does,n't,need,valves,to,direct,steam,?
an,0.2821882665157318,0.21485474705696106,0.32280945777893066,0.13589277863502502,0.18337401747703552,0.29477936029434204,0.07694102823734283,0.20370949804782867,0.18072228133678436,0.3138085603713989,0.2583296000957489,0.13589277863502502,0.19793890416622162
oscillating,0.26129916310310364,0.21785692870616913,0.25066229701042175,0.3215900659561157,0.28829118609428406,0.25288423895835876,-0.08337432891130447,0.28657567501068115,0.372042179107666,0.27886611223220825,0.23054653406143188,0.3215900659561157,0.17995138466358185
cylinder,0.09421046078205109,0.22809998691082,0.16377530992031097,0.34102529287338257,0.495769202709198,0.14257237315177917,-0.04561661183834076,0.1675776243209839,0.47427958250045776,0.14832518994808197,0.16541478037834167,0.34102529287338257,0.12323369085788727
steam,0.15672586858272552,0.2094206064939499,0.20239725708961487,1.0000001192092896,0.4921848475933075,0.1864793747663498,-0.0714692622423172,0.25453004240989685,0.3912201225757599,0.22894427180290222,0.22078190743923187,1.0000001192092896,0.113324373960495
engine,0.18463268876075745,0.16939829289913177,0.17095594108104706,0.4921848475933075,1.0,0.1364237666130066,-0.10744886845350266,0.20504407584667206,0.35318049788475037,0.20794793963432312,0.23667095601558685,0.4921848475933075,0.17739196121692657
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.13029660284519196,0.18856970965862274,0.4403602182865143,0.028099019080400467,0.25332385301589966,0.22393418848514557,0.42745086550712585,0.20874382555484772,0.13029660284519196,0.22961433231830597
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2141898274421692,0.24768835306167603,0.38201746344566345,0.013574101030826569,0.30329999327659607,0.2422410100698471,0.45503583550453186,0.27544090151786804,0.2141898274421692,0.23916715383529663
variant,0.10867448151111603,0.4230738580226898,0.1417171210050583,0.2037905752658844,0.26406267285346985,0.1521703004837036,0.05335317179560661,0.21479769051074982,0.239670068025589,0.13884350657463074,0.20111782848834991,0.2037905752658844,0.17448770999908447
of,0.33290785551071167,0.18112817406654358,1.0,0.20239725708961487,0.17095594108104706,0.3119818866252899,-0.021397603675723076,0.24285943806171417,0.18978291749954224,0.41548454761505127,0.2533726394176483,0.20239725708961487,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23105813562870026,0.21651263535022736,0.35928019881248474,-0.11449059844017029,0.2594960331916809,0.23917143046855927,0.535392165184021,0.3262479901313782,0.23105813562870026,0.22068053483963013
simple,0.4218197166919708,0.22789043188095093,0.23205730319023132,0.21729114651679993,0.2179715633392334,0.35226041078567505,0.021380679681897163,0.5263031721115112,0.26550477743148804,0.38820502161979675,0.292983740568161,0.21729114651679993,0.4614735543727875
expansion,0.2671823799610138,0.14542020857334137,0.24185356497764587,0.23464950919151306,0.2244432121515274,0.16778850555419922,-0.12249967455863953,0.26156941056251526,0.17792333662509918,0.2769574522972107,0.21544146537780762,0.23464950919151306,0.18286365270614624
steam,0.15672586858272552,0.2094206064939499,0.20239725708961487,1.0000001192092896,0.4921848475933075,0.1864793747663498,-0.0714692622423172,0.25453004240989685,0.3912201225757599,0.22894427180290222,0.22078190743923187,1.0000001192092896,0.113324373960495
engine,0.18463268876075745,0.16939829289913177,0.17095594108104706,0.4921848475933075,1.0,0.1364237666130066,-0.10744886845350266,0.20504407584667206,0.35318049788475037,0.20794793963432312,0.23667095601558685,0.4921848475933075,0.17739196121692657
which,0.5261979103088379,0.31462597846984863,0.5011631846427917,0.2616398334503174,0.2503763437271118,0.39111801981925964,-0.17106275260448456,0.3459008038043976,0.3219848871231079,0.5345056653022766,0.3581477105617523,0.2616398334503174,0.25814583897590637
does,0.38564667105674744,0.20720529556274414,0.3119818866252899,0.1864793747663498,0.1364237666130066,1.0,-0.049544673413038254,0.4234175384044647,0.21517036855220795,0.4391997456550598,0.19850881397724152,0.1864793747663498,0.338003009557724
not,0.5449194312095642,0.2697264850139618,0.3307090103626251,0.24001364409923553,0.1736949235200882,0.6355478763580322,-0.11552248895168304,0.5400496125221252,0.2925219237804413,0.5149973034858704,0.26088273525238037,0.24001364409923553,0.41942933201789856
require,0.2487315833568573,0.2650587558746338,0.20683176815509796,0.2010500133037567,0.22804780304431915,0.35531991720199585,-0.09809282422065735,0.6714314222335815,0.2567760646343231,0.29503753781318665,0.23686262965202332,0.2010500133037567,0.2463286817073822
valves,0.21307212114334106,0.22174891829490662,0.18978291749954224,0.3912201225757599,0.35318049788475037,0.21517036855220795,-0.052900318056344986,0.3667144179344177,1.0000001192092896,0.24288403987884521,0.1850080043077469,0.3912201225757599,0.1826052963733673
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.22894427180290222,0.20794793963432312,0.4391997456550598,-0.14541994035243988,0.42094892263412476,0.24288403987884521,1.0,0.3420579433441162,0.22894427180290222,0.29463258385658264
direct,0.26271191239356995,0.23768377304077148,0.2533726394176483,0.22078190743923187,0.23667095601558685,0.19850881397724152,-0.09245435893535614,0.31137123703956604,0.1850080043077469,0.3420579433441162,1.0,0.22078190743923187,0.18476411700248718
steam,0.15672586858272552,0.2094206064939499,0.20239725708961487,1.0000001192092896,0.4921848475933075,0.1864793747663498,-0.0714692622423172,0.25453004240989685,0.3912201225757599,0.22894427180290222,0.22078190743923187,1.0000001192092896,0.113324373960495
into,0.2180619090795517,0.14269600808620453,0.32255905866622925,0.18330587446689606,0.2078673243522644,0.22312942147254944,-0.0681244283914566,0.2501593232154846,0.27204370498657227,0.38810545206069946,0.18846891820430756,0.18330587446689606,0.15662476420402527
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.24133789539337158,0.18437977135181427,0.3461615741252899,-0.0602874718606472,0.3223188817501068,0.23570813238620758,0.48971283435821533,0.25874996185302734,0.24133789539337158,0.20544172823429108
out,0.3633197546005249,0.18749801814556122,0.34176841378211975,0.1924295872449875,0.20032310485839844,0.24808503687381744,-0.1726691722869873,0.3266632556915283,0.30344030261039734,0.42386990785598755,0.16168011724948883,0.1924295872449875,0.22020699083805084
of,0.33290785551071167,0.18112817406654358,1.0,0.20239725708961487,0.17095594108104706,0.3119818866252899,-0.021397603675723076,0.24285943806171417,0.18978291749954224,0.41548454761505127,0.2533726394176483,0.20239725708961487,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23105813562870026,0.21651263535022736,0.35928019881248474,-0.11449059844017029,0.2594960331916809,0.23917143046855927,0.535392165184021,0.3262479901313782,0.23105813562870026,0.22068053483963013
