,in,what,group,of,compounds,is,oxygen,a,necessary,part,?
among,0.3211768567562103,0.21154822409152985,0.26370421051979065,0.3679063022136688,0.2048632800579071,0.21956473588943481,0.14581216871738434,0.1789381206035614,0.1420770138502121,0.15127453207969666,0.14343059062957764
the,0.6662389636039734,0.42745697498321533,0.30795547366142273,0.733189046382904,0.18294313549995422,0.5823672413825989,0.20428593456745148,0.5829201340675354,0.28364068269729614,0.527681291103363,0.22068053483963013
most,0.41416558623313904,0.3219912350177765,0.28064751625061035,0.4178851246833801,0.28228920698165894,0.41165053844451904,0.21728017926216125,0.3508910834789276,0.2612627446651459,0.35998284816741943,0.2107497900724411
important,0.3796374499797821,0.31164905428886414,0.21767547726631165,0.43301743268966675,0.2768799364566803,0.350485235452652,0.19456547498703003,0.2963852882385254,0.3186802864074707,0.39585626125335693,0.17812499403953552
classes,0.20728561282157898,0.20746955275535583,0.3329443335533142,0.19099700450897217,0.23117296397686005,0.13611210882663727,0.20232811570167542,0.25567445158958435,0.2650509476661682,0.19810239970684052,0.14397528767585754
of,0.5696388483047485,0.33290785551071167,0.25542253255844116,1.0,0.232599675655365,0.4854315221309662,0.16848602890968323,0.5052502155303955,0.26879626512527466,0.452393114566803,0.1826142966747284
organic,0.23921318352222443,0.2020787000656128,0.21227288246154785,0.25553563237190247,0.6684058308601379,0.18208640813827515,0.44130775332450867,0.20014724135398865,0.1990000307559967,0.1679491251707077,0.18969349563121796
compounds,0.21471646428108215,0.19472219049930573,0.24233919382095337,0.232599675655365,0.9999999403953552,0.2659003734588623,0.514471173286438,0.23579706251621246,0.316547155380249,0.19852690398693085,0.2057836651802063
that,0.435920387506485,0.6297725439071655,0.3089635670185089,0.41498205065727234,0.26948118209838867,0.3995479643344879,0.2717767655849457,0.47537946701049805,0.430902898311615,0.37747326493263245,0.32716336846351624
contain,0.23975171148777008,0.1832355558872223,0.19786767661571503,0.30574339628219604,0.4419889748096466,0.31030410528182983,0.2880042791366577,0.23510922491550446,0.4001394510269165,0.21522371470928192,0.18853069841861725
oxygen,0.1672476977109909,0.16781960427761078,0.22228002548217773,0.16848602890968323,0.514471173286438,0.21825239062309265,0.9999999403953552,0.21662019193172455,0.31525373458862305,0.17520982027053833,0.16786395013332367
are,0.3841303884983063,0.29724663496017456,0.35980498790740967,0.39081433415412903,0.3708919882774353,0.5330929756164551,0.24342744052410126,0.265255331993103,0.3163343071937561,0.3086032569408417,0.24591213464736938
(,0.3087427020072937,0.2411840260028839,0.21665191650390625,0.35032153129577637,0.21791891753673553,0.35393038392066956,0.189798504114151,0.3206180930137634,0.21910002827644348,0.2208257019519806,0.40561532974243164
