,what,is,the,name,of,newcastle,'s,first,full-time,community,radio,station,?
ne1fm,0.22372344136238098,0.19469700753688812,0.2641434669494629,0.2141798734664917,0.22413493692874908,0.24451449513435364,0.0837085098028183,0.23486275970935822,0.2472367137670517,0.17188166081905365,0.38862401247024536,0.3287457227706909,0.21675647795200348
launched,0.1668553501367569,0.14432232081890106,0.2547066807746887,0.14127685129642487,0.20039688050746918,0.20112058520317078,-0.01740374229848385,0.30769190192222595,0.25567105412483215,0.12979423999786377,0.2416798174381256,0.2573876678943634,0.1803835779428482
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.17627742886543274,0.3966929316520691,0.1698579639196396,0.0026888418942689896,0.3120559751987457,0.2614879608154297,0.21522703766822815,0.2590620815753937,0.29022887349128723,0.2714994251728058
8,-0.005443718284368515,-0.08846429735422134,0.0063715726137161255,0.04161586984992027,0.03280399739742279,-0.018346678465604782,0.04971888288855553,-0.0460638664662838,-0.037108663469552994,0.039194200187921524,0.00924704596400261,0.057604655623435974,-0.04056251794099808
june,0.2171148657798767,0.2469720095396042,0.24568822979927063,0.14398173987865448,0.19721001386642456,0.25722774863243103,-0.0547623410820961,0.2872718572616577,0.22228218615055084,0.1513427197933197,0.197032168507576,0.2509653568267822,0.31416764855384827
2007,-0.15549811720848083,-0.07598017156124115,-0.23657195270061493,-0.12505227327346802,-0.21244128048419952,-0.20566880702972412,-0.07339024543762207,-0.1861371099948883,-0.13690422475337982,-0.2712530493736267,-0.14389169216156006,-0.12708353996276855,-0.1664225310087204
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.251589834690094,-0.0016132977325469255,0.34503069519996643,0.30425387620925903,0.2761111557483673,0.25251123309135437,0.2482491284608841,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,0.2253497689962387,-0.01540423184633255,0.49448907375335693,0.32999011874198914,0.2601400911808014,0.23511973023414612,0.23609806597232819,0.22068053483963013
first,0.28086137771606445,0.30889374017715454,0.49448907375335693,0.3163818418979645,0.3536086082458496,0.2823651134967804,-0.014458609744906425,1.0,0.31976234912872314,0.15024319291114807,0.2260897308588028,0.1849050670862198,0.18701928853988647
full-time,0.3223298490047455,0.23880912363529205,0.32999011874198914,0.21172988414764404,0.27541229128837585,0.2752922475337982,0.024716461077332497,0.31976234912872314,0.9999998807907104,0.28340020775794983,0.2902052104473114,0.2567761540412903,0.2854166030883789
community,0.29032719135284424,0.26023760437965393,0.2601400911808014,0.146366685628891,0.2367410808801651,0.14818978309631348,0.020855724811553955,0.15024319291114807,0.28340020775794983,0.9999998807907104,0.1427294760942459,0.20173999667167664,0.2380419820547104
radio,0.16863368451595306,0.1481926590204239,0.23511973023414612,0.06772713363170624,0.16079017519950867,0.15122142434120178,0.13450658321380615,0.2260897308588028,0.2902052104473114,0.1427294760942459,0.9999999403953552,0.4113904535770416,0.08763375133275986
station,0.1613752841949463,0.19625909626483917,0.23609806597232819,0.15630634129047394,0.17394597828388214,0.26673999428749084,-0.04233921319246292,0.1849050670862198,0.2567761540412903,0.20173999667167664,0.4113904535770416,1.0,0.12574981153011322
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.19270820915699005,-0.037580832839012146,0.4127444326877594,0.2711765170097351,0.21838891506195068,0.22625693678855896,0.21784305572509766,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,0.2253497689962387,-0.01540423184633255,0.49448907375335693,0.32999011874198914,0.2601400911808014,0.23511973023414612,0.23609806597232819,0.22068053483963013
area,0.21965408325195312,0.29283958673477173,0.37834644317626953,0.205547034740448,0.3409860134124756,0.18503880500793457,-0.002423585159704089,0.19156944751739502,0.24303634464740753,0.23937152326107025,0.15588079392910004,0.31827661395072937,0.12640461325645447
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.2714749276638031,-0.003708066651597619,0.4345304071903229,0.36889058351516724,0.2594514787197113,0.20650681853294373,0.20999185740947723,0.4130953550338745
