,what,type,of,intervention,would,changing,the,work,environment,be,?
there,0.35085538029670715,0.2376682013273239,0.44397735595703125,0.2238924503326416,0.33190950751304626,0.3316921889781952,0.47025805711746216,0.235924631357193,0.24590319395065308,0.41019052267074585,0.29405656456947327
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.17088963091373444,0.32024338841438293,0.2952522933483124,0.40399202704429626,0.26678818464279175,0.3009084165096283,0.5556803941726685,0.24591213464736938
several,0.22446060180664062,0.13228869438171387,0.3271615505218506,0.18335187435150146,0.25656557083129883,0.2442079335451126,0.40559855103492737,0.28781697154045105,0.2058553546667099,0.3049358129501343,0.15595775842666626
ways,0.394069641828537,0.2443646639585495,0.23171216249465942,0.1933809071779251,0.3341110646724701,0.39522701501846313,0.25153350830078125,0.3472844958305359,0.3091086447238922,0.36912792921066284,0.2710120975971222
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.3095496892929077,0.5965728163719177,0.33748573064804077,0.535392165184021,0.3482864499092102,0.274095743894577,0.4972836375236511,0.29463258385658264
mitigate,0.3666277825832367,0.14945127069950104,0.24459674954414368,0.41251569986343384,0.37637805938720703,0.34189075231552124,0.2710644602775574,0.2866646647453308,0.34873276948928833,0.37605294585227966,0.27815142273902893
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.29976826906204224,0.4133751392364502,0.3233613073825836,1.0,0.2704800069332123,0.25819888710975647,0.4248143136501312,0.22068053483963013
occupational,0.19267335534095764,0.1676180064678192,0.26960793137550354,0.2942647337913513,0.17544452846050262,0.23767152428627014,0.1973530650138855,0.2549790143966675,0.22532139718532562,0.20093098282814026,0.12401652336120605
hazards,0.24034540355205536,0.2265411615371704,0.2060418576002121,0.28073960542678833,0.2096514105796814,0.21781286597251892,0.2174634337425232,0.16351573169231415,0.41697075963020325,0.2697191834449768,0.22479578852653503
of,0.33290785551071167,0.18112817406654358,1.0,0.24540026485919952,0.3353942930698395,0.2740551233291626,0.733189046382904,0.23473061621189117,0.2659151554107666,0.33904364705085754,0.1826142966747284
teaching,0.27416905760765076,0.11639692634344101,0.2911611497402191,0.26107874512672424,0.22758165001869202,0.24541720747947693,0.2182690054178238,0.3482191562652588,0.29199284315109253,0.2096574753522873,0.20424684882164001
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.21157120168209076,0.35067233443260193,0.3124893009662628,0.5934505462646484,0.33121398091316223,0.31864476203918457,0.4383580684661865,0.4130953550338745
