,what,was,persistent,unemployment,have,a,negative,effect,on,?
high,0.20466077327728271,0.19978567957878113,0.199506476521492,0.242209792137146,0.2406233847141266,0.22865821421146393,0.1784336268901825,0.2141745388507843,0.20843200385570526,0.11137914657592773
and,0.31309178471565247,0.3740963041782379,0.22012010216712952,0.2652346193790436,0.4711785912513733,0.3739250600337982,0.19922970235347748,0.23508284986019135,0.4077630043029785,0.20544172823429108
persistent,0.30953219532966614,0.12218473106622696,1.0,0.2629147469997406,0.3043035864830017,0.2403341829776764,0.20960873365402222,0.3370545208454132,0.214656263589859,0.2348787635564804
unemployment,0.1712515503168106,0.1676269918680191,0.2629147469997406,0.9999999403953552,0.22382189333438873,0.25060829520225525,0.24193145334720612,0.2530612647533417,0.18352682888507843,0.20707537233829498
",",0.3087472915649414,0.45456063747406006,0.18267494440078735,0.2032092660665512,0.3541618287563324,0.427140474319458,0.18075795471668243,0.2150653600692749,0.49057599902153015,0.31091248989105225
in,0.30808621644973755,0.45514053106307983,0.22725197672843933,0.24091598391532898,0.36843645572662354,0.539380669593811,0.17476117610931396,0.25150683522224426,0.46853652596473694,0.20430970191955566
which,0.5261979103088379,0.2830964922904968,0.31722429394721985,0.1988108605146408,0.49652695655822754,0.56894451379776,0.2724097967147827,0.33791235089302063,0.4245251417160034,0.25814583897590637
inequality,0.30072227120399475,0.14637966454029083,0.274930864572525,0.5337590575218201,0.2617298364639282,0.1783585250377655,0.40071067214012146,0.3300517201423645,0.16136983036994934,0.23619021475315094
increases,0.23849372565746307,0.1268572062253952,0.3226054012775421,0.34780609607696533,0.36174991726875305,0.3119737505912781,0.31907472014427185,0.4069940745830536,0.22925710678100586,0.10270863026380539
",",0.3087472915649414,0.45456063747406006,0.18267494440078735,0.2032092660665512,0.3541618287563324,0.427140474319458,0.18075795471668243,0.2150653600692749,0.49057599902153015,0.31091248989105225
has,0.20338068902492523,0.40313825011253357,0.19258436560630798,0.17582646012306213,0.6353569626808167,0.4670248031616211,0.19049720466136932,0.1701475977897644,0.34604379534721375,0.15994466841220856
a,0.3320399522781372,0.4508470594882965,0.2403341829776764,0.25060829520225525,0.338716596364975,1.0,0.22058971226215363,0.24771364033222198,0.3848365545272827,0.23916715383529663
negative,0.23431497812271118,0.13354144990444183,0.20960873365402222,0.24193145334720612,0.2604028880596161,0.22058971226215363,0.9999999403953552,0.3105284571647644,0.23069027066230774,0.12562139332294464
effect,0.2546532452106476,0.16271711885929108,0.3370545208454132,0.2530612647533417,0.27919867634773254,0.24771364033222198,0.3105284571647644,1.0,0.2661469280719757,0.1783771812915802
on,0.34226128458976746,0.3909217119216919,0.214656263589859,0.18352682888507843,0.36494916677474976,0.3848365545272827,0.23069027066230774,0.2661469280719757,0.9999999403953552,0.2714994251728058
subsequent,0.20167095959186554,0.20916680991649628,0.1872294843196869,0.0841585174202919,0.21445664763450623,0.14357894659042358,0.15474185347557068,0.2127535343170166,0.27173054218292236,0.13111010193824768
long-run,0.204223170876503,0.2503342032432556,0.19291800260543823,0.14833693206310272,0.2826358377933502,0.29393601417541504,0.14131683111190796,0.188120499253273,0.22015491127967834,0.2331775724887848
economic,0.18082544207572937,0.1954469084739685,0.255138635635376,0.5093812346458435,0.18631099164485931,0.2234611213207245,0.18378664553165436,0.25554975867271423,0.20757777988910675,0.1206481084227562
growth,0.1739405393600464,0.1385122835636139,0.2821529805660248,0.4337153732776642,0.2734212279319763,0.21544985473155975,0.2509571313858032,0.32532799243927,0.11376523971557617,0.07547862827777863
.,0.3567904531955719,0.40146201848983765,0.19215421378612518,0.23137354850769043,0.41614407300949097,0.50484299659729,0.22178860008716583,0.2277858853340149,0.49257001280784607,0.4130953550338745
