,how,many,interceptions,did,manning,have,in,2015,?
manning,0.2318497896194458,0.17441397905349731,0.47789567708969116,0.22743284702301025,0.9999998807907104,0.14972110092639923,0.22345924377441406,-0.010276862420141697,0.15856626629829407
finished,0.18142320215702057,0.15678347647190094,0.24484707415103912,0.34182655811309814,0.2231869399547577,0.17094801366329193,0.2933714687824249,0.08713356405496597,0.14789283275604248
the,0.33890387415885925,0.4335206151008606,0.22331646084785461,0.34736719727516174,0.27058160305023193,0.40389683842658997,0.6662389636039734,0.1466771513223648,0.22068053483963013
year,0.19631797075271606,0.21933086216449738,0.22576066851615906,0.21422851085662842,0.2521476149559021,0.23220738768577576,0.3359307050704956,0.10588137805461884,0.18315006792545319
with,0.3525622487068176,0.35744401812553406,0.26026803255081177,0.25472134351730347,0.18539859354496002,0.48046383261680603,0.4080928862094879,-0.05818283185362816,0.2433311939239502
a,0.29312583804130554,0.2872205972671509,0.1947716474533081,0.2552328109741211,0.2509649395942688,0.338716596364975,0.539380669593811,-0.008371892385184765,0.23916715383529663
career-low,0.2479514181613922,0.2875238358974457,0.3337261974811554,0.31910577416419983,0.39836275577545166,0.23166953027248383,0.26392239332199097,-0.06424173712730408,0.15329208970069885
67.9,0.09646183252334595,0.11966115236282349,0.1503484696149826,0.19133634865283966,0.31852784752845764,0.07031427323818207,0.2402951419353485,-0.06982959061861038,0.07895093411207199
passer,0.19386127591133118,0.05720050632953644,0.39980578422546387,0.1459997296333313,0.36685898900032043,0.1830640584230423,0.21523135900497437,0.038913097232580185,0.15625450015068054
rating,0.20311082899570465,0.1606440395116806,0.34637343883514404,0.17871320247650146,0.3009924292564392,0.1629328578710556,0.16727057099342346,-0.03246351331472397,0.18754872679710388
",",0.22659391164779663,0.40610817074775696,0.23110148310661316,0.3015086054801941,0.30921146273612976,0.3541618287563324,0.5201468467712402,0.06568983197212219,0.31091248989105225
throwing,0.24389290809631348,0.2297176569700241,0.3840978741645813,0.2288447916507721,0.3527540862560272,0.2317512035369873,0.1828322857618332,0.049856171011924744,0.15241092443466187
for,0.3308170735836029,0.40972793102264404,0.30427032709121704,0.318512886762619,0.33057859539985657,0.41175219416618347,0.4322226941585541,-0.08512632548809052,0.264628142118454
"2,249",0.18779075145721436,0.27626094222068787,0.050421569496393204,0.16991975903511047,0.029534146189689636,0.1620892584323883,0.1103525385260582,0.005671740509569645,0.018604634329676628
yards,0.1345205456018448,0.13134367763996124,0.6127163171768188,0.11230118572711945,0.5283294916152954,0.13095317780971527,0.14206624031066895,0.02945392206311226,0.12453813850879669
and,0.33647966384887695,0.5296266674995422,0.24625982344150543,0.34479495882987976,0.2638654112815857,0.4711785912513733,0.4954058527946472,0.015077123418450356,0.20544172823429108
nine,0.1557593196630478,0.3415135145187378,0.21865373849868774,0.16091835498809814,0.2181665301322937,0.2875446081161499,0.303353875875473,0.055040743201971054,0.13964155316352844
touchdowns,0.15057362616062164,0.1144808754324913,0.7320449352264404,0.20483340322971344,0.5383488535881042,0.20013733208179474,0.17643709480762482,0.008580083958804607,0.1509619653224945
",",0.22659391164779663,0.40610817074775696,0.23110148310661316,0.3015086054801941,0.30921146273612976,0.3541618287563324,0.5201468467712402,0.06568983197212219,0.31091248989105225
with,0.3525622487068176,0.35744401812553406,0.26026803255081177,0.25472134351730347,0.18539859354496002,0.48046383261680603,0.4080928862094879,-0.05818283185362816,0.2433311939239502
17,0.11148978024721146,0.08628290146589279,0.17970767617225647,0.07127774506807327,0.02101394347846508,0.1453397274017334,0.10391845554113388,0.10918638110160828,0.17603135108947754
interceptions,0.2084771692752838,0.21864065527915955,1.0000001192092896,0.21840861439704895,0.47789567708969116,0.23448514938354492,0.19061775505542755,0.015746407210826874,0.10945115238428116
.,0.3287222981452942,0.3974229395389557,0.213409885764122,0.35288307070732117,0.2937074899673462,0.41614407300949097,0.5591574311256409,0.06607602536678314,0.4130953550338745
