,what,is,the,irish,term,for,private,schools,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.17023150622844696,0.27866655588150024,0.4322226941585541,0.21135757863521576,0.2632134258747101,0.20430970191955566
ireland,0.18062788248062134,0.174745574593544,0.2573983073234558,0.6727026104927063,0.1937393695116043,0.20986653864383698,0.11470258235931396,0.17011353373527527,0.10685748606920242
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.24875710904598236,0.21599270403385162,0.4464869201183319,0.1899166703224182,0.2760516405105591,0.31091248989105225
private,0.16778090596199036,0.1420905888080597,0.18291357159614563,0.11875453591346741,0.08691766113042831,0.22242696583271027,1.0,0.4158569872379303,0.14389030635356903
schools,0.1820785105228424,0.2022145688533783,0.22905772924423218,0.11805520206689835,0.1905326247215271,0.2320515662431717,0.4158569872379303,1.0,0.18349280953407288
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.17355066537857056,0.16755855083465576,0.3357032239437103,0.162434384226799,0.15322564542293549,0.40561532974243164
irish,0.12490905076265335,0.15748897194862366,0.20936301350593567,1.0000001192092896,0.13969101011753082,0.19150154292583466,0.11875453591346741,0.11805520206689835,0.09232300519943237
:,-0.12022944539785385,-0.07222653180360794,-0.03403344005346298,-0.009088634513318539,-0.062438126653432846,-0.02522280067205429,-0.12167070806026459,-0.052466921508312225,-0.07156077772378922
scoil,0.20574000477790833,0.27454692125320435,0.2981668710708618,0.23933003842830658,0.26585447788238525,0.24691824615001678,0.18921281397342682,0.16735510528087616,0.1564885377883911
phríobháideach,0.4492740035057068,0.3480713963508606,0.4429531693458557,0.3180086612701416,0.39494970440864563,0.3625032603740692,0.2901466190814972,0.3702697455883026,0.3806242346763611
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.17551693320274353,0.14937621355056763,0.3639558255672455,0.16768941283226013,0.16219249367713928,0.42300865054130554
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.10845860838890076,0.1909082531929016,0.3895993232727051,0.1694057136774063,0.30816179513931274,0.24591213464736938
unusual,0.2481527328491211,0.24635502696037292,0.3101860284805298,0.12430200725793839,0.1750754863023758,0.29513078927993774,0.14460332691669464,0.1517990380525589,0.1398017257452011
because,0.46729007363319397,0.4047735333442688,0.44596394896507263,0.21381814777851105,0.2339368462562561,0.4676002562046051,0.17698708176612854,0.2368755340576172,0.2528740465641022
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.1664649397134781,0.3080509603023529,0.44038116931915283,0.20346391201019287,0.2118925303220749,0.23916715383529663
certain,0.4561643898487091,0.28826433420181274,0.392071396112442,0.1290436089038849,0.308692991733551,0.3654305636882782,0.2100144773721695,0.22338947653770447,0.2516106069087982
number,0.23046229779720306,0.22390379011631012,0.35145696997642517,0.14754243195056915,0.16280588507652283,0.2861633002758026,0.11955348402261734,0.1390722692012787,0.19256845116615295
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.1534920334815979,0.26047757267951965,0.4185989499092102,0.18706899881362915,0.265506386756897,0.1826142966747284
teacher,0.20492632687091827,0.2001669555902481,0.17760860919952393,0.16971580684185028,0.14708563685417175,0.23373261094093323,0.22162912786006927,0.40885695815086365,0.1797819435596466
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.031737253069877625,-0.02037568762898445,-0.07241261005401611,0.08433578908443451,0.003616944421082735,-0.023395681753754616
salaries,0.23399829864501953,0.11926544457674026,0.29897719621658325,0.16467086970806122,0.18294918537139893,0.33575230836868286,0.2676355242729187,0.29875466227531433,0.23913246393203735
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.10845860838890076,0.1909082531929016,0.3895993232727051,0.1694057136774063,0.30816179513931274,0.24591213464736938
paid,0.254770964384079,0.11761607974767685,0.22871042788028717,0.1513417661190033,0.0997983068227768,0.29203978180885315,0.3137347400188446,0.20898695290088654,0.20964482426643372
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.17769493162631989,0.1564474254846573,0.3248702883720398,0.18554414808750153,0.1415957361459732,0.17966607213020325
the,0.42745697498321533,0.5823672413825989,1.0,0.20936301350593567,0.2740369141101837,0.4739971458911896,0.18291357159614563,0.22905772924423218,0.22068053483963013
state,0.24273863434791565,0.2627358138561249,0.3097178041934967,0.19558702409267426,0.1784105747938156,0.19460363686084747,0.3059387505054474,0.2832874357700348,0.1160883978009224
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2006680816411972,0.18456575274467468,0.4726039469242096,0.2534593939781189,0.2752705216407776,0.4130953550338745
