,what,is,the,largest,port,in,europe,called,?
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.3001094460487366,0.1711154729127884,0.4129433035850525,0.2713710069656372,0.3550408184528351,0.2673267424106598
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.36650770902633667,0.19644224643707275,0.5696388483047485,0.29299741983413696,0.4222904443740845,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.2648184895515442,0.6662389636039734,0.34463706612586975,0.489897221326828,0.22068053483963013
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.3954915702342987,0.20258133113384247,0.41416558623313904,0.33005326986312866,0.35463574528694153,0.2107497900724411
important,0.31164905428886414,0.350485235452652,0.39348116517066956,0.3188871443271637,0.25493890047073364,0.3796374499797821,0.23164045810699463,0.3316391706466675,0.17812499403953552
cities,0.161918506026268,0.21770904958248138,0.2621172070503235,0.2815219461917877,0.3371402621269226,0.32293570041656494,0.2622022330760956,0.16580060124397278,0.13339310884475708
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3017216920852661,0.20519298315048218,1.0,0.33061710000038147,0.40847352147102356,0.20430970191955566
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.21354563534259796,0.16663701832294464,0.45205554366111755,0.2922499477863312,0.41327622532844543,0.3155723512172699
region,0.2298986315727234,0.3317503035068512,0.35020557045936584,0.33503445982933044,0.29033759236335754,0.3524819314479828,0.2955283522605896,0.22494105994701385,0.13441751897335052
is,0.28837618231773376,1.0,0.5823672413825989,0.3413417339324951,0.26270607113838196,0.5394441485404968,0.20961034297943115,0.430266410112381,0.22961433231830597
duisburg,0.144659623503685,0.14250098168849945,0.2369861900806427,0.19579917192459106,0.21899282932281494,0.254626601934433,0.24070139229297638,0.22897477447986603,0.18542204797267914
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.16282805800437927,0.15417149662971497,0.4080928862094879,0.27254554629325867,0.3139074146747589,0.2433311939239502
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.2648184895515442,0.6662389636039734,0.34463706612586975,0.489897221326828,0.22068053483963013
largest,0.13463157415390015,0.3413417339324951,0.3757036626338959,0.9999999403953552,0.216330423951149,0.3017216920852661,0.2597532272338867,0.3034048080444336,0.12401245534420013
river,0.13815869390964508,0.20670881867408752,0.2894456386566162,0.2491404414176941,0.31388694047927856,0.2149806171655655,0.13787978887557983,0.15814678370952606,0.15390869975090027
port,0.1327695995569229,0.26270607113838196,0.2648184895515442,0.216330423951149,1.0,0.20519298315048218,0.15705451369285583,0.127500981092453,0.06519711017608643
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3017216920852661,0.20519298315048218,1.0,0.33061710000038147,0.40847352147102356,0.20430970191955566
europe,0.17179538309574127,0.20961034297943115,0.34463706612586975,0.2597532272338867,0.15705451369285583,0.33061710000038147,1.0000001192092896,0.22382189333438873,0.18278923630714417
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.14214102923870087,0.14913664758205414,0.3087427020072937,0.21958892047405243,0.2546432614326477,0.40561532974243164
duisport,0.18405424058437347,0.23288194835186005,0.19788454473018646,0.22454474866390228,0.4160591959953308,0.2707782983779907,0.2615419030189514,0.13386203348636627,0.25885120034217834
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1570781171321869,0.14162464439868927,0.3326910734176636,0.23969469964504242,0.273923397064209,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18871670961380005,0.22629979252815247,0.5591574311256409,0.31984585523605347,0.300344854593277,0.4130953550338745
