,who,caused,the,dissolution,of,the,holy,roman,empire,?
[,0.011881873942911625,0.11380554735660553,0.07130392640829086,0.03679201006889343,0.010817250236868858,0.07130392640829086,0.04066070169210434,-0.008506814017891884,0.09425235539674759,0.011015460826456547
further,0.1815619170665741,0.2516900300979614,0.32531118392944336,0.19131886959075928,0.24797867238521576,0.32531118392944336,0.10913749039173126,0.13336169719696045,0.1570720672607422,0.20960763096809387
explanation,0.24614006280899048,0.20657257735729218,0.261050283908844,0.23141494393348694,0.1946517825126648,0.261050283908844,0.15790194272994995,0.11608254164457321,0.16512025892734528,0.33794105052948
needed,0.22536601126194,0.2747889757156372,0.3064746856689453,0.21066805720329285,0.27215874195098877,0.3064746856689453,0.12479301542043686,0.12413661181926727,0.15283425152301788,0.2863257825374603
],0.03976386412978172,0.08915013819932938,-0.04779602214694023,-0.05153973028063774,-0.035044461488723755,-0.04779602214694023,-0.08048810064792633,0.027423061430454254,-0.03796922415494919,-0.0022520492784678936
after,0.32549580931663513,0.3438951373100281,0.4565047025680542,0.28594833612442017,0.3867455720901489,0.4565047025680542,0.18582598865032196,0.15456973016262054,0.23534879088401794,0.16608688235282898
the,0.3733934462070465,0.24990202486515045,1.0,0.3299247622489929,0.733189046382904,1.0,0.2778179347515106,0.2862859070301056,0.32532164454460144,0.22068053483963013
defeat,0.23519231379032135,0.18658679723739624,0.3182816207408905,0.25719568133354187,0.2543899118900299,0.3182816207408905,0.2247949242591858,0.25475597381591797,0.30754515528678894,0.12980464100837708
of,0.2827862501144409,0.29665443301200867,0.733189046382904,0.32534441351890564,1.0,0.733189046382904,0.32529065012931824,0.31028008460998535,0.30522286891937256,0.1826142966747284
napoleon,0.19887910783290863,0.09310954064130783,0.2502446174621582,0.28371796011924744,0.20811064541339874,0.2502446174621582,0.19166085124015808,0.30638235807418823,0.3611484467983246,0.15321364998817444
",",0.3365725874900818,0.2600580155849457,0.4933079481124878,0.2390332818031311,0.4946078956127167,0.4933079481124878,0.2074567973613739,0.26863154768943787,0.27646857500076294,0.31091248989105225
who,0.9999998807907104,0.17188787460327148,0.3733934462070465,0.16535240411758423,0.2827862501144409,0.3733934462070465,0.1764112412929535,0.1856684684753418,0.18977859616279602,0.26220351457595825
caused,0.17188787460327148,1.0000001192092896,0.24990202486515045,0.19687938690185547,0.29665443301200867,0.24990202486515045,0.10672330856323242,0.10044371336698532,0.08441299200057983,0.20679491758346558
the,0.3733934462070465,0.24990202486515045,1.0,0.3299247622489929,0.733189046382904,1.0,0.2778179347515106,0.2862859070301056,0.32532164454460144,0.22068053483963013
dissolution,0.16535240411758423,0.19687938690185547,0.3299247622489929,1.0000001192092896,0.32534441351890564,0.3299247622489929,0.2757570445537567,0.24955934286117554,0.3385370075702667,0.11665984988212585
of,0.2827862501144409,0.29665443301200867,0.733189046382904,0.32534441351890564,1.0,0.733189046382904,0.32529065012931824,0.31028008460998535,0.30522286891937256,0.1826142966747284
that,0.45444270968437195,0.33201703429222107,0.5473989248275757,0.2560783922672272,0.41498205065727234,0.5473989248275757,0.27322056889533997,0.20374512672424316,0.1784069836139679,0.32716336846351624
holy,0.1764112412929535,0.10672330856323242,0.2778179347515106,0.2757570445537567,0.32529065012931824,0.2778179347515106,1.0,0.49701547622680664,0.3835824131965637,0.18148104846477509
roman,0.1856684684753418,0.10044371336698532,0.2862859070301056,0.24955934286117554,0.31028008460998535,0.2862859070301056,0.49701547622680664,1.0,0.47775235772132874,0.1663191318511963
empire,0.18977859616279602,0.08441299200057983,0.32532164454460144,0.3385370075702667,0.30522286891937256,0.32532164454460144,0.3835824131965637,0.47775235772132874,1.0000001192092896,0.14909450709819794
",",0.3365725874900818,0.2600580155849457,0.4933079481124878,0.2390332818031311,0.4946078956127167,0.4933079481124878,0.2074567973613739,0.26863154768943787,0.27646857500076294,0.31091248989105225
prussia,0.16186262667179108,0.13024935126304626,0.26054897904396057,0.37050747871398926,0.2725592255592346,0.26054897904396057,0.3214712142944336,0.3208243250846863,0.4046269953250885,0.09988865256309509
and,0.41279885172843933,0.2892237603664398,0.5171257257461548,0.2453240156173706,0.5116966962814331,0.5171257257461548,0.1533736139535904,0.2730041444301605,0.27479609847068787,0.20544172823429108
the,0.3733934462070465,0.24990202486515045,1.0,0.3299247622489929,0.733189046382904,1.0,0.2778179347515106,0.2862859070301056,0.32532164454460144,0.22068053483963013
german,0.29263320565223694,0.11647050827741623,0.256483793258667,0.17429666221141815,0.2122138887643814,0.256483793258667,0.20598629117012024,0.29598385095596313,0.21784934401512146,0.13978645205497742
states,0.21313154697418213,0.2201685905456543,0.3463578522205353,0.2800438106060028,0.30884552001953125,0.3463578522205353,0.2015661895275116,0.18781431019306183,0.28543442487716675,0.16272737085819244
continued,0.15470513701438904,0.2800907790660858,0.29953038692474365,0.27732425928115845,0.2527073323726654,0.29953038692474365,0.09143796563148499,0.1395552009344101,0.22244814038276672,0.10404038429260254
to,0.42656609416007996,0.2414499819278717,0.535392165184021,0.24435511231422424,0.41548454761505127,0.535392165184021,0.22131432592868805,0.24710409343242645,0.21448755264282227,0.29463258385658264
stand,0.20620349049568176,0.11786440759897232,0.2531624138355255,0.14564253389835358,0.2038130760192871,0.2531624138355255,0.12432610243558884,0.11012087017297745,0.11776704341173172,0.14369045197963715
aloof,0.37124380469322205,0.23149573802947998,0.30690836906433105,0.21326369047164917,0.2243884950876236,0.30690836906433105,0.19865542650222778,0.17777568101882935,0.10167444497346878,0.2773236334323883
from,0.27839982509613037,0.29811105132102966,0.40150508284568787,0.20880451798439026,0.4249346852302551,0.40150508284568787,0.18782489001750946,0.2159160077571869,0.19878821074962616,0.19969791173934937
imperialism,0.1855015754699707,0.13251832127571106,0.2716025412082672,0.31277909874916077,0.29240643978118896,0.2716025412082672,0.2503350079059601,0.30350908637046814,0.43987444043159485,0.14998586475849152
",",0.3365725874900818,0.2600580155849457,0.4933079481124878,0.2390332818031311,0.4946078956127167,0.4933079481124878,0.2074567973613739,0.26863154768943787,0.27646857500076294,0.31091248989105225
preferring,0.2623606026172638,0.219757542014122,0.26922956109046936,0.1549050211906433,0.2480846494436264,0.26922956109046936,0.11259284615516663,0.15531878173351288,0.1893608719110489,0.2830295264720917
to,0.42656609416007996,0.2414499819278717,0.535392165184021,0.24435511231422424,0.41548454761505127,0.535392165184021,0.22131432592868805,0.24710409343242645,0.21448755264282227,0.29463258385658264
manipulate,0.20567959547042847,0.1798776388168335,0.27055132389068604,0.19770103693008423,0.19925978779792786,0.27055132389068604,0.10180889070034027,0.08385990560054779,0.1426791101694107,0.24103030562400818
the,0.3733934462070465,0.24990202486515045,1.0,0.3299247622489929,0.733189046382904,1.0,0.2778179347515106,0.2862859070301056,0.32532164454460144,0.22068053483963013
european,0.2314588874578476,0.11902003735303879,0.3423081040382385,0.22418466210365295,0.2507138252258301,0.3423081040382385,0.1142086386680603,0.21087346971035004,0.2144905924797058,0.14560863375663757
system,0.1550477296113968,0.21329915523529053,0.3233085572719574,0.17303915321826935,0.25597915053367615,0.3233085572719574,0.07267028838396072,0.19566607475280762,0.18615034222602844,0.15556083619594574
through,0.17793183028697968,0.2952563762664795,0.44071322679519653,0.1937856674194336,0.3647414743900299,0.44071322679519653,0.19744153320789337,0.12537987530231476,0.12548606097698212,0.16913433372974396
the,0.3733934462070465,0.24990202486515045,1.0,0.3299247622489929,0.733189046382904,1.0,0.2778179347515106,0.2862859070301056,0.32532164454460144,0.22068053483963013
concert,0.2069558948278427,0.12806357443332672,0.2353888601064682,0.2588672339916229,0.19607828557491302,0.2353888601064682,0.14967545866966248,0.09759044647216797,0.1552862823009491,0.16734014451503754
of,0.2827862501144409,0.29665443301200867,0.733189046382904,0.32534441351890564,1.0,0.733189046382904,0.32529065012931824,0.31028008460998535,0.30522286891937256,0.1826142966747284
europe,0.21583974361419678,0.13499964773654938,0.34463706612586975,0.2672635018825531,0.29299741983413696,0.34463706612586975,0.19748298823833466,0.26327019929885864,0.31634795665740967,0.18278923630714417
.,0.3541337847709656,0.2413787543773651,0.5934505462646484,0.24672693014144897,0.5352458953857422,0.5934505462646484,0.20362335443496704,0.27629324793815613,0.2811720371246338,0.4130953550338745
