,what,is,the,mineral,wustite,?
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.1832922399044037,0.21707643568515778,0.264628142118454
example,0.3456268310546875,0.36737263202667236,0.3755223751068115,0.17335958778858185,0.2717907726764679,0.30374911427497864
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2550774812698364,0.25958284735679626,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.229726642370224,0.263251930475235,0.22068053483963013
mineral,0.20816034078598022,0.32396429777145386,0.229726642370224,0.9999999403953552,0.3974649906158447,0.1975122094154358
feo,0.10852087289094925,0.19578851759433746,0.17864303290843964,0.16157114505767822,0.3744525909423828,0.24104145169258118
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.1893070638179779,0.2205090969800949,0.40561532974243164
wüstite,0.2288893610239029,0.2738131880760193,0.276905357837677,0.4704318344593048,0.8820928931236267,0.1624017357826233
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.19171907007694244,0.241091787815094,0.42300865054130554
is,0.28837618231773376,1.0,0.5823672413825989,0.32396429777145386,0.22599536180496216,0.22961433231830597
written,0.25412634015083313,0.2634589672088623,0.2582438886165619,0.13486871123313904,0.2720833122730255,0.21451954543590546
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.21802961826324463,0.29205724596977234,0.27043893933296204
fe,0.1869426965713501,0.16083765029907227,0.17900191247463226,0.2792200446128845,0.2986803650856018,0.16597414016723633
1,-0.21266892552375793,-0.12491171807050705,-0.1554475575685501,0.042180921882390976,-0.20641829073429108,-0.249979168176651
−,0.14940914511680603,0.16782180964946747,0.15648725628852844,0.13500480353832245,0.20858538150787354,0.22067660093307495
xo,0.23185722529888153,0.19932982325553894,0.246640145778656,0.11387297511100769,0.2850914001464844,0.3317851126194
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2550774812698364,0.25958284735679626,0.31091248989105225
where,0.4457937180995941,0.3586711287498474,0.5003893971443176,0.24651917815208435,0.189496710896492,0.24793872237205505
x,0.13783220946788788,0.1738782823085785,0.20980626344680786,0.1786685436964035,0.21770451962947845,0.23304535448551178
is,0.28837618231773376,1.0,0.5823672413825989,0.32396429777145386,0.22599536180496216,0.22961433231830597
usually,0.32521089911460876,0.4230746626853943,0.36782920360565186,0.19137826561927795,0.3125758469104767,0.19435347616672516
around,0.27475327253341675,0.286477267742157,0.40085816383361816,0.150013729929924,0.17420955002307892,0.14729668200016022
0.05,0.22132202982902527,-0.002831457182765007,0.030843481421470642,0.1213165670633316,0.014699161052703857,0.11374041438102722
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.23559525609016418,0.22937986254692078,0.4130953550338745
