,what,kind,of,fiction,is,tesla,'s,work,featured,in,?
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.20230287313461304,0.5823672413825989,0.1324402391910553,-0.01540423184633255,0.2704800069332123,0.28660184144973755,0.6662389636039734,0.22068053483963013
impact,0.25162962079048157,0.21373824775218964,0.21139270067214966,0.20980960130691528,0.18670059740543365,0.13133373856544495,-0.004318447783589363,0.22703343629837036,0.23698565363883972,0.18933768570423126,0.18429921567440033
of,0.33290785551071167,0.2285657674074173,1.0,0.1798480898141861,0.4854315221309662,0.18837453424930573,-0.03817026689648628,0.23473061621189117,0.2342860847711563,0.5696388483047485,0.1826142966747284
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.20230287313461304,0.5823672413825989,0.1324402391910553,-0.01540423184633255,0.2704800069332123,0.28660184144973755,0.6662389636039734,0.22068053483963013
technologies,0.1962265968322754,0.16128000617027283,0.20219539105892181,0.31953611969947815,0.2335004061460495,0.3657195270061493,0.060578636825084686,0.27501168847084045,0.15026797354221344,0.22444388270378113,0.1638062298297882
invented,0.1952974498271942,0.26454007625579834,0.18887928128242493,0.17385981976985931,0.1829768270254135,0.3097662925720215,-0.04714568704366684,0.24127495288848877,0.17390656471252441,0.21565213799476624,0.13781782984733582
or,0.33867141604423523,0.4102349579334259,0.3792596757411957,0.221563458442688,0.41870999336242676,0.1529218554496765,0.06871571391820908,0.289409875869751,0.2098761647939682,0.3586423695087433,0.32389625906944275
envisioned,0.28226369619369507,0.16819240152835846,0.32703647017478943,0.2372628152370453,0.21550314128398895,0.24841411411762238,0.0038389512337744236,0.2857531011104584,0.3014591336250305,0.2839394509792328,0.15805254876613617
by,0.2455483376979828,0.13289578258991241,0.3646814823150635,0.21986433863639832,0.3899846076965332,0.16513796150684357,-0.010884488001465797,0.25005507469177246,0.2284073531627655,0.370934396982193,0.17966607213020325
tesla,0.23221199214458466,0.20704586803913116,0.18837453424930573,0.12418979406356812,0.14061255753040314,0.9999999403953552,0.06449045985937119,0.2545209228992462,0.11536601185798645,0.17097744345664978,0.10250775516033173
is,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.2462390810251236,1.0,0.14061255753040314,0.02396530658006668,0.22475390136241913,0.2173553705215454,0.5394441485404968,0.22961433231830597
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.20890182256698608,0.658733606338501,0.2211925983428955,0.04866964742541313,0.266241192817688,0.3058987855911255,0.539380669593811,0.23916715383529663
recurring,0.20485198497772217,0.20747235417366028,0.16064214706420898,0.39447328448295593,0.1440475732088089,0.06761917471885681,-0.004849753342568874,0.2196716070175171,0.37901294231414795,0.3003353178501129,0.18640388548374176
theme,0.24160240590572357,0.23399579524993896,0.17537155747413635,0.28515350818634033,0.20746418833732605,0.11790701746940613,0.010491529479622841,0.17411676049232483,0.37877461314201355,0.21164380013942719,0.21507632732391357
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.2784067988395691,0.5394441485404968,0.17097744345664978,-0.037580832839012146,0.2753349542617798,0.2658694386482239,1.0,0.20430970191955566
several,0.22446060180664062,0.19271114468574524,0.3271615505218506,0.23468147218227386,0.20361857116222382,0.12530387938022614,-0.012985157780349255,0.28781697154045105,0.3166825473308563,0.39405709505081177,0.15595775842666626
types,0.25706279277801514,0.5562721490859985,0.2447618544101715,0.1483067125082016,0.21496213972568512,0.1195170134305954,0.007124748546630144,0.21351365745067596,0.22391408681869507,0.18516337871551514,0.1285012811422348
of,0.33290785551071167,0.2285657674074173,1.0,0.1798480898141861,0.4854315221309662,0.18837453424930573,-0.03817026689648628,0.23473061621189117,0.2342860847711563,0.5696388483047485,0.1826142966747284
science,0.2612018585205078,0.19720196723937988,0.2616958022117615,0.6595393419265747,0.2747138440608978,0.217654287815094,0.03909866884350777,0.2748505771160126,0.14388306438922882,0.269875705242157,0.17974960803985596
fiction,0.2169971615076065,0.16492845118045807,0.1798480898141861,1.0,0.2462390810251236,0.12418979406356812,0.05805192515254021,0.2473870813846588,0.2524438798427582,0.2784067988395691,0.19665013253688812
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.20628853142261505,0.4569662809371948,0.17949827015399933,-0.003708066651597619,0.33121398091316223,0.27540460228919983,0.5591574311256409,0.4130953550338745
