,when,was,the,special,report,on,managing,risks,of,extreme,events,and,disasters,to,advance,climate,change,adaptation,(,srex,),issued,?
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.2897285223007202,0.204250767827034,0.46853652596473694,0.20171329379081726,0.1519816368818283,0.5696388483047485,0.2783166170120239,0.2690284550189972,0.4954058527946472,0.29718950390815735,0.45010748505592346,0.1991603970527649,0.24209141731262207,0.2510564923286438,0.19578887522220612,0.3087427020072937,0.2412019520998001,0.3326910734176636,0.17191201448440552,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,1.0,0.3027077615261078,0.2556745111942291,0.5107308030128479,0.2366330474615097,0.19490332901477814,0.733189046382904,0.28210628032684326,0.3102840185165405,0.5171257257461548,0.27290815114974976,0.535392165184021,0.2887929677963257,0.2693597674369812,0.3641999065876007,0.2371719926595688,0.33289089798927307,0.2350984662771225,0.3456730246543884,0.22837360203266144,0.22068053483963013
year,0.3014719784259796,0.3209837079048157,0.3609684407711029,0.10077399760484695,0.19930125772953033,0.27628999948501587,0.20835565030574799,0.08068784326314926,0.2578314542770386,0.15358847379684448,0.31693416833877563,0.2506658732891083,0.22543521225452423,0.23523004353046417,0.23307567834854126,0.2137959748506546,0.21512968838214874,0.13588674366474152,0.2556702494621277,0.1794053465127945,0.24282371997833252,0.1967748999595642,0.18315006792545319
2011,0.07140792906284332,-0.022202642634510994,0.07811610400676727,0.1166597530245781,0.027150945737957954,0.08962488919496536,0.027458004653453827,0.17198246717453003,0.09709474444389343,0.02824820950627327,0.06022333726286888,0.0998905599117279,0.11439520120620728,0.03410811722278595,0.08210305869579315,0.018283769488334656,0.09840776771306992,-0.04193992540240288,-0.03467067703604698,0.06492359936237335,-0.002760703209787607,0.08682812750339508,0.005212190095335245
two,0.3743424117565155,0.27166637778282166,0.43858039379119873,0.25693705677986145,0.14437665045261383,0.3205535411834717,0.19497811794281006,0.10843129456043243,0.37726253271102905,0.1410200595855713,0.20373594760894775,0.4671151638031006,0.16188590228557587,0.3343428373336792,0.17914199829101562,0.15697738528251648,0.175460547208786,0.13097381591796875,0.2169162482023239,0.2083977609872818,0.24161455035209656,0.1973203867673874,0.19645625352859497
ipcc,0.17001821100711823,0.16744299232959747,0.24925659596920013,0.11514794826507568,0.4727894961833954,0.24879392981529236,0.2683793604373932,0.40733689069747925,0.20174051821231842,0.21793940663337708,0.28434157371520996,0.20790739357471466,0.28482958674430847,0.25466105341911316,0.1566428244113922,0.5031722187995911,0.34827950596809387,0.153286412358284,0.13946431875228882,0.2735888957977295,0.12562119960784912,0.22389072179794312,0.22295254468917847
special,0.2383107990026474,0.1585642695426941,0.3027077615261078,1.0000001192092896,0.26090309023857117,0.23108302056789398,0.12743592262268066,0.19552797079086304,0.27998968958854675,0.17354975640773773,0.20818887650966644,0.22352655231952667,0.1513182669878006,0.28623831272125244,0.2264459878206253,0.12264226377010345,0.21773160994052887,0.17250004410743713,0.1810780167579651,0.23873385787010193,0.207723930478096,0.1956758350133896,0.29623302817344666
report,0.1918206363916397,0.19926786422729492,0.2556745111942291,0.26090309023857117,0.9999998807907104,0.29382312297821045,0.19635127484798431,0.35063013434410095,0.22992923855781555,0.1376652866601944,0.1897103488445282,0.20391902327537537,0.31616440415382385,0.2559358477592468,0.21100467443466187,0.26226359605789185,0.24036449193954468,0.10189707577228546,0.21187053620815277,0.25771597027778625,0.20366355776786804,0.37258848547935486,0.3138936758041382
were,0.29649975895881653,0.590133786201477,0.3906462490558624,0.2070464789867401,0.21946288645267487,0.2774328887462616,0.13006475567817688,0.09506648033857346,0.34038281440734863,0.17817330360412598,0.25512784719467163,0.42175528407096863,0.2722318470478058,0.31913647055625916,0.22305907309055328,0.0955888032913208,0.16264456510543823,0.10923732817173004,0.14743882417678833,0.2642800211906433,0.1566188633441925,0.2394808679819107,0.17890112102031708
finalized,0.23057107627391815,0.2686108648777008,0.2770901024341583,0.18098825216293335,0.26481154561042786,0.250777930021286,0.26148152351379395,0.22774896025657654,0.2520163059234619,0.17572467029094696,0.1480519026517868,0.25907647609710693,0.1532665342092514,0.24045075476169586,0.23064079880714417,0.1651993840932846,0.1835443079471588,0.2216307818889618,0.15257538855075836,0.17997437715530396,0.16754591464996338,0.2771439850330353,0.15755558013916016
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.23880577087402344,0.250803142786026,0.49057599902153015,0.27715209126472473,0.20982415974140167,0.4946078956127167,0.2406754195690155,0.16838376224040985,0.6633074283599854,0.2097712606191635,0.44245919585227966,0.2881828844547272,0.224740669131279,0.2752361297607422,0.20935222506523132,0.6363511681556702,0.2826971709728241,0.63033527135849,0.21577242016792297,0.31091248989105225
