,abc,aired,symphony,performances,by,what,conductor,?
abc,1.0000001192092896,0.5025622844696045,0.1477980762720108,0.15612252056598663,0.17600902915000916,0.1317344456911087,0.08915843069553375,0.19065172970294952
became,0.14350707828998566,0.20188148319721222,0.247134730219841,0.2779330313205719,0.24051691591739655,0.1434093862771988,0.22140802443027496,0.11374033987522125
an,0.16561369597911835,0.15461860597133636,0.035774096846580505,0.20377711951732635,0.2719563841819763,0.2821882665157318,0.1404910534620285,0.19793890416622162
aggressive,0.12448973953723907,0.11177750676870346,0.15802733600139618,0.2098022848367691,0.16155332326889038,0.22621764242649078,0.10574343055486679,0.16846291720867157
competitor,0.14130257070064545,0.24570220708847046,0.20649898052215576,0.25869572162628174,0.1770644634962082,0.14049206674098969,0.22724317014217377,0.11364347487688065
to,0.1762417107820511,0.18075093626976013,0.1918591409921646,0.23757512867450714,0.33534231781959534,0.455847829580307,0.19323107600212097,0.29463258385658264
nbc,0.63486248254776,0.5155370831489563,0.2844213545322418,0.2882867753505707,0.16605262458324432,0.1638578325510025,0.2300516664981842,0.1680917739868164
and,0.16453155875205994,0.2092604786157608,0.1939915418624878,0.2993272542953491,0.4289871156215668,0.31309178471565247,0.20400647819042206,0.20544172823429108
cbs,0.636570394039154,0.48803529143333435,0.22842584550380707,0.2626224160194397,0.19215300679206848,0.1950361132621765,0.19673101603984833,0.14594407379627228
when,0.13294127583503723,0.19673508405685425,0.20529192686080933,0.23722802102565765,0.4376842677593231,0.4700249433517456,0.19039589166641235,0.22841128706932068
",",0.2097204476594925,0.2195960283279419,0.22059956192970276,0.24997647106647491,0.3680937886238098,0.3087472915649414,0.2754141688346863,0.31091248989105225
continuing,0.21994024515151978,0.24076779186725616,0.16454340517520905,0.22600741684436798,0.2003759741783142,0.28147760033607483,0.14861442148685455,0.16484299302101135
nbc,0.63486248254776,0.5155370831489563,0.2844213545322418,0.2882867753505707,0.16605262458324432,0.1638578325510025,0.2300516664981842,0.1680917739868164
blue,0.20072442293167114,0.1733938306570053,0.140449658036232,0.12729546427726746,0.18874850869178772,0.17981211841106415,0.12967081367969513,0.15668673813343048
's,0.06670809537172318,-0.008831794373691082,0.12062528729438782,0.10650395601987839,-0.010884488001465797,0.02692362666130066,-0.005748809780925512,-0.023395681753754616
traditions,0.12593191862106323,0.11940215528011322,0.18543410301208496,0.3065517842769623,0.1722327321767807,0.253129243850708,0.16435489058494568,0.18007412552833557
of,0.14607268571853638,0.15519371628761292,0.23093383014202118,0.21684497594833374,0.3646814823150635,0.33290785551071167,0.1300535798072815,0.1826142966747284
public,0.1555427610874176,0.148466557264328,0.2383405566215515,0.2656225264072418,0.23323717713356018,0.1729622185230255,0.19561277329921722,0.19872993230819702
service,0.22076331079006195,0.18113112449645996,0.1851208508014679,0.23258180916309357,0.20538176596164703,0.16857224702835083,0.18277451395988464,0.1676298975944519
",",0.2097204476594925,0.2195960283279419,0.22059956192970276,0.24997647106647491,0.3680937886238098,0.3087472915649414,0.2754141688346863,0.31091248989105225
it,0.17324577271938324,0.28247150778770447,0.25687122344970703,0.2558366358280182,0.40926623344421387,0.45803478360176086,0.21376408636569977,0.25732165575027466
aired,0.5025622844696045,1.0000001192092896,0.1802164912223816,0.29124847054481506,0.23136848211288452,0.1692323386669159,0.19186167418956757,0.22283338010311127
symphony,0.1477980762720108,0.1802164912223816,1.0000001192092896,0.4265454113483429,0.1540825068950653,0.19123253226280212,0.5870455503463745,0.13833048939704895
performances,0.15612252056598663,0.29124847054481506,0.4265454113483429,1.0000001192092896,0.2159411609172821,0.173678919672966,0.35593798756599426,0.15137696266174316
conducted,0.10803700238466263,0.25700369477272034,0.4995928406715393,0.4874861240386963,0.2579965889453888,0.13546347618103027,0.6702268719673157,0.1105341762304306
by,0.17600902915000916,0.23136848211288452,0.1540825068950653,0.2159411609172821,1.0000001192092896,0.2455483376979828,0.14902475476264954,0.17966607213020325
paul,0.11313698440790176,0.18657530844211578,0.1897856593132019,0.1812063604593277,0.2352575659751892,0.11217030137777328,0.20808681845664978,0.16611461341381073
