,who,congratulated,the,snp,while,vowing,to,campaign,against,their,referendum,?
nevertheless,0.23743179440498352,0.23788750171661377,0.29583513736724854,0.16464227437973022,0.38326045870780945,0.2434910088777542,0.31655287742614746,0.17281264066696167,0.2627892792224884,0.32940322160720825,0.21451090276241302,0.12207362055778503
",",0.3365725874900818,0.2703958749771118,0.4933079481124878,0.2538265883922577,0.38232675194740295,0.2354193925857544,0.44245919585227966,0.18021923303604126,0.31168749928474426,0.3045167922973633,0.22808091342449188,0.31091248989105225
she,0.45818623900413513,0.23859566450119019,0.36308351159095764,0.1895546019077301,0.32907426357269287,0.3048762381076813,0.31156328320503235,0.24442990124225616,0.19049406051635742,0.2923811674118042,0.1954241245985031,0.14223381876945496
too,0.292925089597702,0.27652686834335327,0.26985910534858704,0.1013726219534874,0.36245080828666687,0.32273802161216736,0.37087053060531616,0.1599498689174652,0.2290530502796173,0.27616846561431885,0.08542904257774353,0.33757779002189636
announced,0.11685211956501007,0.2570890486240387,0.2277132272720337,0.23784410953521729,0.18514284491539001,0.23571081459522247,0.20247882604599,0.33373263478279114,0.165065199136734,0.17570553719997406,0.3185883164405823,0.17416009306907654
she,0.45818623900413513,0.23859566450119019,0.36308351159095764,0.1895546019077301,0.32907426357269287,0.3048762381076813,0.31156328320503235,0.24442990124225616,0.19049406051635742,0.2923811674118042,0.1954241245985031,0.14223381876945496
would,0.3632977604866028,0.3542543053627014,0.4133751392364502,0.13786610960960388,0.38103634119033813,0.4345118999481201,0.5965728163719177,0.26508092880249023,0.25891733169555664,0.4112042188644409,0.2137671411037445,0.37178951501846313
step,0.2452450394630432,0.2544638216495514,0.20505109429359436,0.16204790771007538,0.24607720971107483,0.242381289601326,0.29304254055023193,0.18338418006896973,0.1726570874452591,0.26344364881515503,0.14557689428329468,0.23299238085746765
down,0.23123176395893097,0.24729523062705994,0.3325848877429962,0.14506886899471283,0.3019059896469116,0.33378633856773376,0.33130598068237305,0.09959927946329117,0.20126312971115112,0.2791244685649872,0.07848848402500153,0.13836295902729034
as,0.3923053741455078,0.17614151537418365,0.48381632566452026,0.21661809086799622,0.4165958762168884,0.24466420710086823,0.42092081904411316,0.22211018204689026,0.24545185267925262,0.29218852519989014,0.18037116527557373,0.27043893933296204
leader,0.31168457865715027,0.2653835117816925,0.27799519896507263,0.2781114876270294,0.15297728776931763,0.2324148565530777,0.2050279974937439,0.24533382058143616,0.23841425776481628,0.15972255170345306,0.2674281597137451,0.09527933597564697
of,0.2827862501144409,0.15106552839279175,0.733189046382904,0.26387298107147217,0.3366928696632385,0.3074299693107605,0.41548454761505127,0.23278115689754486,0.2669808566570282,0.4329940676689148,0.21849936246871948,0.1826142966747284
the,0.3733934462070465,0.22361910343170166,1.0,0.283728688955307,0.39804592728614807,0.3566112518310547,0.535392165184021,0.2755736708641052,0.3090755045413971,0.516537070274353,0.2520652413368225,0.22068053483963013
party,0.2427869290113449,0.20729026198387146,0.23779736459255219,0.4044208228588104,0.20788075029850006,0.25075486302375793,0.1893671154975891,0.3054956793785095,0.21933254599571228,0.166203111410141,0.4389549493789673,0.19031576812267303
.,0.3541337847709656,0.22942118346691132,0.5934505462646484,0.3462342321872711,0.38690751791000366,0.2301393449306488,0.4645031690597534,0.23225265741348267,0.28705209493637085,0.34427863359451294,0.1938503086566925,0.4130953550338745
