,by,justification,certain,racial,and,geographical,theories,",",europe,thought,of,itself,as,what,?
according,0.2975466847419739,0.2400372177362442,0.29921722412109375,0.2168937474489212,0.30645591020584106,0.33517295122146606,0.255825936794281,0.3107093870639801,0.13058188557624817,0.28604191541671753,0.3307822346687317,0.23546555638313293,0.24795791506767273,0.2776208221912384,0.21173474192619324
to,0.33534231781959534,0.23092837631702423,0.4444960355758667,0.24684342741966248,0.48971283435821533,0.2409864366054535,0.21480143070220947,0.44245919585227966,0.24889446794986725,0.3858291208744049,0.41548454761505127,0.340527206659317,0.42092081904411316,0.455847829580307,0.29463258385658264
siad,0.11652934551239014,0.12273845821619034,0.02889629825949669,0.17965780198574066,0.1945350617170334,0.19888067245483398,0.15097421407699585,0.25338467955589294,0.16040587425231934,0.21919161081314087,0.22173884510993958,0.12430444359779358,0.17162632942199707,0.17403852939605713,0.16043826937675476
",",0.3680937886238098,0.28414639830589294,0.28759655356407166,0.2529792785644531,0.6633074283599854,0.2952534854412079,0.18424807488918304,1.0000001192092896,0.2542513906955719,0.2965437173843384,0.4946078956127167,0.2783147692680359,0.48816442489624023,0.3087472915649414,0.31091248989105225
orientalism,0.12945710122585297,0.24197036027908325,0.1806335151195526,0.36271631717681885,0.19077666103839874,0.2040596306324005,0.2882351577281952,0.22784797847270966,0.29234224557876587,0.24613507091999054,0.2036316692829132,0.19082628190517426,0.14917324483394623,0.17770566046237946,0.11607802659273148
allowed,0.24764572083950043,0.24407537281513214,0.39776092767715454,0.21733222901821136,0.30774351954460144,0.1705615073442459,0.16625486314296722,0.2785535454750061,0.18196573853492737,0.3345825672149658,0.2699741721153259,0.20485134422779083,0.23990891873836517,0.2693612575531006,0.2309964895248413
europe,0.2368858903646469,0.26471343636512756,0.23009614646434784,0.1978384405374527,0.3463572859764099,0.1912609189748764,0.1918097883462906,0.2542513906955719,1.0000001192092896,0.26119598746299744,0.29299741983413696,0.12103651463985443,0.23063963651657104,0.17179538309574127,0.18278923630714417
to,0.33534231781959534,0.23092837631702423,0.4444960355758667,0.24684342741966248,0.48971283435821533,0.2409864366054535,0.21480143070220947,0.44245919585227966,0.24889446794986725,0.3858291208744049,0.41548454761505127,0.340527206659317,0.42092081904411316,0.455847829580307,0.29463258385658264
establish,0.12370724976062775,0.3157709538936615,0.242848739027977,0.21658886969089508,0.2462419867515564,0.24436266720294952,0.26275166869163513,0.19669954478740692,0.1455194503068924,0.10749296098947525,0.210533007979393,0.3175703287124634,0.2639545798301697,0.24999600648880005,0.21678102016448975
itself,0.283213347196579,0.33084967732429504,0.37347573041915894,0.1574506163597107,0.2663651406764984,0.2798217833042145,0.21187619864940643,0.2783147692680359,0.12103651463985443,0.24593503773212433,0.3157202899456024,1.0,0.2946869432926178,0.3625122308731079,0.17933900654315948
as,0.3815547823905945,0.26791077852249146,0.33222660422325134,0.21003970503807068,0.49487000703811646,0.22378993034362793,0.20168812572956085,0.48816442489624023,0.23063963651657104,0.3461970388889313,0.3886612355709076,0.2946869432926178,1.0,0.31749409437179565,0.27043893933296204
the,0.4408751428127289,0.26831284165382385,0.392071396112442,0.21064363420009613,0.5171257257461548,0.3164447844028473,0.24012529850006104,0.4933079481124878,0.34463706612586975,0.3509289622306824,0.733189046382904,0.45971640944480896,0.48381632566452026,0.42745697498321533,0.22068053483963013
