,what,influences,chloroplasts,',behavior,?
their,0.35142919421195984,0.2012118250131607,0.2906811833381653,0.20297467708587646,0.2628200650215149,0.1898253709077835
behavior,0.3737046718597412,0.3190273344516754,0.20968879759311676,0.154447540640831,0.9999999403953552,0.20805177092552185
is,0.28837618231773376,0.1552923023700714,0.22550933063030243,0.5508411526679993,0.194302499294281,0.22961433231830597
strongly,0.33651110529899597,0.3609863519668579,0.21255730092525482,0.17219986021518707,0.3145916163921356,0.1874239444732666
influenced,0.22395093739032745,0.8633283376693726,0.11029890179634094,0.14324833452701569,0.2432461380958557,0.1310873031616211
by,0.2455483376979828,0.3181333541870117,0.1951972097158432,0.2610379159450531,0.18637770414352417,0.17966607213020325
environmental,0.16198831796646118,0.2704589068889618,0.2406640499830246,0.170066699385643,0.39735960960388184,0.19728143513202667
factors,0.2665930688381195,0.24926775693893433,0.36346080899238586,0.10544141381978989,0.3823898136615753,0.2019491046667099
like,0.4320242702960968,0.24334797263145447,0.21969065070152283,0.2713732421398163,0.25180360674858093,0.3268813192844391
light,0.22953972220420837,0.11564472317695618,0.35485613346099854,0.1451229453086853,0.1650046855211258,0.17429810762405396
color,0.2746529281139374,0.10731151700019836,0.2498507797718048,0.17730534076690674,0.1718529313802719,0.21299609541893005
and,0.31309178471565247,0.2887135148048401,0.21511349081993103,0.3053182065486908,0.22840261459350586,0.20544172823429108
intensity,0.24739569425582886,0.24690622091293335,0.2221871167421341,0.13328741490840912,0.259541779756546,0.16833184659481049
.,0.3567904531955719,0.23001731932163239,0.23868323862552643,0.4806240200996399,0.262289822101593,0.4130953550338745
