,what,did,luther,use,the,hymn,to,encourage,colleagues,to,do,?
luther,0.2134782373905182,0.23667675256729126,1.0,0.10849796235561371,0.1759674996137619,0.24335725605487823,0.18029534816741943,0.16028201580047607,0.15299086272716522,0.18029534816741943,0.10933273285627365,0.1732746809720993
wrote,0.2664989233016968,0.3485160768032074,0.24184277653694153,0.14777027070522308,0.2426944375038147,0.4204634428024292,0.18888387084007263,0.19462420046329498,0.2789754569530487,0.18888387084007263,0.16949757933616638,0.19322504103183746
``,0.008517155423760414,-0.029888948425650597,-0.013964727520942688,0.098173126578331,0.029072100296616554,0.10007781535387039,0.06720756739377975,0.017960689961910248,0.06782212853431702,0.06720756739377975,0.06628920882940292,0.0685480609536171
aus,0.18372462689876556,0.14295589923858643,0.21375636756420135,0.12988921999931335,0.09332386404275894,0.14807142317295074,0.0887296050786972,0.11810596287250519,0.09951046109199524,0.0887296050786972,0.09925701469182968,0.21818752586841583
tiefer,0.1581072062253952,0.15642046928405762,0.23750795423984528,0.17286792397499084,0.2543894946575165,0.1770222932100296,0.21735523641109467,0.19324013590812683,0.22746680676937103,0.21735523641109467,0.17111070454120636,0.22696372866630554
not,0.5449194312095642,0.6481515765190125,0.21636232733726501,0.48439106345176697,0.4310511648654938,0.10579558461904526,0.5149973034858704,0.44032102823257446,0.23743197321891785,0.5149973034858704,0.6619802713394165,0.41942933201789856
schrei,0.1903093010187149,0.16953948140144348,0.34601566195487976,0.12316033989191055,0.21503321826457977,0.185125932097435,0.11913279443979263,0.07157530635595322,0.27647465467453003,0.11913279443979263,0.08881159126758575,0.2005736380815506
ich,0.12894415855407715,0.09222115576267242,0.23894745111465454,0.11620264500379562,0.11397934705018997,0.14286504685878754,0.1070256307721138,0.11992043256759644,0.15557228028774261,0.1070256307721138,0.08117995411157608,0.16696366667747498
zu,0.17157815396785736,0.15647944808006287,0.21456845104694366,0.1055855005979538,0.15475444495677948,0.14854972064495087,0.06303062289953232,0.12563127279281616,0.162787526845932,0.06303062289953232,0.16153442859649658,0.18317864835262299
dir,0.1614450365304947,0.0516330860555172,0.09664689749479294,0.12500223517417908,0.21941983699798584,0.17132173478603363,0.18083007633686066,0.0939880833029747,0.10221100598573685,0.18083007633686066,0.062467291951179504,0.14335119724273682
'',0.08143015950918198,0.01978493109345436,-0.04572787508368492,0.09741680324077606,0.041273195296525955,-0.056234996765851974,-0.009905828163027763,-0.05818846821784973,0.005664086434990168,-0.009905828163027763,-0.00043653504690155387,0.018684765323996544
(,0.2411840260028839,0.18979617953300476,0.1677781045436859,0.2174896001815796,0.33289089798927307,0.13691121339797974,0.30882009863853455,0.14042653143405914,0.17804880440235138,0.30882009863853455,0.24216170608997345,0.40561532974243164
``,0.008517155423760414,-0.029888948425650597,-0.013964727520942688,0.098173126578331,0.029072100296616554,0.10007781535387039,0.06720756739377975,0.017960689961910248,0.06782212853431702,0.06720756739377975,0.06628920882940292,0.0685480609536171
from,0.2737620174884796,0.20248863101005554,0.10716932266950607,0.28012022376060486,0.40150508284568787,0.20504270493984222,0.4069952368736267,0.10008787363767624,0.14526820182800293,0.4069952368736267,0.20424067974090576,0.19969791173934937
depths,0.3303919732570648,0.1558954417705536,0.1053362786769867,0.2458125650882721,0.23700039088726044,0.09922241419553757,0.25861412286758423,0.20817704498767853,0.20187368988990784,0.25861412286758423,0.21015401184558868,0.21987856924533844
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.2750902473926544,0.733189046382904,0.27317509055137634,0.41548454761505127,0.2560228705406189,0.2139822542667389,0.41548454761505127,0.26150479912757874,0.1826142966747284
woe,0.24307744204998016,0.22648391127586365,0.1744273155927658,0.06316221505403519,0.2332150787115097,0.18386802077293396,0.21849431097507477,0.2205478399991989,0.2579202950000763,0.21849431097507477,0.18974032998085022,0.32047438621520996
i,0.4411132335662842,0.32301032543182373,0.232476145029068,0.2535853981971741,0.26687872409820557,0.16609418392181396,0.3140375316143036,0.34069252014160156,0.1810271292924881,0.3140375316143036,0.39633429050445557,0.4695145785808563
cry,0.277485728263855,0.12927472591400146,0.16929373145103455,0.19053713977336884,0.21614642441272736,0.21711011230945587,0.15277507901191711,0.08520304411649704,0.08917969465255737,0.15277507901191711,0.1414939910173416,0.2308199256658554
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.47261837124824524,0.535392165184021,0.1294938325881958,1.0,0.4254889488220215,0.25015169382095337,1.0,0.38876664638519287,0.29463258385658264
you,0.5529524087905884,0.35957613587379456,0.19897010922431946,0.434521347284317,0.30037742853164673,0.14588983356952667,0.4194425344467163,0.4141700863838196,0.1804724633693695,0.4194425344467163,0.4814927875995636,0.5839095711708069
'',0.08143015950918198,0.01978493109345436,-0.04572787508368492,0.09741680324077606,0.041273195296525955,-0.056234996765851974,-0.009905828163027763,-0.05818846821784973,0.005664086434990168,-0.009905828163027763,-0.00043653504690155387,0.018684765323996544
),0.26259949803352356,0.18584993481636047,0.18587662279605865,0.23662498593330383,0.3456730246543884,0.15801535546779633,0.31236231327056885,0.14801566302776337,0.15072713792324066,0.31236231327056885,0.24460165202617645,0.42300865054130554
in,0.30808621644973755,0.2593238651752472,0.20523880422115326,0.2715643048286438,0.6662389636039734,0.15935353934764862,0.45010748505592346,0.2503052353858948,0.21033704280853271,0.45010748505592346,0.23402775824069977,0.20430970191955566
1523,-0.058873407542705536,-0.12093567103147507,0.004445450380444527,0.0029614309314638376,-0.06523832678794861,0.0006380850099958479,-0.08963276445865631,0.015701331198215485,-0.028735172003507614,-0.08963276445865631,-0.023979071527719498,-0.1076718270778656
as,0.31749409437179565,0.3596470057964325,0.20242992043495178,0.3453201949596405,0.48381632566452026,0.15318240225315094,0.42092081904411316,0.28108420968055725,0.26400426030158997,0.42092081904411316,0.38329678773880005,0.27043893933296204
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.30793872475624084,0.5829201340675354,0.1312560737133026,0.45503583550453186,0.22210997343063354,0.16711650788784027,0.45503583550453186,0.26237669587135315,0.23916715383529663
hymnic,0.25982871651649475,0.18124788999557495,0.32363268733024597,0.2038692682981491,0.26652225852012634,0.7424775958061218,0.18377777934074402,0.24794746935367584,0.18532894551753998,0.18377777934074402,0.25414466857910156,0.26386120915412903
version,0.20755547285079956,0.21677692234516144,0.18143774569034576,0.30217161774635315,0.27268242835998535,0.19262230396270752,0.24018406867980957,0.12296655029058456,0.11549729853868484,0.24018406867980957,0.1392086148262024,0.2573966085910797
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.2750902473926544,0.733189046382904,0.27317509055137634,0.41548454761505127,0.2560228705406189,0.2139822542667389,0.41548454761505127,0.26150479912757874,0.1826142966747284
psalm,0.24648988246917725,0.19757528603076935,0.29639866948127747,0.22347505390644073,0.2587265372276306,0.5732090473175049,0.14810869097709656,0.17827259004116058,0.16776838898658752,0.14810869097709656,0.17931991815567017,0.1857936531305313
130,-0.03760754317045212,0.12860579788684845,0.0653156042098999,0.056737177073955536,0.12078866362571716,0.13675786554813385,0.05107903108000755,0.04615745320916176,0.16954858601093292,0.05107903108000755,0.038320548832416534,0.11677306145429611
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.34145063161849976,0.5171257257461548,0.1816401183605194,0.48971283435821533,0.3351057767868042,0.24427060782909393,0.48971283435821533,0.276123583316803,0.20544172823429108
