,gandhi,often,referenced,shelley,'s,poem,in,his,efforts,to,do,what,?
in,0.2202024757862091,0.3380797803401947,0.24979080259799957,0.2943161129951477,-0.037580832839012146,0.19288983941078186,1.0,0.3598145842552185,0.21540255844593048,0.45010748505592346,0.23402775824069977,0.30808621644973755,0.20430970191955566
particular,0.20647267997264862,0.4760386049747467,0.3451369106769562,0.16968268156051636,0.004080382641404867,0.1867123693227768,0.3090636432170868,0.23242878913879395,0.23274166882038116,0.40318208932876587,0.25992920994758606,0.4548671245574951,0.2741454839706421
",",0.25672250986099243,0.24139221012592316,0.2924164831638336,0.28375792503356934,-0.0016132977325469255,0.15003186464309692,0.5201468467712402,0.3378419280052185,0.20678693056106567,0.44245919585227966,0.3283645510673523,0.3087472915649414,0.31091248989105225
it,0.15517769753932953,0.3385609984397888,0.29702645540237427,0.16699305176734924,0.06608816236257553,0.215616375207901,0.5130809545516968,0.2876833975315094,0.20892775058746338,0.513711154460907,0.337066113948822,0.45803478360176086,0.25732165575027466
is,0.14777901768684387,0.3856629431247711,0.2590031325817108,0.21151965856552124,0.02396530658006668,0.21483896672725677,0.5394441485404968,0.24372583627700806,0.12910696864128113,0.42745086550712585,0.30895981192588806,0.28837618231773376,0.22961433231830597
known,0.16156744956970215,0.3617981970310211,0.2621617913246155,0.23341608047485352,0.008368984796106815,0.16264334321022034,0.32641831040382385,0.29665085673332214,0.18833617866039276,0.14337651431560516,0.23082251846790314,0.20381177961826324,0.18314571678638458
that,0.17829307913780212,0.43873903155326843,0.37608271837234497,0.18453438580036163,0.04397977516055107,0.17737552523612976,0.435920387506485,0.3173833191394806,0.2833632230758667,0.5436353087425232,0.44533252716064453,0.6297725439071655,0.32716336846351624
gandhi,1.0,0.13559812307357788,0.15123435854911804,0.26635316014289856,0.13761647045612335,0.19366686046123505,0.2202024757862091,0.23340414464473724,0.29552552103996277,0.2410610467195511,0.14617037773132324,0.23243291676044464,0.18234050273895264
would,0.16183944046497345,0.3489023745059967,0.31481584906578064,0.11980004608631134,0.036968596279621124,0.16801200807094574,0.30461156368255615,0.292866975069046,0.3887687027454376,0.5965728163719177,0.4102592170238495,0.45766422152519226,0.37178951501846313
often,0.13559812307357788,1.0000001192092896,0.2022312432527542,0.24862948060035706,0.05346176400780678,0.21492663025856018,0.3380797803401947,0.30419299006462097,0.20784588158130646,0.4351843297481537,0.30438441038131714,0.3849453330039978,0.23748154938220978
quote,0.26950302720069885,0.1367524117231369,0.3783823549747467,0.15326768159866333,0.024206673726439476,0.30614370107650757,0.14110028743743896,0.20813894271850586,0.16791673004627228,0.20990394055843353,0.2293659746646881,0.3164133131504059,0.3428765535354614
