,which,area,of,khwarezmia,did,the,first,and,second,divisions,of,the,mongol,army,target,in,a,pincer,attack,?
the,0.6521818041801453,0.37834644317626953,0.733189046382904,0.3111512362957001,0.34736719727516174,1.0,0.49448907375335693,0.5171257257461548,0.4620301127433777,0.3125615119934082,0.733189046382904,1.0,0.2924198508262634,0.31011611223220825,0.25054478645324707,0.6662389636039734,0.5829201340675354,0.3309599459171295,0.2508925497531891,0.22068053483963013
second,0.336174339056015,0.20678231120109558,0.353416383266449,0.23322013020515442,0.20727969706058502,0.4620301127433777,0.6953977942466736,0.2743909955024719,1.0,0.169532909989357,0.353416383266449,0.4620301127433777,0.1729857623577118,0.19013476371765137,0.17744353413581848,0.34510284662246704,0.3655064105987549,0.17133666574954987,0.1467098742723465,0.17239587008953094
division,0.27775809168815613,0.2031480222940445,0.23579144477844238,0.20878194272518158,0.14262770116329193,0.26203617453575134,0.21919430792331696,0.23460866510868073,0.20447029173374176,0.8454943895339966,0.23579144477844238,0.26203617453575134,0.13510000705718994,0.25406786799430847,0.08692792803049088,0.2658538520336151,0.19939710199832916,0.22395789623260498,0.21341700851917267,0.08900629729032516
under,0.3235377371311188,0.23120976984500885,0.32766106724739075,0.26319074630737305,0.20815621316432953,0.3348022699356079,0.25392189621925354,0.3005301356315613,0.18162621557712555,0.1766158789396286,0.32766106724739075,0.3348022699356079,0.22559615969657898,0.19670718908309937,0.10429061949253082,0.2535393238067627,0.18317826092243195,0.16077375411987305,0.14348387718200684,0.18233340978622437
jebe,0.2355845421552658,0.2612322270870209,0.23213399946689606,0.4714023768901825,0.14259633421897888,0.272458553314209,0.1908780187368393,0.2566799223423004,0.2206641137599945,0.05889640375971794,0.23213399946689606,0.272458553314209,0.24661102890968323,0.16189320385456085,0.11996360868215561,0.20922763645648956,0.29146814346313477,0.18840302526950836,0.18821701407432556,0.1268274188041687
marched,0.19742465019226074,0.26511967182159424,0.2626478374004364,0.3217129409313202,0.27348342537879944,0.32402941584587097,0.1895080804824829,0.27661681175231934,0.19152314960956573,0.2297632396221161,0.2626478374004364,0.32402941584587097,0.20691382884979248,0.45831313729286194,0.15904705226421356,0.2845587730407715,0.1696462780237198,0.30671337246894836,0.3090725541114807,0.11712592840194702
secretly,0.23636692762374878,0.1600913405418396,0.1700989007949829,0.24949690699577332,0.2459244728088379,0.23499827086925507,0.2309664785861969,0.2756623327732086,0.14050880074501038,0.10646580904722214,0.1700989007949829,0.23499827086925507,0.17704804241657257,0.3002566695213318,0.21816939115524292,0.23721837997436523,0.23044338822364807,0.24679113924503326,0.2916436195373535,0.1746927946805954
to,0.5345056653022766,0.2797197997570038,0.41548454761505127,0.27053171396255493,0.4452643394470215,0.535392165184021,0.3792489171028137,0.48971283435821533,0.3098561465740204,0.20452556014060974,0.41548454761505127,0.535392165184021,0.2125127911567688,0.22938482463359833,0.275001585483551,0.45010748505592346,0.45503583550453186,0.2736390233039856,0.19954605400562286,0.29463258385658264
the,0.6521818041801453,0.37834644317626953,0.733189046382904,0.3111512362957001,0.34736719727516174,1.0,0.49448907375335693,0.5171257257461548,0.4620301127433777,0.3125615119934082,0.733189046382904,1.0,0.2924198508262634,0.31011611223220825,0.25054478645324707,0.6662389636039734,0.5829201340675354,0.3309599459171295,0.2508925497531891,0.22068053483963013
southeast,0.25141236186027527,0.4294925332069397,0.3134217858314514,0.26486045122146606,0.09456195682287216,0.32264992594718933,0.20550572872161865,0.24122467637062073,0.18123814463615417,0.2928698658943176,0.3134217858314514,0.32264992594718933,0.21935851871967316,0.1886751502752304,0.11650629341602325,0.332625150680542,0.2124132513999939,0.19179299473762512,0.1426825374364853,0.1004139706492424
part,0.4460882246494293,0.42262494564056396,0.452393114566803,0.24349741637706757,0.23558001220226288,0.527681291103363,0.2607765197753906,0.35301485657691956,0.2882431745529175,0.3392433822154999,0.452393114566803,0.527681291103363,0.17082427442073822,0.17501159012317657,0.15151235461235046,0.4499994218349457,0.3994528353214264,0.2801555395126343,0.14135172963142395,0.08557961881160736
of,0.5011631846427917,0.3409860134124756,1.0,0.30564188957214355,0.2513895630836487,0.733189046382904,0.3536086082458496,0.5116966962814331,0.353416383266449,0.3138268291950226,1.0,0.733189046382904,0.22712039947509766,0.2669098675251007,0.15346646308898926,0.5696388483047485,0.5052502155303955,0.2506698668003082,0.20644454658031464,0.1826142966747284
khwarzemia,0.34107422828674316,0.32923275232315063,0.322151780128479,0.853014349937439,0.20654095709323883,0.3238673806190491,0.22721245884895325,0.3090769946575165,0.2790568172931671,0.30450284481048584,0.322151780128479,0.3238673806190491,0.4435393810272217,0.30444958806037903,0.217127725481987,0.291737824678421,0.299590528011322,0.2922080457210541,0.25136691331863403,0.2711334526538849
to,0.5345056653022766,0.2797197997570038,0.41548454761505127,0.27053171396255493,0.4452643394470215,0.535392165184021,0.3792489171028137,0.48971283435821533,0.3098561465740204,0.20452556014060974,0.41548454761505127,0.535392165184021,0.2125127911567688,0.22938482463359833,0.275001585483551,0.45010748505592346,0.45503583550453186,0.2736390233039856,0.19954605400562286,0.29463258385658264
form,0.4024239182472229,0.1687784045934677,0.29600051045417786,0.2069903463125229,0.18086659908294678,0.29286009073257446,0.1870718151330948,0.30469027161598206,0.19384348392486572,0.10276723653078079,0.29600051045417786,0.29286009073257446,0.14186464250087738,0.08632971346378326,0.2613759934902191,0.2815987169742584,0.3088195323944092,0.1977798491716385,0.11048821359872818,0.1463010311126709
",",0.3658004403114319,0.2664283812046051,0.4946078956127167,0.35280895233154297,0.3015086054801941,0.4933079481124878,0.34503069519996643,0.6633074283599854,0.29927265644073486,0.27065619826316833,0.4946078956127167,0.4933079481124878,0.2229510098695755,0.230897456407547,0.19288919866085052,0.5201468467712402,0.427140474319458,0.34396544098854065,0.29392024874687195,0.31091248989105225
with,0.46403205394744873,0.2303420901298523,0.41827285289764404,0.2587907016277313,0.25472134351730347,0.4223487675189972,0.2691199779510498,0.5477725267410278,0.272382527589798,0.17412646114826202,0.41827285289764404,0.4223487675189972,0.1917596012353897,0.14974439144134521,0.1264670193195343,0.4080928862094879,0.3783375024795532,0.2880067527294159,0.1795673668384552,0.2433311939239502
the,0.6521818041801453,0.37834644317626953,0.733189046382904,0.3111512362957001,0.34736719727516174,1.0,0.49448907375335693,0.5171257257461548,0.4620301127433777,0.3125615119934082,0.733189046382904,1.0,0.2924198508262634,0.31011611223220825,0.25054478645324707,0.6662389636039734,0.5829201340675354,0.3309599459171295,0.2508925497531891,0.22068053483963013
first,0.3828166127204895,0.19156944751739502,0.3536086082458496,0.20945467054843903,0.33691170811653137,0.49448907375335693,1.0,0.3167642652988434,0.6953977942466736,0.168151393532753,0.3536086082458496,0.49448907375335693,0.11250606179237366,0.24056130647659302,0.181244894862175,0.4127444326877594,0.4287874400615692,0.17548802495002747,0.20237997174263,0.18701928853988647
division,0.27775809168815613,0.2031480222940445,0.23579144477844238,0.20878194272518158,0.14262770116329193,0.26203617453575134,0.21919430792331696,0.23460866510868073,0.20447029173374176,0.8454943895339966,0.23579144477844238,0.26203617453575134,0.13510000705718994,0.25406786799430847,0.08692792803049088,0.2658538520336151,0.19939710199832916,0.22395789623260498,0.21341700851917267,0.08900629729032516
",",0.3658004403114319,0.2664283812046051,0.4946078956127167,0.35280895233154297,0.3015086054801941,0.4933079481124878,0.34503069519996643,0.6633074283599854,0.29927265644073486,0.27065619826316833,0.4946078956127167,0.4933079481124878,0.2229510098695755,0.230897456407547,0.19288919866085052,0.5201468467712402,0.427140474319458,0.34396544098854065,0.29392024874687195,0.31091248989105225
a,0.56894451379776,0.2782127559185028,0.5052502155303955,0.3061319887638092,0.2552328109741211,0.5829201340675354,0.4287874400615692,0.3739250600337982,0.3655064105987549,0.2018592804670334,0.5052502155303955,0.5829201340675354,0.15921570360660553,0.20244213938713074,0.1994335651397705,0.539380669593811,1.0,0.31010735034942627,0.2556389570236206,0.23916715383529663
pincer,0.3324861228466034,0.19032613933086395,0.2506698668003082,0.26925960183143616,0.17504647374153137,0.3309599459171295,0.17548802495002747,0.31283774971961975,0.17133666574954987,0.24469073116779327,0.2506698668003082,0.3309599459171295,0.21261735260486603,0.3231094777584076,0.2841362953186035,0.2227490246295929,0.31010735034942627,1.0000001192092896,0.33010464906692505,0.19034090638160706
attack,0.23276583850383759,0.11339491605758667,0.20644454658031464,0.21267364919185638,0.13678960502147675,0.2508925497531891,0.20237997174263,0.24922382831573486,0.1467098742723465,0.204262375831604,0.20644454658031464,0.2508925497531891,0.2257426530122757,0.3572985529899597,0.2518238425254822,0.1944931447505951,0.2556389570236206,0.33010464906692505,1.0,0.126759335398674
on,0.4245251417160034,0.20868615806102753,0.3966929316520691,0.15983900427818298,0.2670976221561432,0.5107308030128479,0.3120559751987457,0.4077630043029785,0.26659107208251953,0.21437741816043854,0.3966929316520691,0.5107308030128479,0.13546301424503326,0.17614345252513885,0.13077636063098907,0.46853652596473694,0.3848365545272827,0.2358640730381012,0.27725884318351746,0.2714994251728058
samarkand,0.23842112720012665,0.25916633009910583,0.2605690360069275,0.6078715324401855,0.15214397013187408,0.3053828775882721,0.2067764699459076,0.2754867374897003,0.19908669590950012,0.1825692355632782,0.2605690360069275,0.3053828775882721,0.49078091979026794,0.22744479775428772,0.09660591930150986,0.28130465745925903,0.1994355469942093,0.168288916349411,0.17338860034942627,0.14516572654247284
.,0.45942068099975586,0.2760866582393646,0.5352458953857422,0.29643574357032776,0.35288307070732117,0.5934505462646484,0.4345304071903229,0.588965117931366,0.346034437417984,0.3021276295185089,0.5352458953857422,0.5934505462646484,0.16751837730407715,0.28860729932785034,0.24514639377593994,0.5591574311256409,0.50484299659729,0.27727335691452026,0.3003302216529846,0.4130953550338745
