,when,was,the,construction,that,changed,the,rhine,'s,delta,?
the,0.5091903209686279,0.48711544275283813,1.0,0.2671978175640106,0.5473989248275757,0.351829469203949,1.0,0.30735138058662415,-0.01540423184633255,0.22022446990013123,0.22068053483963013
construction,0.16481471061706543,0.224521666765213,0.2671978175640106,1.0,0.2251325249671936,0.21427416801452637,0.2671978175640106,0.15099675953388214,0.04049986973404884,0.0980447456240654,0.13494056463241577
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2815735340118408,0.41498205065727234,0.3099449872970581,0.733189046382904,0.2548927664756775,-0.03817026689648628,0.20736707746982574,0.1826142966747284
delta,0.1836346685886383,0.20297802984714508,0.22022446990013123,0.0980447456240654,0.18363666534423828,0.1121363639831543,0.22022446990013123,0.21930839121341705,0.1116364523768425,1.0000001192092896,0.14208948612213135
works,0.2696959376335144,0.2401018887758255,0.26337864995002747,0.22981765866279602,0.24413257837295532,0.17844617366790771,0.26337864995002747,0.1270911544561386,0.04286740720272064,0.05169069766998291,0.19597402215003967
changed,0.3033768832683563,0.3462000787258148,0.351829469203949,0.21427416801452637,0.3627825379371643,1.0,0.351829469203949,0.15414851903915405,-0.05124063789844513,0.1121363639831543,0.21123318374156952
the,0.5091903209686279,0.48711544275283813,1.0,0.2671978175640106,0.5473989248275757,0.351829469203949,1.0,0.30735138058662415,-0.01540423184633255,0.22022446990013123,0.22068053483963013
delta,0.1836346685886383,0.20297802984714508,0.22022446990013123,0.0980447456240654,0.18363666534423828,0.1121363639831543,0.22022446990013123,0.21930839121341705,0.1116364523768425,1.0000001192092896,0.14208948612213135
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.3031303882598877,0.435920387506485,0.292167991399765,0.6662389636039734,0.24648422002792358,-0.037580832839012146,0.21061979234218597,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,1.0,0.2671978175640106,0.5473989248275757,0.351829469203949,1.0,0.30735138058662415,-0.01540423184633255,0.22022446990013123,0.22068053483963013
second,0.28561660647392273,0.3858029544353485,0.4620301127433777,0.18310724198818207,0.25411489605903625,0.25255870819091797,0.4620301127433777,0.14830191433429718,-0.060212843120098114,0.1723136007785797,0.17239587008953094
half,0.2626088559627533,0.21022500097751617,0.3189295828342438,0.11250758916139603,0.2764185965061188,0.21149805188179016,0.3189295828342438,0.14647535979747772,-0.0026473274920135736,0.03891567513346672,0.07471233606338501
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2815735340118408,0.41498205065727234,0.3099449872970581,0.733189046382904,0.2548927664756775,-0.03817026689648628,0.20736707746982574,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.2671978175640106,0.5473989248275757,0.351829469203949,1.0,0.30735138058662415,-0.01540423184633255,0.22022446990013123,0.22068053483963013
20th,0.19096055626869202,0.258506178855896,0.3097512125968933,0.14275871217250824,0.2447710484266281,0.13476933538913727,0.3097512125968933,0.18670986592769623,0.1176292821764946,0.25093916058540344,0.14985637366771698
century,0.22992412745952606,0.3521432876586914,0.3617299497127533,0.240871399641037,0.24900858104228973,0.2505124807357788,0.3617299497127533,0.21836237609386444,-0.0005286295781843364,0.09504151344299316,0.1026201918721199
fundamentally,0.32722774147987366,0.23218315839767456,0.3023602068424225,0.22165733575820923,0.4490504562854767,0.24028576910495758,0.3023602068424225,0.07486887276172638,-0.08591769635677338,0.10159673541784286,0.23505090177059174
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.23682771623134613,0.4460422694683075,0.2985190153121948,0.5934505462646484,0.2089352011680603,-0.003708066651597619,0.20923152565956116,0.4130953550338745
