,in,the,us,",",who,decides,on,the,requirements,for,teachers,?
in,1.0,0.6662389636039734,0.19746538996696472,0.5201468467712402,0.2792111933231354,0.23550479114055634,0.46853652596473694,0.6662389636039734,0.17665298283100128,0.4322226941585541,0.2128150761127472,0.20430970191955566
the,0.6662389636039734,1.0,0.25727739930152893,0.4933079481124878,0.3733934462070465,0.32573065161705017,0.5107308030128479,1.0,0.26905253529548645,0.4739971458911896,0.22025763988494873,0.22068053483963013
united,0.3938477039337158,0.34367692470550537,0.4374046325683594,0.3053959608078003,0.21193812787532806,0.21300727128982544,0.2703288793563843,0.34367692470550537,0.1783221811056137,0.30487096309661865,0.15686272084712982,0.17266890406608582
states,0.3977442979812622,0.3463578522205353,0.4605454206466675,0.3315127193927765,0.21313154697418213,0.2040477842092514,0.2692825198173523,0.3463578522205353,0.2206508070230484,0.2496437132358551,0.17426928877830505,0.16272737085819244
",",0.5201468467712402,0.4933079481124878,0.3120202422142029,1.0000001192092896,0.3365725874900818,0.2148037850856781,0.49057599902153015,0.4933079481124878,0.29181739687919617,0.4464869201183319,0.28049156069755554,0.31091248989105225
each,0.30816060304641724,0.470844566822052,0.16142792999744415,0.207483172416687,0.27337536215782166,0.2812883257865906,0.30782750248908997,0.470844566822052,0.2895669937133789,0.3044290542602539,0.20301613211631775,0.21173812448978424
state,0.33316072821617126,0.3097178041934967,0.23009350895881653,0.29481780529022217,0.15636613965034485,0.14435070753097534,0.18138433992862701,0.3097178041934967,0.23005473613739014,0.19460363686084747,0.27587828040122986,0.1160883978009224
determines,0.27816495299339294,0.3987143337726593,0.23937559127807617,0.20273378491401672,0.18479889631271362,0.4175255596637726,0.22355452179908752,0.3987143337726593,0.34086334705352783,0.3337198495864868,0.18241170048713684,0.24495068192481995
the,0.6662389636039734,1.0,0.25727739930152893,0.4933079481124878,0.3733934462070465,0.32573065161705017,0.5107308030128479,1.0,0.26905253529548645,0.4739971458911896,0.22025763988494873,0.22068053483963013
requirements,0.17665298283100128,0.26905253529548645,0.21686436235904694,0.29181739687919617,0.23744942247867584,0.22482255101203918,0.24666893482208252,0.26905253529548645,0.9999998807907104,0.37713998556137085,0.2385253608226776,0.2940613329410553
for,0.4322226941585541,0.4739971458911896,0.26768606901168823,0.4464869201183319,0.37110671401023865,0.2475091964006424,0.36199691891670227,0.4739971458911896,0.37713998556137085,0.9999999403953552,0.274332195520401,0.264628142118454
getting,0.2387998104095459,0.2930673360824585,0.21009761095046997,0.2384856641292572,0.3006364703178406,0.277586430311203,0.28457388281822205,0.2930673360824585,0.2741810977458954,0.34310558438301086,0.1964225023984909,0.28468504548072815
a,0.539380669593811,0.5829201340675354,0.1862444281578064,0.427140474319458,0.36608949303627014,0.2980812191963196,0.3848365545272827,0.5829201340675354,0.24776260554790497,0.44038116931915283,0.2509842813014984,0.23916715383529663
license,0.15557733178138733,0.1774267554283142,0.21025162935256958,0.1872958391904831,0.21833060681819916,0.14511311054229736,0.15617136657238007,0.1774267554283142,0.3784172832965851,0.19358643889427185,0.19615061581134796,0.20579127967357635
to,0.45010748505592346,0.535392165184021,0.2928973436355591,0.44245919585227966,0.42656609416007996,0.42171913385391235,0.41031414270401,0.535392165184021,0.33546167612075806,0.4451248347759247,0.2668606638908386,0.29463258385658264
teach,0.23312166333198547,0.1966347098350525,0.20845705270767212,0.22192275524139404,0.3465370237827301,0.26343196630477905,0.2140905261039734,0.1966347098350525,0.21420304477214813,0.31015744805336,0.672313392162323,0.24188745021820068
in,1.0,0.6662389636039734,0.19746538996696472,0.5201468467712402,0.2792111933231354,0.23550479114055634,0.46853652596473694,0.6662389636039734,0.17665298283100128,0.4322226941585541,0.2128150761127472,0.20430970191955566
public,0.29074716567993164,0.22857438027858734,0.2124563455581665,0.2588968276977539,0.18950407207012177,0.1501109004020691,0.25951382517814636,0.22857438027858734,0.23098374903202057,0.3092794418334961,0.2875809669494629,0.19872993230819702
schools,0.2632134258747101,0.22905772924423218,0.17016038298606873,0.2760516405105591,0.20265154540538788,0.16253703832626343,0.18452578783035278,0.22905772924423218,0.2831105589866638,0.2320515662431717,0.5533654689788818,0.18349280953407288
.,0.5591574311256409,0.5934505462646484,0.3162994682788849,0.6812511086463928,0.3541337847709656,0.19607381522655487,0.49257001280784607,0.5934505462646484,0.25201094150543213,0.4726039469242096,0.24628326296806335,0.4130953550338745
