,when,did,luther,save,the,group,of,nuns,from,the,convent,?
martin,0.18206718564033508,0.15959656238555908,0.6228963136672974,0.1934099793434143,0.22029393911361694,0.18381460011005402,0.13722093403339386,0.16782696545124054,0.10372040420770645,0.22029393911361694,0.1916983276605606,0.060103293508291245
luther,0.14516782760620117,0.23667675256729126,1.0,0.1685381382703781,0.1759674996137619,0.11857733130455017,0.1719115972518921,0.3110099732875824,0.10716932266950607,0.1759674996137619,0.23039324581623077,0.1732746809720993
married,0.1918937712907791,0.199991375207901,0.1496782898902893,0.12067228555679321,0.10720405727624893,0.08614949882030487,0.1619977355003357,0.20537450909614563,0.20202675461769104,0.10720405727624893,0.2641894519329071,0.18062160909175873
katharina,0.10002582520246506,0.20237471163272858,0.34570983052253723,0.08079636842012405,0.15183475613594055,0.09299525618553162,0.15356898307800293,0.2480723261833191,0.10137306153774261,0.15183475613594055,0.2537548243999481,0.13054367899894714
von,0.15501481294631958,0.22224590182304382,0.30416905879974365,0.10338341444730759,0.21817399561405182,0.12222034484148026,0.19899946451187134,0.2239215224981308,0.12214753776788712,0.21817399561405182,0.2295064926147461,0.13907472789287567
bora,0.11946748197078705,0.06930505484342575,0.1740429401397705,0.09274844825267792,0.2240651249885559,0.20333798229694366,0.11102933436632156,0.12774157524108887,0.10906234383583069,0.2240651249885559,0.0852518156170845,0.13829001784324646
",",0.36674630641937256,0.3015086054801941,0.23255878686904907,0.2126808911561966,0.4933079481124878,0.2809832692146301,0.4946078956127167,0.20547693967819214,0.39760664105415344,0.4933079481124878,0.18241924047470093,0.31091248989105225
one,0.38307374715805054,0.27659472823143005,0.1255420446395874,0.21907660365104675,0.5514441132545471,0.3194190263748169,0.4999135136604309,0.14305128157138824,0.32194891571998596,0.5514441132545471,0.14350663125514984,0.2673267424106598
of,0.3757161796092987,0.2513895630836487,0.1719115972518921,0.21277251839637756,0.733189046382904,0.25542253255844116,1.0,0.23820213973522186,0.4249346852302551,0.733189046382904,0.23437820374965668,0.1826142966747284
12,0.24838608503341675,0.11160892248153687,-0.047294799238443375,0.09611976891756058,0.28907760977745056,0.002484337892383337,0.2886716425418854,0.1631900519132614,0.1726745069026947,0.28907760977745056,0.07197853922843933,0.10021790862083435
nuns,0.1971340924501419,0.25228947401046753,0.3110099732875824,0.18439209461212158,0.24968461692333221,0.14811907708644867,0.23820213973522186,1.0000001192092896,0.1485910266637802,0.24968461692333221,0.4382174611091614,0.17051644623279572
he,0.39115971326828003,0.3292143940925598,0.2454872578382492,0.17424646019935608,0.4571082592010498,0.22512191534042358,0.38706058263778687,0.2655799686908722,0.3314535319805145,0.4571082592010498,0.2446995973587036,0.2089974731206894
had,0.37526828050613403,0.540525496006012,0.16133075952529907,0.18770629167556763,0.3875846862792969,0.20148104429244995,0.37755560874938965,0.2649783790111542,0.3075238764286041,0.3875846862792969,0.18896271288394928,0.20728366076946259
helped,0.2335902452468872,0.48476338386535645,0.18291553854942322,0.2553292214870453,0.3108886480331421,0.19060257077217102,0.26548290252685547,0.14970315992832184,0.19967898726463318,0.3108886480331421,0.16727155447006226,0.16572049260139465
escape,0.26963287591934204,0.20764513313770294,0.18148590624332428,0.3620847463607788,0.23189567029476166,0.19904670119285583,0.17960478365421295,0.25579193234443665,0.2504068613052368,0.23189567029476166,0.1979682445526123,0.11586874723434448
