,who,wrote,about,the,distillation,of,drinking,water,from,sea,water,?
peter,0.2549128830432892,0.18403437733650208,0.15135830640792847,0.24086274206638336,0.0555897019803524,0.14779731631278992,0.037972502410411835,0.14099767804145813,0.09828782081604004,0.19259537756443024,0.14099767804145813,0.11650477349758148
of,0.2827862501144409,0.30241408944129944,0.40939709544181824,0.733189046382904,0.2695975601673126,1.0,0.23645314574241638,0.2741255462169647,0.4249346852302551,0.2707739472389221,0.2741255462169647,0.1826142966747284
abano,0.17576731741428375,0.15474483370780945,0.1528661847114563,0.23601016402244568,0.21990659832954407,0.25292837619781494,0.17120406031608582,0.1840527355670929,0.19411571323871613,0.18791671097278595,0.1840527355670929,0.12128061801195145
(,0.2443375140428543,0.16633541882038116,0.27495184540748596,0.33289089798927307,0.1879711151123047,0.35032153129577637,0.07102695852518082,0.16755586862564087,0.25806233286857605,0.19181853532791138,0.16755586862564087,0.40561532974243164
1250–1316,-0.04033330827951431,0.039657581597566605,0.14600326120853424,0.23397375643253326,0.13992008566856384,0.29000943899154663,0.044446296989917755,0.18418897688388824,0.13363564014434814,0.16981536149978638,0.18418897688388824,0.04173366725444794
),0.2457384318113327,0.18445713818073273,0.2775460183620453,0.3456730246543884,0.1974160373210907,0.3680361211299896,0.08906585723161697,0.18243473768234253,0.2672361731529236,0.18647637963294983,0.18243473768234253,0.42300865054130554
translated,0.15981005132198334,0.3486577272415161,0.15277071297168732,0.23299849033355713,0.15736840665340424,0.19178152084350586,0.07203081250190735,0.1106657087802887,0.15694183111190796,0.1328081339597702,0.1106657087802887,0.16961964964866638
and,0.41279885172843933,0.2975862920284271,0.3875081241130829,0.5171257257461548,0.1976962387561798,0.5116966962814331,0.27531862258911133,0.3054247498512268,0.3601827025413513,0.30105236172676086,0.3054247498512268,0.20544172823429108
added,0.10734523087739944,0.22703813016414642,0.19111685454845428,0.3207796514034271,0.3083207607269287,0.2879071831703186,0.20900757610797882,0.2542528510093689,0.23234812915325165,0.09534229338169098,0.2542528510093689,0.2865637540817261
a,0.36608949303627014,0.232523575425148,0.34171196818351746,0.5829201340675354,0.312672883272171,0.5052502155303955,0.2383936494588852,0.2979097068309784,0.322764128446579,0.17038485407829285,0.2979097068309784,0.23916715383529663
supplement,0.09310811758041382,0.1892261654138565,0.17089001834392548,0.2684840261936188,0.3337551951408386,0.23091833293437958,0.21805952489376068,0.2775379419326782,0.1931772083044052,0.13216951489448547,0.2775379419326782,0.18124131858348846
to,0.42656609416007996,0.18888387084007263,0.391953706741333,0.535392165184021,0.2368154674768448,0.41548454761505127,0.23371180891990662,0.27858173847198486,0.4069952368736267,0.2749888300895691,0.27858173847198486,0.29463258385658264
the,0.3733934462070465,0.2426944375038147,0.37995871901512146,1.0,0.2837975323200226,0.733189046382904,0.24362654983997345,0.297396719455719,0.40150508284568787,0.30363768339157104,0.297396719455719,0.22068053483963013
work,0.3146236836910248,0.3405553102493286,0.23703445494174957,0.2704800069332123,0.26215001940727234,0.23473061621189117,0.2049942910671234,0.18758267164230347,0.20936714112758636,0.11964862793684006,0.18758267164230347,0.2621155381202698
of,0.2827862501144409,0.30241408944129944,0.40939709544181824,0.733189046382904,0.2695975601673126,1.0,0.23645314574241638,0.2741255462169647,0.4249346852302551,0.2707739472389221,0.2741255462169647,0.1826142966747284
al-maridini,0.23430213332176208,0.16185718774795532,0.17270596325397491,0.2683768570423126,0.25851142406463623,0.23400148749351501,0.2523273527622223,0.23510752618312836,0.2422458827495575,0.23615078628063202,0.23510752618312836,0.16638211905956268
under,0.2962189018726349,0.20004644989967346,0.1724463254213333,0.3348022699356079,0.15985426306724548,0.32766106724739075,0.1347064971923828,0.17404292523860931,0.24506589770317078,0.1690347045660019,0.17404292523860931,0.18233340978622437
the,0.3733934462070465,0.2426944375038147,0.37995871901512146,1.0,0.2837975323200226,0.733189046382904,0.24362654983997345,0.297396719455719,0.40150508284568787,0.30363768339157104,0.297396719455719,0.22068053483963013
title,0.18150031566619873,0.17148008942604065,0.1422974169254303,0.27465343475341797,0.09682276844978333,0.18969319760799408,0.09162427484989166,0.07755459100008011,0.18666937947273254,0.070038802921772,0.07755459100008011,0.34551161527633667
de,0.18189555406570435,0.21141809225082397,0.15665563941001892,0.23491892218589783,0.23968030512332916,0.26292696595191956,0.06920044869184494,0.10574663430452347,0.16806256771087646,0.16657675802707672,0.10574663430452347,0.11064168810844421
veneris,0.22105738520622253,0.22589203715324402,0.09647012501955032,0.23074880242347717,0.16006401181221008,0.21141423285007477,0.08046916872262955,0.032732781022787094,0.14492881298065186,0.187029168009758,0.032732781022787094,0.07872956246137619
.,0.3541337847709656,0.2480330765247345,0.42038556933403015,0.5934505462646484,0.2360486537218094,0.5352458953857422,0.2799438536167145,0.26634910702705383,0.41536515951156616,0.2680719196796417,0.26634910702705383,0.4130953550338745
