,what,is,abc,'s,traditional,vod,service,currently,named,?
abc,0.1317344456911087,0.16037321090698242,1.0000001192092896,0.06670809537172318,0.12761685252189636,0.15503093600273132,0.22076331079006195,0.21135549247264862,0.2247007191181183,0.19065172970294952
maintains,0.17929726839065552,0.2847173810005188,0.14086058735847473,-0.0691092237830162,0.21774698793888092,0.08371752500534058,0.3386279046535492,0.3041802942752838,0.13040202856063843,0.13273680210113525
several,0.22446060180664062,0.20361857116222382,0.1428346037864685,-0.012985157780349255,0.21566715836524963,0.14073023200035095,0.19479961693286896,0.27866360545158386,0.2636145055294037,0.15595775842666626
video,0.1880173683166504,0.19670651853084564,0.23562908172607422,0.1412261724472046,0.16353756189346313,0.2138429433107376,0.1572217494249344,0.18239746987819672,0.15663807094097137,0.22771678864955902
on,0.34226128458976746,0.3635730445384979,0.2862928807735443,0.0026888418942689896,0.14103850722312927,0.13230766355991364,0.21384719014167786,0.2809738218784332,0.19771578907966614,0.2714994251728058
demand,0.2007312774658203,0.20401930809020996,0.12548789381980896,0.009128083474934101,0.20506945252418518,0.24699310958385468,0.3020496368408203,0.1993451565504074,0.0024850331246852875,0.13359291851520538
services,0.16048473119735718,0.2128378003835678,0.20619745552539825,0.0342075377702713,0.17823778092861176,0.183711975812912,0.7696225047111511,0.21810762584209442,0.11525417119264603,0.1328447163105011
for,0.3017193675041199,0.43268078565597534,0.22510288655757904,-0.07241261005401611,0.24382615089416504,0.19717547297477722,0.31237727403640747,0.4316125214099884,0.22057102620601654,0.264628142118454
delayed,0.20313408970832825,0.1647590696811676,0.20176677405834198,-0.009928583167493343,0.0928446352481842,0.11057756096124649,0.2400706261396408,0.21491695940494537,0.14931167662143707,0.12875154614448547
viewing,0.3130396008491516,0.25350522994995117,0.23849520087242126,-0.020483871921896935,0.17182539403438568,0.10157626867294312,0.2636830508708954,0.23919354379177094,0.1827779859304428,0.2183355838060379
of,0.33290785551071167,0.4854315221309662,0.14607268571853638,-0.03817026689648628,0.32287317514419556,0.2011662721633911,0.18425606191158295,0.2655649185180664,0.2820465862751007,0.1826142966747284
