,what,was,a,non-religious,reason,for,the,massacre,?
the,0.42745697498321533,0.48711544275283813,0.5829201340675354,0.22225452959537506,0.29647648334503174,0.4739971458911896,1.0,0.23870180547237396,0.22068053483963013
height,0.2337305247783661,0.1334953010082245,0.1969926655292511,0.19767510890960693,0.15852679312229156,0.17956995964050293,0.2694929540157318,0.029501600190997124,0.1599798947572708
of,0.33290785551071167,0.4069072902202606,0.5052502155303955,0.3137143850326538,0.23645815253257751,0.4185989499092102,0.733189046382904,0.20526865124702454,0.1826142966747284
this,0.5489566326141357,0.3638818562030792,0.5422310829162598,0.2524870038032532,0.5541561245918274,0.5082864165306091,0.6274310946464539,0.1948513388633728,0.3155723512172699
persecution,0.2927123010158539,0.22720639407634735,0.22403553128242493,0.48110780119895935,0.2657754123210907,0.25347572565078735,0.26699647307395935,0.3812114894390106,0.16299931704998016
was,0.22111038863658905,1.0000001192092896,0.4508470594882965,0.21233032643795013,0.23413166403770447,0.3863949179649353,0.48711544275283813,0.2228357344865799,0.18412111699581146
the,0.42745697498321533,0.48711544275283813,0.5829201340675354,0.22225452959537506,0.29647648334503174,0.4739971458911896,1.0,0.23870180547237396,0.22068053483963013
st.,0.10219959169626236,0.17142929136753082,0.23918339610099792,0.05433199182152748,0.05563855171203613,0.13670651614665985,0.18141359090805054,0.18038561940193176,0.13592876493930817
bartholomew,0.212022602558136,0.2436167597770691,0.28837454319000244,0.3256942927837372,0.16837388277053833,0.17149163782596588,0.31120938062667847,0.3315086364746094,0.1647033840417862
's,0.02692362666130066,0.008974763564765453,0.04866964742541313,0.04363445192575455,0.0060955071821808815,-0.07241261005401611,-0.01540423184633255,-0.0143845584243536,-0.023395681753754616
day,0.2990210950374603,0.24314451217651367,0.18630309402942657,0.20264065265655518,0.17109541594982147,0.23720888793468475,0.3062323033809662,0.2912667393684387,0.2141837179660797
massacre,0.16681800782680511,0.2228357344865799,0.14726845920085907,0.19581300020217896,0.15189673006534576,0.06277507543563843,0.23870180547237396,1.0,0.17941462993621826
when,0.4700249433517456,0.37326499819755554,0.44397395849227905,0.15425899624824524,0.34160491824150085,0.43402108550071716,0.5091903209686279,0.12145557999610901,0.22841128706932068
"5,000",0.018143286928534508,0.06395159661769867,0.07319855690002441,-0.12432020157575607,0.03217978775501251,0.08486399054527283,0.13800157606601715,0.11887016147375107,0.031676504760980606
to,0.455847829580307,0.3636345863342285,0.45503583550453186,0.2186756730079651,0.3437597155570984,0.4451248347759247,0.535392165184021,0.13038036227226257,0.29463258385658264
"30,000",-0.028655091300606728,0.13152016699314117,0.0407048761844635,0.05196283757686615,-0.004973180592060089,0.07827812433242798,0.06378138810396194,-0.053830720484256744,-0.012226879596710205
were,0.22298263013362885,0.590133786201477,0.17203083634376526,0.25963932275772095,0.1868613064289093,0.33592689037323,0.3906462490558624,0.2701851725578308,0.17890112102031708
killed,0.1862335354089737,0.31229376792907715,0.2230118364095688,0.1538240760564804,0.17363566160202026,0.1274932473897934,0.23115427792072296,0.47948741912841797,0.17928971350193024
",",0.3087472915649414,0.45456063747406006,0.427140474319458,0.2952350080013275,0.24553878605365753,0.4464869201183319,0.4933079481124878,0.22544804215431213,0.31091248989105225
although,0.24844598770141602,0.3711436688899994,0.29747897386550903,0.22489674389362335,0.27380749583244324,0.2825305759906769,0.3265823423862457,0.04130088910460472,0.15541206300258636
there,0.35085538029670715,0.24909798800945282,0.4214206337928772,0.22577625513076782,0.3664329946041107,0.3728419542312622,0.47025805711746216,0.19154280424118042,0.29405656456947327
were,0.22298263013362885,0.590133786201477,0.17203083634376526,0.25963932275772095,0.1868613064289093,0.33592689037323,0.3906462490558624,0.2701851725578308,0.17890112102031708
also,0.42747777700424194,0.4032125174999237,0.5149940252304077,0.2801022231578827,0.3463713824748993,0.5373267531394958,0.6021018624305725,0.1310790777206421,0.21848613023757935
underlying,0.44977858662605286,0.14246171712875366,0.26698967814445496,0.26416292786598206,0.32638609409332275,0.2711494565010071,0.3030717074871063,0.16383369266986847,0.2342413365840912
political,0.21846716105937958,0.24282537400722504,0.21418654918670654,0.4682059586048126,0.21102780103683472,0.24620850384235382,0.20477235317230225,0.17232359945774078,0.17130474746227264
reasons,0.3640104830265045,0.3114069104194641,0.29420214891433716,0.3168662488460541,0.7012534141540527,0.418081134557724,0.2951921820640564,0.14286105334758759,0.248102068901062
for,0.3017193675041199,0.3863949179649353,0.44038116931915283,0.21690917015075684,0.42787787318229675,0.9999999403953552,0.4739971458911896,0.06277507543563843,0.264628142118454
this,0.5489566326141357,0.3638818562030792,0.5422310829162598,0.2524870038032532,0.5541561245918274,0.5082864165306091,0.6274310946464539,0.1948513388633728,0.3155723512172699
as,0.31749409437179565,0.3677520453929901,0.39550232887268066,0.23907090723514557,0.29302218556404114,0.44774648547172546,0.48381632566452026,0.14203092455863953,0.27043893933296204
well,0.4154493808746338,0.3130364418029785,0.320642352104187,0.2599972188472748,0.25752517580986023,0.46352139115333557,0.42630070447921753,0.10810130834579468,0.24815571308135986
",",0.3087472915649414,0.45456063747406006,0.427140474319458,0.2952350080013275,0.24553878605365753,0.4464869201183319,0.4933079481124878,0.22544804215431213,0.31091248989105225
as,0.31749409437179565,0.3677520453929901,0.39550232887268066,0.23907090723514557,0.29302218556404114,0.44774648547172546,0.48381632566452026,0.14203092455863953,0.27043893933296204
some,0.4491020441055298,0.21528802812099457,0.34539633989334106,0.3246261477470398,0.3497675657272339,0.4257155656814575,0.4566698372364044,0.12492667883634567,0.2562315762042999
of,0.33290785551071167,0.4069072902202606,0.5052502155303955,0.3137143850326538,0.23645815253257751,0.4185989499092102,0.733189046382904,0.20526865124702454,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.5829201340675354,0.22225452959537506,0.29647648334503174,0.4739971458911896,1.0,0.23870180547237396,0.22068053483963013
huguenots,0.22128188610076904,0.20650696754455566,0.20410758256912231,0.41775789856910706,0.2295496016740799,0.17568211257457733,0.30745792388916016,0.3301491439342499,0.16010338068008423
were,0.22298263013362885,0.590133786201477,0.17203083634376526,0.25963932275772095,0.1868613064289093,0.33592689037323,0.3906462490558624,0.2701851725578308,0.17890112102031708
nobles,0.20172527432441711,0.22921884059906006,0.2156771719455719,0.3421015441417694,0.17295613884925842,0.196146160364151,0.2815840542316437,0.2572679817676544,0.13999377191066742
trying,0.4177112281322479,0.19752094149589539,0.3045077919960022,0.13837778568267822,0.3293142020702362,0.2689822316169739,0.2930695712566376,0.2102031111717224,0.3144860565662384
to,0.455847829580307,0.3636345863342285,0.45503583550453186,0.2186756730079651,0.3437597155570984,0.4451248347759247,0.535392165184021,0.13038036227226257,0.29463258385658264
establish,0.24999600648880005,0.1769464761018753,0.22806213796138763,0.2461402714252472,0.24073903262615204,0.1806582361459732,0.31343501806259155,0.1769283264875412,0.21678102016448975
separate,0.33215096592903137,0.1980229765176773,0.3137926161289215,0.2265668660402298,0.2706919312477112,0.2631097137928009,0.3612915575504303,0.0775459036231041,0.16835719347000122
centers,0.22307880222797394,0.1675269901752472,0.27225613594055176,0.2622573673725128,0.18082472681999207,0.2730714976787567,0.3307511508464813,0.18426436185836792,0.16634750366210938
of,0.33290785551071167,0.4069072902202606,0.5052502155303955,0.3137143850326538,0.23645815253257751,0.4185989499092102,0.733189046382904,0.20526865124702454,0.1826142966747284
power,0.22216427326202393,0.1794997751712799,0.21580491960048676,0.14283208549022675,0.14139096438884735,0.15072456002235413,0.2647338807582855,0.05164244398474693,0.15304024517536163
in,0.30808621644973755,0.45514053106307983,0.539380669593811,0.23914438486099243,0.21220409870147705,0.4322226941585541,0.6662389636039734,0.223619282245636,0.20430970191955566
southern,0.18679563701152802,0.23717372119426727,0.25843560695648193,0.13682638108730316,0.09353018552064896,0.14496514201164246,0.3282862603664398,0.20929192006587982,0.11225555837154388
france,0.17793065309524536,0.2715669870376587,0.24802380800247192,0.2516970932483673,0.1421840935945511,0.21557466685771942,0.35517507791519165,0.15931744873523712,0.15069349110126495
.,0.3567904531955719,0.40146201848983765,0.50484299659729,0.2518201172351837,0.3219331204891205,0.4726039469242096,0.5934505462646484,0.17124898731708527,0.4130953550338745
