,who,besides,woodrow,wilson,himself,had,the,idea,for,the,inquiry,?
the,0.3733934462070465,0.367077499628067,0.2778104841709137,0.20745839178562164,0.24642214179039001,0.3875846862792969,1.0,0.2839161455631256,0.4739971458911896,1.0,0.24161653220653534,0.22068053483963013
inquiry,0.17631639540195465,0.1414029598236084,0.3013535141944885,0.270449697971344,0.23418501019477844,0.1753147393465042,0.24161653220653534,0.22990411520004272,0.18944916129112244,0.24161653220653534,1.0000001192092896,0.1689903736114502
was,0.3318818509578705,0.24878661334514618,0.2865031063556671,0.1931360512971878,0.34733298420906067,0.5927209258079529,0.48711544275283813,0.2835119664669037,0.3863949179649353,0.48711544275283813,0.2590499222278595,0.18412111699581146
the,0.3733934462070465,0.367077499628067,0.2778104841709137,0.20745839178562164,0.24642214179039001,0.3875846862792969,1.0,0.2839161455631256,0.4739971458911896,1.0,0.24161653220653534,0.22068053483963013
idea,0.3689709007740021,0.2656831741333008,0.13660162687301636,0.1649027317762375,0.26449039578437805,0.3019939363002777,0.2839161455631256,1.0,0.26828616857528687,0.2839161455631256,0.22990411520004272,0.2952161729335785
of,0.2827862501144409,0.3665722906589508,0.2642464339733124,0.17700797319412231,0.17862990498542786,0.37755560874938965,0.733189046382904,0.2342950403690338,0.4185989499092102,0.733189046382904,0.23861491680145264,0.1826142966747284
president,0.22565458714962006,0.1363532841205597,0.4917760491371155,0.2326561063528061,0.2059532105922699,0.20116457343101501,0.24330610036849976,0.17397157847881317,0.17469504475593567,0.24330610036849976,0.19378668069839478,0.14148259162902832
wilson,0.2164091318845749,0.11155471950769424,0.5838743448257446,1.0,0.18715353310108185,0.17636165022850037,0.20745839178562164,0.1649027317762375,0.19865725934505463,0.20745839178562164,0.270449697971344,0.1055358424782753
and,0.41279885172843933,0.3610946238040924,0.204256072640419,0.26030388474464417,0.23012475669384003,0.3872550129890442,0.5171257257461548,0.24201342463493347,0.5064792633056641,0.5171257257461548,0.2066962718963623,0.20544172823429108
the,0.3733934462070465,0.367077499628067,0.2778104841709137,0.20745839178562164,0.24642214179039001,0.3875846862792969,1.0,0.2839161455631256,0.4739971458911896,1.0,0.24161653220653534,0.22068053483963013
american,0.3093835413455963,0.13401372730731964,0.2780229449272156,0.2999301850795746,0.10744623839855194,0.20283499360084534,0.24562937021255493,0.19619186222553253,0.2306184321641922,0.24562937021255493,0.12545716762542725,0.18877598643302917
delegation,0.28045618534088135,0.07177385687828064,0.400922030210495,0.23037540912628174,0.24289001524448395,0.29049164056777954,0.35148802399635315,0.23271700739860535,0.26225000619888306,0.35148802399635315,0.40127113461494446,0.1370878666639328
from,0.27839982509613037,0.30681347846984863,0.17373248934745789,0.12998053431510925,0.18922577798366547,0.3075238764286041,0.40150508284568787,0.2078460454940796,0.314039945602417,0.40150508284568787,0.1455335170030594,0.19969791173934937
the,0.3733934462070465,0.367077499628067,0.2778104841709137,0.20745839178562164,0.24642214179039001,0.3875846862792969,1.0,0.2839161455631256,0.4739971458911896,1.0,0.24161653220653534,0.22068053483963013
paris,0.2166387438774109,0.0875730887055397,0.23708923161029816,0.14021356403827667,0.22044360637664795,0.2232414036989212,0.24946041405200958,0.17733529210090637,0.1888580322265625,0.24946041405200958,0.12452229112386703,0.1491217315196991
peace,0.21845698356628418,0.16853858530521393,0.3480208218097687,0.24228495359420776,0.1845463514328003,0.14556154608726501,0.2625678777694702,0.23044520616531372,0.2356155663728714,0.2625678777694702,0.23491604626178741,0.1404135823249817
conference,0.13570554554462433,0.10420312732458115,0.24087543785572052,0.2026108354330063,0.11296305060386658,0.10160572826862335,0.25393402576446533,0.14304570853710175,0.21981438994407654,0.25393402576446533,0.23904670774936676,0.11172781884670258
.,0.3541337847709656,0.28636154532432556,0.2942434847354889,0.27294424176216125,0.16836950182914734,0.37348684668540955,0.5934505462646484,0.26084083318710327,0.4726039469242096,0.5934505462646484,0.15333840250968933,0.4130953550338745
