,what,practice,do,some,internet,pharmacies,engage,in,?
while,0.35511791706085205,0.31727737188339233,0.3032379448413849,0.3921129107475281,0.1664661169052124,0.20223696529865265,0.2756820321083069,0.3399278521537781,0.21076419949531555
most,0.3219912350177765,0.22931188344955444,0.31522849202156067,0.6355911493301392,0.17232878506183624,0.240273579955101,0.14422374963760376,0.41416558623313904,0.2107497900724411
internet,0.1770392656326294,0.13879841566085815,0.170716792345047,0.21682681143283844,1.0,0.18337510526180267,0.13368284702301025,0.15279750525951385,0.23314887285232544
pharmacies,0.21324466168880463,0.28357553482055664,0.26694825291633606,0.3485310673713684,0.18337510526180267,1.0000001192092896,0.17668399214744568,0.23778970539569855,0.13542459905147552
sell,0.24112503230571747,0.1781134009361267,0.2827099561691284,0.31257936358451843,0.21709398925304413,0.41134029626846313,0.21489480137825012,0.23190630972385406,0.1556897759437561
prescription,0.2773992717266083,0.3116932809352875,0.28526777029037476,0.35163918137550354,0.24733081459999084,0.5121713280677795,0.2122521698474884,0.173431396484375,0.1977909505367279
drugs,0.27091342210769653,0.22516568005084991,0.2335958033800125,0.3103911876678467,0.2358766347169876,0.4796299636363983,0.18835203349590302,0.18405058979988098,0.15436270833015442
and,0.31309178471565247,0.2791718542575836,0.276123583316803,0.5337774157524109,0.2236168533563614,0.3083914816379547,0.22515226900577545,0.4954058527946472,0.20544172823429108
require,0.2487315833568573,0.3592628538608551,0.44236746430397034,0.3806331753730774,0.19010573625564575,0.2662639617919922,0.23720213770866394,0.14079172909259796,0.2463286817073822
a,0.3320399522781372,0.27658340334892273,0.26237669587135315,0.34539633989334106,0.2250564843416214,0.22259847819805145,0.22857552766799927,0.539380669593811,0.23916715383529663
valid,0.30313223600387573,0.33901119232177734,0.3101885914802551,0.2904492914676666,0.24168817698955536,0.21179473400115967,0.21674835681915283,0.14782947301864624,0.27800852060317993
prescription,0.2773992717266083,0.3116932809352875,0.28526777029037476,0.35163918137550354,0.24733081459999084,0.5121713280677795,0.2122521698474884,0.173431396484375,0.1977909505367279
",",0.3087472915649414,0.2838936448097229,0.3283645510673523,0.42400437593460083,0.17182038724422455,0.2212837040424347,0.23676002025604248,0.5201468467712402,0.31091248989105225
some,0.4491020441055298,0.2881247103214264,0.4725562036037445,0.9999999403953552,0.21682681143283844,0.3485310673713684,0.22033663094043732,0.4010399878025055,0.2562315762042999
internet,0.1770392656326294,0.13879841566085815,0.170716792345047,0.21682681143283844,1.0,0.18337510526180267,0.13368284702301025,0.15279750525951385,0.23314887285232544
pharmacies,0.21324466168880463,0.28357553482055664,0.26694825291633606,0.3485310673713684,0.18337510526180267,1.0000001192092896,0.17668399214744568,0.23778970539569855,0.13542459905147552
sell,0.24112503230571747,0.1781134009361267,0.2827099561691284,0.31257936358451843,0.21709398925304413,0.41134029626846313,0.21489480137825012,0.23190630972385406,0.1556897759437561
prescription,0.2773992717266083,0.3116932809352875,0.28526777029037476,0.35163918137550354,0.24733081459999084,0.5121713280677795,0.2122521698474884,0.173431396484375,0.1977909505367279
drugs,0.27091342210769653,0.22516568005084991,0.2335958033800125,0.3103911876678467,0.2358766347169876,0.4796299636363983,0.18835203349590302,0.18405058979988098,0.15436270833015442
without,0.3181614279747009,0.25451329350471497,0.3709314465522766,0.3382771611213684,0.21668535470962524,0.11469492316246033,0.21232344210147858,0.2553589344024658,0.2928665280342102
requiring,0.23015210032463074,0.39864930510520935,0.383081316947937,0.356713205575943,0.24411170184612274,0.2318897843360901,0.2803509533405304,0.178789421916008,0.19080378115177155
a,0.3320399522781372,0.27658340334892273,0.26237669587135315,0.34539633989334106,0.2250564843416214,0.22259847819805145,0.22857552766799927,0.539380669593811,0.23916715383529663
prescription,0.2773992717266083,0.3116932809352875,0.28526777029037476,0.35163918137550354,0.24733081459999084,0.5121713280677795,0.2122521698474884,0.173431396484375,0.1977909505367279
.,0.3567904531955719,0.2513175904750824,0.3613996207714081,0.40663889050483704,0.206785187125206,0.2382737696170807,0.1933193951845169,0.5591574311256409,0.4130953550338745
