,what,was,the,name,of,the,blind,date,concept,program,debuted,by,abc,in,1966,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.15337114036083221,0.21362407505512238,0.21857000887393951,0.1994907110929489,0.25110283493995667,0.370934396982193,0.1697147786617279,1.0,-0.09151272475719452,0.20430970191955566
december,0.19304980337619781,0.41127854585647583,0.23266014456748962,0.12413579225540161,0.1503814309835434,0.23266014456748962,0.10443803668022156,0.22934013605117798,0.14290504157543182,0.14001555740833282,0.251477986574173,0.18191079795360565,0.16602325439453125,0.25854936242103577,-0.07605136185884476,0.2480352818965912
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.17185138165950775,0.19568462669849396,0.24082158505916595,0.17376001179218292,0.18094587326049805,0.3646814823150635,0.14607268571853638,0.5696388483047485,-0.13182570040225983,0.1826142966747284
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.27224332094192505,0.41498205065727234,0.5473989248275757,0.21179334819316864,0.22681793570518494,0.3531160056591034,0.33504533767700195,0.13997265696525574,0.37496164441108704,0.17440107464790344,0.435920387506485,0.09160137921571732,0.32716336846351624
year,0.15184831619262695,0.3209837079048157,0.3609684407711029,0.27400609850883484,0.2578314542770386,0.3609684407711029,0.15160340070724487,0.3541852831840515,0.2028077095746994,0.17092710733413696,0.30176782608032227,0.28805047273635864,0.2373921275138855,0.3359307050704956,-0.05663387104868889,0.18315006792545319
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.251240611076355,0.2279704213142395,0.20029692351818085,0.17760658264160156,0.23864160478115082,0.3680937886238098,0.2097204476594925,0.5201468467712402,-0.012670902535319328,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.18614573776721954,0.25333094596862793,0.2355310022830963,0.22986935079097748,0.28418588638305664,0.4408751428127289,0.2068762183189392,0.6662389636039734,-0.0162473414093256,0.22068053483963013
abc,0.1317344456911087,0.21565799415111542,0.2068762183189392,0.1380753219127655,0.14607268571853638,0.2068762183189392,0.08587484806776047,0.14113543927669525,0.09359899908304214,0.28949791193008423,0.27247121930122375,0.17600902915000916,1.0000001192092896,0.1697147786617279,0.012195252813398838,0.19065172970294952
television,0.19838058948516846,0.2516675293445587,0.24569597840309143,0.1647563874721527,0.21995750069618225,0.24569597840309143,0.14027129113674164,0.12302010506391525,0.10685484111309052,0.36510443687438965,0.30273041129112244,0.23368048667907715,0.46871840953826904,0.2689782977104187,0.07287482917308807,0.16825827956199646
network,0.16917307674884796,0.1994880586862564,0.27187061309814453,0.12428203225135803,0.21800683438777924,0.27187061309814453,0.06235549598932266,0.11769603937864304,0.21172374486923218,0.4167900085449219,0.28641700744628906,0.214903324842453,0.4295894205570221,0.19496823847293854,-0.0010385171044617891,0.17853789031505585
premiered,0.14397189021110535,0.3313652276992798,0.2763466238975525,0.11033951491117477,0.17575117945671082,0.2763466238975525,0.07419650256633759,0.22355207800865173,0.14192581176757812,0.2522561252117157,0.499764621257782,0.25732770562171936,0.40666091442108154,0.2717820405960083,0.05255661532282829,0.21595802903175354
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.18614573776721954,0.25333094596862793,0.2355310022830963,0.22986935079097748,0.28418588638305664,0.4408751428127289,0.2068762183189392,0.6662389636039734,-0.0162473414093256,0.22068053483963013
dating,0.19090399146080017,0.17555896937847137,0.23401090502738953,0.1658570021390915,0.2134421318769455,0.23401090502738953,0.08516004681587219,0.4261505901813507,0.10579811036586761,0.13487736880779266,0.06818976253271103,0.16308875381946564,0.18864980340003967,0.2300887107849121,0.028659889474511147,0.1135709211230278
game,0.2246788740158081,0.2568269371986389,0.285271555185318,0.17639878392219543,0.2298848181962967,0.285271555185318,0.18577569723129272,0.15443380177021027,0.2112555056810379,0.2865357995033264,0.23524227738380432,0.21372540295124054,0.22060900926589966,0.23986028134822845,0.11697840690612793,0.1829071193933487
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.251240611076355,0.2279704213142395,0.20029692351818085,0.17760658264160156,0.23864160478115082,0.3680937886238098,0.2097204476594925,0.5201468467712402,-0.012670902535319328,0.31091248989105225
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.24279455840587616,0.20166118443012238,0.29586365818977356,0.2779408395290375,0.22790193557739258,0.32094135880470276,0.21331243216991425,0.539380669593811,0.06093672290444374,0.23916715383529663
pioneer,0.12927818298339844,0.2488599568605423,0.20484299957752228,0.14630524814128876,0.17708148062229156,0.20484299957752228,0.08671291172504425,0.13158059120178223,0.28644096851348877,0.24371743202209473,0.10244120657444,0.1598508358001709,0.10577301681041718,0.27157774567604065,-0.05545755475759506,0.05553717911243439
