,what,was,the,second,meaning,of,a,chinese,word,for,'barracks,',?
some,0.4491020441055298,0.21528802812099457,0.4566698372364044,0.17522670328617096,0.2426397055387497,0.4300730526447296,0.34539633989334106,0.24284233152866364,0.2571132183074951,0.4257155656814575,0.2660242021083832,0.24786527454853058,0.2562315762042999
muslim,0.2631456255912781,0.230477973818779,0.28099653124809265,0.20825402438640594,0.15015293657779694,0.267849862575531,0.21089844405651093,0.31008583307266235,0.16165921092033386,0.21262682974338531,0.1356934905052185,0.10239071398973465,0.17456822097301483
communities,0.22858412563800812,0.14950911700725555,0.24729211628437042,0.11045204848051071,0.22965431213378906,0.21719247102737427,0.2370501160621643,0.1797812432050705,0.20875054597854614,0.23633545637130737,0.24715954065322876,0.15425854921340942,0.20171424746513367
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.2551495432853699,0.21654002368450165,0.37755560874938965,0.34897568821907043,0.1845577508211136,0.15408852696418762,0.3270139992237091,0.3219839334487915,0.21722373366355896,0.20728366076946259
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.3655064105987549,0.3343478739261627,0.5052502155303955,1.0,0.23124997317790985,0.3246598243713379,0.44038116931915283,0.18443670868873596,0.48837921023368835,0.23916715383529663
chinese,0.11643128097057343,0.21259073913097382,0.2785343527793884,0.16684667766094208,0.2328876107931137,0.24275560677051544,0.23124997317790985,1.0000001192092896,0.1704385131597519,0.20530261099338531,0.08714219927787781,0.18012160062789917,0.20843194425106049
surname,0.13817398250102997,0.12855379283428192,0.1543515920639038,0.1842181533575058,0.22807469964027405,0.12411435693502426,0.13606134057044983,0.22294770181179047,0.3131643235683441,0.13814812898635864,0.0893641784787178,0.2799702286720276,0.15545731782913208
which,0.5261979103088379,0.2830964922904968,0.6521818041801453,0.336174339056015,0.3784721791744232,0.5011631846427917,0.56894451379776,0.21241894364356995,0.3399123549461365,0.44095608592033386,0.25713929533958435,0.32852497696876526,0.25814583897590637
meant,0.40698376297950745,0.4118049144744873,0.34852901101112366,0.15662743151187897,0.4479679465293884,0.2713906168937683,0.3386867940425873,0.1765095293521881,0.42459240555763245,0.375589519739151,0.2601182162761688,0.24070154130458832,0.28817421197891235
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,0.07228557765483856,0.1370125412940979,0.06780257821083069,0.07272057235240936,0.08159855753183365,0.12403237819671631,0.01270448137074709,-0.019682543352246284,0.0022648978047072887,0.0685480609536171
barracks,0.17232371866703033,0.21561619639396667,0.23717491328716278,0.15032562613487244,0.1488679051399231,0.1913188397884369,0.18599702417850494,0.08738573640584946,0.09734942018985748,0.17563647031784058,0.9746980667114258,0.10827592015266418,0.12584778666496277
'',0.08143015950918198,0.04456103965640068,0.041273195296525955,-0.06889788806438446,-0.004718669690191746,0.13035868108272552,0.04890415817499161,0.01746375672519207,0.05225009098649025,-0.04479556903243065,-0.03503767028450966,0.05904744192957878,0.018684765323996544
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2743909955024719,0.20612139999866486,0.5116966962814331,0.3739250600337982,0.25892454385757446,0.20273149013519287,0.5064792633056641,0.29545456171035767,0.3053182065486908,0.20544172823429108
could,0.4188697934150696,0.39896807074546814,0.35393214225769043,0.21547453105449677,0.2869298756122589,0.29043012857437134,0.3736826181411743,0.21863287687301636,0.29157623648643494,0.3405117690563202,0.2387590855360031,0.19434550404548645,0.3411986827850342
also,0.42747777700424194,0.4032125174999237,0.6021018624305725,0.3509063720703125,0.29838305711746216,0.4924938678741455,0.5149940252304077,0.2667738199234009,0.30856046080589294,0.5373267531394958,0.25674399733543396,0.4253612458705902,0.21848613023757935
mean,0.35852181911468506,0.18973474204540253,0.25977957248687744,0.13493120670318604,0.5340426564216614,0.27551960945129395,0.3427932858467102,0.18583039939403534,0.4538908004760742,0.29509902000427246,0.09687130153179169,0.3410385549068451,0.36234524846076965
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,0.07228557765483856,0.1370125412940979,0.06780257821083069,0.07272057235240936,0.08159855753183365,0.12403237819671631,0.01270448137074709,-0.019682543352246284,0.0022648978047072887,0.0685480609536171
thanks,0.38777562975883484,0.19685809314250946,0.22702956199645996,0.17341454327106476,0.17053882777690887,0.1487227827310562,0.16278763115406036,0.19192633032798767,0.16631875932216644,0.296790212392807,0.11767355352640152,0.2514946162700653,0.5687435865402222
'',0.08143015950918198,0.04456103965640068,0.041273195296525955,-0.06889788806438446,-0.004718669690191746,0.13035868108272552,0.04890415817499161,0.01746375672519207,0.05225009098649025,-0.04479556903243065,-0.03503767028450966,0.05904744192957878,0.018684765323996544
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.346034437417984,0.15429382026195526,0.5352458953857422,0.50484299659729,0.25441038608551025,0.13155406713485718,0.4726039469242096,0.21201062202453613,0.4806240200996399,0.4130953550338745
