,who,announced,she,would,step,down,as,leader,of,the,conservatives,?
mcletchie,0.27143675088882446,0.27352002263069153,0.3353603482246399,0.1928485929965973,0.1575476974248886,0.17588667571544647,0.2360491305589676,0.20133239030838013,0.21305835247039795,0.25644728541374207,0.22188986837863922,0.19540517032146454
was,0.3318818509578705,0.34205326437950134,0.42156049609184265,0.41663143038749695,0.16876640915870667,0.19277216494083405,0.3677520453929901,0.3073844909667969,0.4069072902202606,0.48711544275283813,0.20093517005443573,0.18412111699581146
elected,0.3117038309574127,0.30029723048210144,0.2055184692144394,0.2051783800125122,0.08852172642946243,0.10109695047140121,0.22274595499038696,0.4129725396633148,0.2767166793346405,0.23167964816093445,0.3349883556365967,0.1966295689344406
on,0.2340552806854248,0.303989976644516,0.31224578619003296,0.35589995980262756,0.17265020310878754,0.28514569997787476,0.36047765612602234,0.13550986349582672,0.3966929316520691,0.5107308030128479,0.14171364903450012,0.2714994251728058
the,0.3733934462070465,0.2277132272720337,0.36308351159095764,0.4133751392364502,0.20505109429359436,0.3325848877429962,0.48381632566452026,0.27799519896507263,0.733189046382904,1.0,0.19514378905296326,0.22068053483963013
lothian,0.17629271745681763,0.20238417387008667,0.16119204461574554,0.1317642629146576,0.11796437948942184,0.18560092151165009,0.2002188116312027,0.1970202624797821,0.24736358225345612,0.2804417014122009,0.2410627156496048,0.08631976693868637
regional,0.11238309741020203,0.14202158153057098,0.11083781719207764,0.15060606598854065,0.06951073557138443,0.09333452582359314,0.18535834550857544,0.15010295808315277,0.2853882610797882,0.3125704526901245,0.1585269421339035,0.09246466308832169
list,0.22655591368675232,0.15237724781036377,0.14058686792850494,0.1953110247850418,0.14617517590522766,0.1206776350736618,0.22369714081287384,0.11161114275455475,0.3032784163951874,0.2863321602344513,0.1382574737071991,0.23630984127521515
and,0.41279885172843933,0.16773687303066254,0.4178990125656128,0.34921059012413025,0.261826753616333,0.2760816216468811,0.49487000703811646,0.23547638952732086,0.5116966962814331,0.5171257257461548,0.2468801885843277,0.20544172823429108
the,0.3733934462070465,0.2277132272720337,0.36308351159095764,0.4133751392364502,0.20505109429359436,0.3325848877429962,0.48381632566452026,0.27799519896507263,0.733189046382904,1.0,0.19514378905296326,0.22068053483963013
conservatives,0.22800621390342712,0.17924442887306213,0.16206805408000946,0.248500257730484,0.14560092985630035,0.14639629423618317,0.2477620542049408,0.36264654994010925,0.16622577607631683,0.19514378905296326,1.0000001192092896,0.17010615766048431
suffered,0.18016760051250458,0.29119619727134705,0.2616736590862274,0.3061586320400238,0.06233745068311691,0.18063117563724518,0.2071637213230133,0.24016843736171722,0.2524636387825012,0.2558774948120117,0.15167811512947083,0.08963493257761002
a,0.36608949303627014,0.18716087937355042,0.3591071665287018,0.398599237203598,0.24143406748771667,0.2387222796678543,0.39550232887268066,0.21384623646736145,0.5052502155303955,0.5829201340675354,0.16088508069515228,0.23916715383529663
net,0.09990201890468597,0.13823650777339935,0.049914296716451645,0.22803448140621185,0.10858801007270813,0.09226101636886597,0.1219993606209755,0.06805042922496796,0.15895754098892212,0.17559128999710083,0.12760640680789948,0.20179778337478638
loss,0.10800512880086899,0.16957245767116547,0.14393295347690582,0.23274026811122894,0.14334194362163544,0.2284138798713684,0.18081268668174744,0.14281368255615234,0.26357072591781616,0.27898719906806946,0.17567238211631775,0.1312553584575653
of,0.2827862501144409,0.22339491546154022,0.28080645203590393,0.3353942930698395,0.22579428553581238,0.23279321193695068,0.3886612355709076,0.24122127890586853,1.0,0.733189046382904,0.16622577607631683,0.1826142966747284
five,0.22190363705158234,0.2345452755689621,0.25122764706611633,0.23033055663108826,0.2289334088563919,0.16055943071842194,0.21673548221588135,0.19051146507263184,0.3980514109134674,0.41977158188819885,0.18182553350925446,0.18342848122119904
seats,0.20975743234157562,0.19926485419273376,0.19637928903102875,0.19631806015968323,0.13206812739372253,0.15503008663654327,0.14060357213020325,0.2785441279411316,0.22482673823833466,0.25880131125450134,0.34347328543663025,0.10678832978010178
",",0.3365725874900818,0.23036719858646393,0.3814608156681061,0.32586824893951416,0.22013631463050842,0.23362469673156738,0.48816442489624023,0.23893310129642487,0.4946078956127167,0.4933079481124878,0.2426142543554306,0.31091248989105225
with,0.3282766342163086,0.19698800146579742,0.25768333673477173,0.38372042775154114,0.19458717107772827,0.2706494629383087,0.40387406945228577,0.16914516687393188,0.41827285289764404,0.4223487675189972,0.15195100009441376,0.2433311939239502
leader,0.31168457865715027,0.2114611268043518,0.2777891159057617,0.1814233660697937,0.11223302036523819,0.12213046848773956,0.20746754109859467,1.0,0.24122127890586853,0.27799519896507263,0.36264654994010925,0.09527933597564697
annabel,0.282307893037796,0.1567617654800415,0.39242443442344666,0.0769164189696312,0.11035054177045822,0.06627925485372543,0.16653138399124146,0.17567846179008484,0.17121727764606476,0.2228488326072693,0.14043302834033966,0.07556869089603424
goldie,0.32909533381462097,0.12366898357868195,0.45277097821235657,0.18795353174209595,0.09490430355072021,0.13722464442253113,0.1995304822921753,0.1976224035024643,0.12050313502550125,0.19402597844600677,0.2351331263780594,0.27468112111091614
claiming,0.37082991003990173,0.279487669467926,0.21903929114341736,0.4080929458141327,0.16199946403503418,0.18989871442317963,0.29206377267837524,0.13592077791690826,0.2922937572002411,0.3210364878177643,0.17294728755950928,0.2698664963245392
that,0.45444270968437195,0.26166632771492004,0.3407060205936432,0.5895259380340576,0.2987828254699707,0.3273264467716217,0.4735107421875,0.15228979289531708,0.41498205065727234,0.5473989248275757,0.21548616886138916,0.32716336846351624
their,0.3767721951007843,0.17570553719997406,0.2923811674118042,0.4112042188644409,0.26344364881515503,0.2791244685649872,0.29218852519989014,0.15972255170345306,0.4329940676689148,0.516537070274353,0.14549927413463593,0.1898253709077835
support,0.21206305921077728,0.22696371376514435,0.15974166989326477,0.37229225039482117,0.20846518874168396,0.19166886806488037,0.2501060962677002,0.20060664415359497,0.2307697981595993,0.22984638810157776,0.27424946427345276,0.22626608610153198
had,0.36173108220100403,0.3365541100502014,0.36915212869644165,0.5436059832572937,0.16531890630722046,0.22928287088871002,0.3393979072570801,0.24065792560577393,0.37755560874938965,0.3875846862792969,0.20288485288619995,0.20728366076946259
held,0.21375896036624908,0.2839697599411011,0.22366246581077576,0.22652123868465424,0.13214577734470367,0.12860949337482452,0.16727563738822937,0.26954519748687744,0.28960686922073364,0.32185450196266174,0.17759379744529724,0.14103956520557404
firm,0.18949908018112183,0.23074190318584442,0.18520444631576538,0.215107724070549,0.2156299352645874,0.11004354804754257,0.2475360780954361,0.08236152678728104,0.16486702859401703,0.185079887509346,0.25984692573547363,0.08762375265359879
.,0.3541337847709656,0.20513638854026794,0.3206634521484375,0.35067233443260193,0.21721653640270233,0.2362249493598938,0.515582263469696,0.21285216510295868,0.5352458953857422,0.5934505462646484,0.22956013679504395,0.4130953550338745
