,what,are,examples,of,differentiated,effector,cells,that,peak,during,wake,periods,?
in,0.30808621644973755,0.3841303884983063,0.25567561388015747,0.5696388483047485,0.21751201152801514,0.24314413964748383,0.1711641103029251,0.435920387506485,0.19557836651802063,0.4627237319946289,0.1971532553434372,0.19927051663398743,0.20430970191955566
contrast,0.2773490250110626,0.32170572876930237,0.32545527815818787,0.3046875298023224,0.43526723980903625,0.2161685973405838,0.27385425567626953,0.31651821732521057,0.1434762328863144,0.18666456639766693,0.09967781603336334,0.22184650599956512,0.15469981729984283
",",0.3087472915649414,0.4062570035457611,0.2687304615974426,0.4946078956127167,0.2542244791984558,0.30055660009384155,0.20582014322280884,0.4137537479400635,0.23029130697250366,0.3225448727607727,0.18140769004821777,0.22150997817516327,0.31091248989105225
during,0.24137552082538605,0.2297976016998291,0.18901178240776062,0.3869180977344513,0.2098408192396164,0.25067204236984253,0.1607850193977356,0.31487685441970825,0.23490087687969208,1.0,0.19772833585739136,0.4688571095466614,0.1325719803571701
wake,0.28284621238708496,0.16385148465633392,0.09191669523715973,0.1904895007610321,0.04844892397522926,0.28851792216300964,0.15772002935409546,0.2393999695777893,0.14370261132717133,0.19772833585739136,0.9999999403953552,0.1552926003932953,0.13995933532714844
periods,0.21756020188331604,0.28607046604156494,0.32468485832214355,0.256827712059021,0.2570478320121765,0.20892301201820374,0.19473044574260712,0.26062262058258057,0.1860220581293106,0.4688571095466614,0.1552926003932953,1.0000001192092896,0.167264923453331
differentiated,0.29067856073379517,0.3882990777492523,0.3111247718334198,0.30305662751197815,1.0,0.1605600267648697,0.49201589822769165,0.3475338816642761,0.12243662029504776,0.2098408192396164,0.04844892397522926,0.2570478320121765,0.2038157880306244
effector,0.20243605971336365,0.12280158698558807,0.1930437982082367,0.2207963466644287,0.1605600267648697,1.0,0.16079813241958618,0.27846747636795044,0.16308334469795227,0.25067204236984253,0.28851792216300964,0.20892301201820374,0.15157806873321533
cells,0.1758001297712326,0.2908284366130829,0.2122194766998291,0.21305565536022186,0.49201589822769165,0.16079813241958618,1.0,0.2709589898586273,0.13208889961242676,0.1607850193977356,0.15772002935409546,0.19473044574260712,0.1898086667060852
",",0.3087472915649414,0.4062570035457611,0.2687304615974426,0.4946078956127167,0.2542244791984558,0.30055660009384155,0.20582014322280884,0.4137537479400635,0.23029130697250366,0.3225448727607727,0.18140769004821777,0.22150997817516327,0.31091248989105225
such,0.23989605903625488,0.4654397666454315,0.5161488652229309,0.3209529519081116,0.28440821170806885,0.1968991607427597,0.19361209869384766,0.4479874074459076,0.10745861381292343,0.2389506697654724,0.08431854844093323,0.2633380889892578,0.17851735651493073
as,0.31749409437179565,0.3826591968536377,0.325487345457077,0.3886612355709076,0.23906542360782623,0.257706880569458,0.2328435331583023,0.4735107421875,0.1412726789712906,0.29671990871429443,0.15818621218204498,0.21081411838531494,0.27043893933296204
cytotoxic,0.27720823884010315,0.32282209396362305,0.2588944733142853,0.2379591315984726,0.4728395938873291,0.2552999258041382,0.6440842151641846,0.34005478024482727,0.11475156992673874,0.1740729957818985,0.23238329589366913,0.20637348294258118,0.2709274888038635
natural,0.15666867792606354,0.221140056848526,0.300375759601593,0.2963479459285736,0.21136555075645447,0.1574179083108902,0.19689854979515076,0.23673862218856812,0.1317080855369568,0.1121683195233345,0.03839779272675514,0.08635461330413818,0.16155436635017395
killer,0.1868809163570404,0.21328569948673248,0.17852531373500824,0.18559542298316956,0.16228115558624268,0.2275536209344864,0.2414173036813736,0.23865073919296265,0.0548185259103775,0.1754041165113449,0.15768273174762726,0.10267625004053116,0.13010363280773163
cells,0.1758001297712326,0.2908284366130829,0.2122194766998291,0.21305565536022186,0.49201589822769165,0.16079813241958618,1.0,0.2709589898586273,0.13208889961242676,0.1607850193977356,0.15772002935409546,0.19473044574260712,0.1898086667060852
and,0.31309178471565247,0.48576638102531433,0.35639533400535583,0.5116966962814331,0.2501104176044464,0.2994135022163391,0.24033623933792114,0.4731321930885315,0.1847066879272461,0.36462149024009705,0.23732002079486847,0.24734637141227722,0.20544172823429108
ctls,0.2334873527288437,0.2795184552669525,0.2851366400718689,0.169265478849411,0.2816636264324188,0.15570324659347534,0.321316123008728,0.271078884601593,0.16754212975502014,0.12577073276042938,0.16545063257217407,0.22788456082344055,0.3191624879837036
(,0.2411840260028839,0.23263892531394958,0.18685734272003174,0.35032153129577637,0.2034747153520584,0.2176651656627655,0.2060161978006363,0.2264307141304016,0.14035719633102417,0.2139192670583725,0.18078070878982544,0.17890246212482452,0.40561532974243164
cytotoxic,0.27720823884010315,0.32282209396362305,0.2588944733142853,0.2379591315984726,0.4728395938873291,0.2552999258041382,0.6440842151641846,0.34005478024482727,0.11475156992673874,0.1740729957818985,0.23238329589366913,0.20637348294258118,0.2709274888038635
t,0.37454068660736084,0.2180873155593872,0.13828293979167938,0.14617829024791718,0.20853009819984436,0.17231497168540955,0.25527921319007874,0.3801133632659912,0.09162220358848572,0.10036247968673706,0.20268172025680542,0.14777733385562897,0.4954066574573517
lymphocytes,0.1919625699520111,0.33754250407218933,0.2297041118144989,0.23419450223445892,0.46524468064308167,0.1610814929008484,0.7143646478652954,0.24881938099861145,0.13598518073558807,0.2111036777496338,0.1595761924982071,0.1869320273399353,0.18689562380313873
),0.26259949803352356,0.2373749315738678,0.20013900101184845,0.3680361211299896,0.1890736222267151,0.2225654423236847,0.17987960577011108,0.23478686809539795,0.1649707406759262,0.23182427883148193,0.17868691682815552,0.18925203382968903,0.42300865054130554
",",0.3087472915649414,0.4062570035457611,0.2687304615974426,0.4946078956127167,0.2542244791984558,0.30055660009384155,0.20582014322280884,0.4137537479400635,0.23029130697250366,0.3225448727607727,0.18140769004821777,0.22150997817516327,0.31091248989105225
peak,0.16656412184238434,0.12090716511011124,0.11367974430322647,0.13134954869747162,0.12243662029504776,0.16308334469795227,0.13208889961242676,0.123226098716259,1.0000001192092896,0.23490087687969208,0.14370261132717133,0.1860220581293106,0.10670080035924911
in,0.30808621644973755,0.3841303884983063,0.25567561388015747,0.5696388483047485,0.21751201152801514,0.24314413964748383,0.1711641103029251,0.435920387506485,0.19557836651802063,0.4627237319946289,0.1971532553434372,0.19927051663398743,0.20430970191955566
