,which,material,is,the,gloucester,candlestick,made,from,?
one,0.510688066482544,0.2350570559501648,0.4544198513031006,0.5514441132545471,0.15865807235240936,0.23698024451732635,0.3043140470981598,0.32194891571998596,0.2673267424106598
of,0.5011631846427917,0.27520954608917236,0.4854315221309662,0.733189046382904,0.289637953042984,0.19032223522663116,0.33167365193367004,0.4249346852302551,0.1826142966747284
the,0.6521818041801453,0.26762521266937256,0.5823672413825989,1.0,0.26471957564353943,0.23705367743968964,0.3885267674922943,0.40150508284568787,0.22068053483963013
rarest,0.33448919653892517,0.2324913889169693,0.3934380114078522,0.29938507080078125,0.16593168675899506,0.23026520013809204,0.22152088582515717,0.20707033574581146,0.177342489361763
items,0.33137381076812744,0.3921552896499634,0.24396629631519318,0.23580949008464813,0.12119640409946442,0.2323785126209259,0.23763498663902283,0.22521184384822845,0.19807128608226776
in,0.4840516746044159,0.20527449250221252,0.5394441485404968,0.6662389636039734,0.2213507741689682,0.25420570373535156,0.25271502137184143,0.4274188280105591,0.20430970191955566
the,0.6521818041801453,0.26762521266937256,0.5823672413825989,1.0,0.26471957564353943,0.23705367743968964,0.3885267674922943,0.40150508284568787,0.22068053483963013
collection,0.30199134349823,0.30830851197242737,0.21135231852531433,0.25281965732574463,0.11217986792325974,0.20712552964687347,0.20294539630413055,0.2754948139190674,0.20069393515586853
is,0.4457404911518097,0.2518187463283539,1.0,0.5823672413825989,0.17323584854602814,0.23869945108890533,0.29543453454971313,0.27355384826660156,0.22961433231830597
the,0.6521818041801453,0.26762521266937256,0.5823672413825989,1.0,0.26471957564353943,0.23705367743968964,0.3885267674922943,0.40150508284568787,0.22068053483963013
58,0.20456406474113464,0.2264482080936432,0.1323816180229187,0.12730742990970612,0.03621121868491173,0.1824946254491806,0.179172083735466,0.04674666002392769,0.008085763081908226
cm,0.18404756486415863,0.19588319957256317,0.2241038680076599,0.1848733276128769,0.10582732409238815,0.25162386894226074,0.1810818314552307,0.1880866438150406,0.22839917242527008
high,0.25426656007766724,0.20993101596832275,0.2383800595998764,0.28034812211990356,0.12736839056015015,0.16911140084266663,0.1815108060836792,0.193696990609169,0.11137914657592773
gloucester,0.23699186742305756,0.17895354330539703,0.17323584854602814,0.26471957564353943,1.0000001192092896,0.2075231522321701,0.18994082510471344,0.15415140986442566,0.12132736295461655
candlestick,0.2498527616262436,0.20047204196453094,0.23869945108890533,0.23705367743968964,0.2075231522321701,1.0000001192092896,0.18959446251392365,0.16809050738811493,0.1956985741853714
",",0.3658004403114319,0.2189585268497467,0.4691906273365021,0.4933079481124878,0.2963126599788666,0.26831090450286865,0.32507219910621643,0.39760664105415344,0.31091248989105225
dated,0.215279221534729,0.23270247876644135,0.13580690324306488,0.2046709507703781,0.20656469464302063,0.13082444667816162,0.20276255905628204,0.22167015075683594,0.215650275349617
to,0.5345056653022766,0.29219651222229004,0.42745086550712585,0.535392165184021,0.24556364119052887,0.21174916625022888,0.3377571105957031,0.4069952368736267,0.29463258385658264
c1110,0.08048470318317413,-0.08437279611825943,0.1619478166103363,0.22855044901371002,0.1207217201590538,0.051099568605422974,0.13822606205940247,0.10369659215211868,0.03679412975907326
",",0.3658004403114319,0.2189585268497467,0.4691906273365021,0.4933079481124878,0.2963126599788666,0.26831090450286865,0.32507219910621643,0.39760664105415344,0.31091248989105225
made,0.3407467305660248,0.2870064973831177,0.29543453454971313,0.3885267674922943,0.18994082510471344,0.18959446251392365,1.0,0.23003742098808289,0.17218779027462006
from,0.38755592703819275,0.2935051918029785,0.27355384826660156,0.40150508284568787,0.15415140986442566,0.16809050738811493,0.23003742098808289,1.0,0.19969791173934937
gilt,0.27460408210754395,0.2358054369688034,0.21305271983146667,0.2653356194496155,0.25263550877571106,0.29517656564712524,0.23595906794071198,0.1558486372232437,0.10313526540994644
bronze,0.19257061183452606,0.19139248132705688,0.15866197645664215,0.2526973485946655,0.10273490846157074,0.33716198801994324,0.18397870659828186,0.16964833438396454,0.12390820682048798
;,-0.01244901679456234,0.03402523323893547,0.05324986204504967,0.09152708947658539,0.04904559627175331,0.06953156739473343,0.06876794993877411,0.07524215430021286,0.10349778085947037
with,0.46403205394744873,0.22314715385437012,0.3250955045223236,0.4223487675189972,0.1762249916791916,0.2459702491760254,0.3459964990615845,0.26272761821746826,0.2433311939239502
highly,0.3458464443683624,0.293089896440506,0.2753744423389435,0.2051282376050949,0.11876488476991653,0.12110836058855057,0.2669370174407959,0.11790557950735092,0.1542806625366211
