,what,is,the,name,of,the,desert,near,the,border,of,nevada,?
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.17189157009124756,0.2456841915845871,0.535392165184021,0.20692045986652374,0.41548454761505127,0.20261961221694946,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.234701469540596,0.2879819869995117,1.0,0.2856229841709137,0.733189046382904,0.22916007041931152,0.22068053483963013
east,0.19840149581432343,0.2596127688884735,0.3383176326751709,0.20845475792884827,0.314786434173584,0.3383176326751709,0.26414957642555237,0.3364033102989197,0.3383176326751709,0.38017842173576355,0.314786434173584,0.1673407405614853,0.10070597380399704
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.5823672413825989,0.18520480394363403,0.25453904271125793,0.5823672413825989,0.22676031291484833,0.4854315221309662,0.1814681738615036,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.234701469540596,0.2879819869995117,1.0,0.2856229841709137,0.733189046382904,0.22916007041931152,0.22068053483963013
colorado,0.1414678543806076,0.13344717025756836,0.24470749497413635,0.1339608132839203,0.17896123230457306,0.24470749497413635,0.3184441030025482,0.16208256781101227,0.24470749497413635,0.16211764514446259,0.17896123230457306,0.5144134759902954,0.15461322665214539
desert,0.25473538041114807,0.18520480394363403,0.234701469540596,0.11032266914844513,0.20448997616767883,0.234701469540596,1.0,0.1927289515733719,0.234701469540596,0.25663289427757263,0.20448997616767883,0.32614845037460327,0.16409924626350403
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.23454883694648743,0.25046437978744507,0.5171257257461548,0.29048892855644226,0.5116966962814331,0.2239060252904892,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.234701469540596,0.2879819869995117,1.0,0.2856229841709137,0.733189046382904,0.22916007041931152,0.22068053483963013
colorado,0.1414678543806076,0.13344717025756836,0.24470749497413635,0.1339608132839203,0.17896123230457306,0.24470749497413635,0.3184441030025482,0.16208256781101227,0.24470749497413635,0.16211764514446259,0.17896123230457306,0.5144134759902954,0.15461322665214539
river,0.13815869390964508,0.20670881867408752,0.2894456386566162,0.17863500118255615,0.19903257489204407,0.2894456386566162,0.2176361232995987,0.40109947323799133,0.2894456386566162,0.3592299520969391,0.19903257489204407,0.18872115015983582,0.15390869975090027
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.11450952291488647,0.42558613419532776,0.457212895154953,0.14469215273857117,0.4118472635746002,0.457212895154953,0.18072058260440826,0.42558613419532776,0.2543949484825134,0.21978627145290375
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.234701469540596,0.2879819869995117,1.0,0.2856229841709137,0.733189046382904,0.22916007041931152,0.22068053483963013
border,0.26696228981018066,0.22676031291484833,0.2856229841709137,0.1466246247291565,0.24084383249282837,0.2856229841709137,0.25663289427757263,0.3318144977092743,0.2856229841709137,0.9999998807907104,0.24084383249282837,0.23509344458580017,0.1706928312778473
