,what,is,a,d-loop,?
as,0.31749409437179565,0.43216490745544434,0.39550232887268066,0.21927745640277863,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.24095092713832855,0.22068053483963013
d-loop,0.2359691560268402,0.165884867310524,0.2449972927570343,0.9999998807907104,0.23209285736083984
moves,0.21504245698451996,0.2820238769054413,0.27945461869239807,0.22780242562294006,0.22897186875343323
through,0.23167094588279724,0.27805060148239136,0.3399752974510193,0.2658413350582123,0.16913433372974396
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.24095092713832855,0.22068053483963013
circular,0.20507359504699707,0.21153220534324646,0.2660183012485504,0.30332526564598083,0.11291391402482986
dna,0.24220526218414307,0.15626907348632812,0.2164907455444336,0.17409920692443848,0.1548636108636856
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.19608555734157562,0.31091248989105225
it,0.45803478360176086,0.6328473687171936,0.5452592968940735,0.24140818417072296,0.25732165575027466
adopts,0.1593019664287567,0.24255378544330597,0.2587365210056305,0.1372765600681305,0.1470593363046646
a,0.3320399522781372,0.658733606338501,1.0,0.2449972927570343,0.23916715383529663
theta,0.20679982006549835,0.2487933486700058,0.29466089606285095,0.2809599041938782,0.17596326768398285
intermediary,0.18430466949939728,0.27427634596824646,0.3317669630050659,0.22353798151016235,0.1413000077009201
form,0.15868011116981506,0.3218395411968231,0.3088195323944092,0.10903030633926392,0.1463010311126709
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.19608555734157562,0.31091248989105225
also,0.42747777700424194,0.5012649297714233,0.5149940252304077,0.20149993896484375,0.21848613023757935
known,0.20381177961826324,0.41921812295913696,0.30882248282432556,0.1308218538761139,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.39550232887268066,0.21927745640277863,0.27043893933296204
a,0.3320399522781372,0.658733606338501,1.0,0.2449972927570343,0.23916715383529663
cairns,0.17013345658779144,0.22302086651325226,0.17813770473003387,0.21482686698436737,0.09319575130939484
replication,0.2642822563648224,0.24308517575263977,0.31485244631767273,0.18134717643260956,0.1812686026096344
intermediate,0.18540938198566437,0.24033690989017487,0.287841260433197,0.1308637410402298,0.11814447492361069
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.19608555734157562,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.2037063091993332,0.20544172823429108
completes,0.2138545960187912,0.25528210401535034,0.27751031517982483,0.15605440735816956,0.034475307911634445
replication,0.2642822563648224,0.24308517575263977,0.31485244631767273,0.18134717643260956,0.1812686026096344
with,0.2464839518070221,0.3250955045223236,0.3783375024795532,0.16601444780826569,0.2433311939239502
a,0.3320399522781372,0.658733606338501,1.0,0.2449972927570343,0.23916715383529663
rolling,0.20413736999034882,0.1495654135942459,0.2540145814418793,0.2977355718612671,0.1866474598646164
circle,0.13595280051231384,0.18955408036708832,0.18641255795955658,0.26013505458831787,0.08528484404087067
mechanism,0.2635997533798218,0.21533295512199402,0.2361949384212494,0.18411730229854584,0.1732848435640335
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.24110370874404907,0.4130953550338745
,what,is,a,d-loop,?
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.24095092713832855,0.22068053483963013
results,0.2425258755683899,0.20523308217525482,0.2899290919303894,0.13485997915267944,0.21797199547290802
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.1664905548095703,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.24095092713832855,0.22068053483963013
microscopy,0.2366853803396225,0.178314208984375,0.22342582046985626,0.2586377263069153,0.18185050785541534
experiments,0.3106561601161957,0.16474494338035583,0.21744723618030548,0.23445706069469452,0.14564716815948486
led,0.12112844735383987,0.14361225068569183,0.19072435796260834,0.09036634862422943,0.09273858368396759
to,0.455847829580307,0.42745086550712585,0.45503583550453186,0.2379004955291748,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.24095092713832855,0.22068053483963013
idea,0.44512778520584106,0.21963010728359222,0.3483608067035675,0.22575759887695312,0.2952161729335785
that,0.6297725439071655,0.3995479643344879,0.47537946701049805,0.25091099739074707,0.32716336846351624
chloroplast,0.23505516350269318,0.20798198878765106,0.237538680434227,0.20619764924049377,0.12532055377960205
dna,0.24220526218414307,0.15626907348632812,0.2164907455444336,0.17409920692443848,0.1548636108636856
replicates,0.27997416257858276,0.26639243960380554,0.30732813477516174,0.12787337601184845,0.22479665279388428
using,0.27984681725502014,0.26543745398521423,0.32226553559303284,0.21529866755008698,0.2804589569568634
a,0.3320399522781372,0.658733606338501,1.0,0.2449972927570343,0.23916715383529663
double,0.16209302842617035,0.1794169545173645,0.2448195219039917,0.23017947375774384,0.10017921775579453
displacement,0.2391185313463211,0.22230419516563416,0.3174363076686859,0.1754029393196106,0.08277174830436707
loop,0.21377356350421906,0.20200759172439575,0.24126464128494263,0.8261907696723938,0.13595224916934967
(,0.2411840260028839,0.35393038392066956,0.3206180930137634,0.13926027715206146,0.40561532974243164
d-loop,0.2359691560268402,0.165884867310524,0.2449972927570343,0.9999998807907104,0.23209285736083984
),0.26259949803352356,0.37732169032096863,0.3640355169773102,0.15246286988258362,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.24110370874404907,0.4130953550338745
